Date,Opponent,Result,S,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS
8242018,"Texas @ Lincoln, Nebraska",L 1 - 3,4,62.0,29.0,161.0,0.205,59.0,4.0,3.0,60.0,5.0,2.0,10.0,4.0,73.0
8252018,@ Nebraska,L 0 - 3,3,52.5,24.5,146.0,0.1905,50.5,3.5,7.5,57.0,3.5,1.5,9.0,2.0,62.0
8282018,Portland St.,W 3 - 0,3,52.333333333333336,19.0,131.33333333333334,0.27066666666666667,48.666666666666664,6.666666666666667,6.666666666666667,55.333333333333336,3.0,1.0,8.0,2.3333333333333335,64.0
8312018,Long Beach St.,W 3 - 0,3,49.75,17.0,127.25,0.2705,46.25,6.75,6.5,56.25,2.75,1.0,9.0,2.25,62.0
8312018,Utah Valley,W 3 - 0,3,48.8,16.2,124.2,0.2736,45.8,6.2,6.2,56.2,2.8,0.8,12.0,2.2,61.8
9012018,Ark.-Pine Bluff,W 3 - 0,3,47.5,14.5,116.33333333333333,0.30383333333333334,44.333333333333336,7.0,5.833333333333333,52.5,2.5,0.6666666666666666,12.5,2.0,61.416666666666664
9072018,"Minnesota @ Stanford, Calif.",W 3 - 1,4,51.285714285714285,15.714285714285714,124.14285714285714,0.303,48.285714285714285,6.714285714285714,5.857142857142857,54.285714285714285,2.4285714285714284,0.7142857142857143,12.714285714285714,2.142857142857143,65.07142857142857
9082018,"Penn St. @ Stanford, Calif.",L 0 - 3,3,49.5,16.375,123.375,0.282125,46.625,6.5,5.375,54.25,2.75,0.75,12.125,2.125,62.8125
9132018,@ Hawaii,W 3 - 0,3,49.22222222222222,16.11111111111111,122.0,0.2837777777777778,46.44444444444444,6.222222222222222,5.888888888888889,53.22222222222222,2.7777777777777777,0.7777777777777778,11.666666666666666,1.8888888888888888,62.05555555555556
9142018,@ Hawaii,W 3 - 2,5,50.4,16.4,128.0,0.2785,47.7,6.1,6.0,55.7,2.6,1.0,13.5,1.7,64.25
9202018,Oregon St.,W 3 - 1,4,50.3,14.5,126.0,0.2942,47.7,6.3,6.2,56.5,2.5,1.2,13.5,1.7,64.55
9232018,Washington St.,W 3 - 2,5,53.1,15.7,134.5,0.2947,50.0,6.5,5.5,61.4,2.7,1.1,14.7,2.1,68.05
9282018,Arizona,L 2 - 3,5,55.7,17.4,144.0,0.2785,53.0,5.5,5.4,66.1,3.0,1.5,15.3,2.2,70.35
9302018,Arizona St.,L 0 - 3,3,55.8,18.1,145.7,0.27040000000000003,53.2,5.1,5.5,65.5,3.1,1.4,15.9,2.0,70.25
