Date,Opponent,Result,S,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS
8242018,"Virginia @ Ames, Iowa",W 3 - 2,5,63.0,27.0,174.0,0.207,57.0,4.0,12.0,60.0,3.0,3.0,24.0,0.0,82.0
8252018,@ Iowa St.,W 3 - 2,5,64.0,32.0,181.5,0.1775,59.5,7.0,8.5,69.5,4.5,3.0,22.0,1.0,85.0
8252018,"Ole Miss @ Ames, IA",L 2 - 3,5,64.66666666666667,34.0,186.0,0.16633333333333333,60.0,6.666666666666667,8.0,74.33333333333333,4.666666666666667,2.3333333333333335,24.0,1.6666666666666667,85.66666666666667
8312018,"UC Davis @ Portland, Ore.",W 3 - 1,4,60.5,31.0,182.75,0.16225,56.5,6.0,8.25,76.25,4.75,2.5,21.5,1.75,79.75
8312018,@ Portland St.,W 3 - 0,3,55.4,27.6,166.0,0.1722,52.2,5.8,7.6,70.2,4.0,2.0,20.0,2.2,73.2
9072018,@ Kansas St.,L 1 - 3,4,55.166666666666664,28.0,165.0,0.16849999999999998,52.166666666666664,5.5,7.5,67.16666666666667,3.8333333333333335,2.0,21.0,2.0,73.16666666666667
9072018,"Omaha @ Manhattan, Kan.",W 3 - 0,3,52.857142857142854,27.0,160.14285714285714,0.16399999999999998,50.142857142857146,5.285714285714286,7.0,66.14285714285714,3.7142857142857144,1.7142857142857142,19.428571428571427,2.5714285714285716,69.57142857142857
9082018,"North Texas @ Manhattan, Kan.",W 3 - 0,3,52.5,25.0,153.625,0.188625,49.875,5.0,7.0,65.125,3.75,1.5,18.5,2.375,68.25
9142018,@ San Diego St.,W 3 - 1,4,51.333333333333336,24.22222222222222,150.0,0.18966666666666665,48.77777777777778,5.222222222222222,7.0,63.111111111111114,3.4444444444444446,1.3333333333333333,20.444444444444443,2.5555555555555554,68.11111111111111
9142018,"UTEP @ San Diego, Calif.",W 3 - 0,3,50.6,23.4,145.7,0.1969,48.2,5.0,7.0,60.6,3.2,1.3,20.4,2.3,67.1
9152018,@ San Diego,W 3 - 2,5,50.0,23.0,146.6,0.19479999999999997,47.8,4.9,6.3,61.5,3.0,1.4,21.6,2.8,67.1
9182018,Seattle U,W 3 - 0,3,47.4,20.7,138.9,0.20229999999999998,45.3,4.7,6.3,58.4,2.4,1.7,20.8,2.6,64.2
9202018,@ Oregon,L 1 - 3,4,45.3,19.3,134.4,0.20189999999999997,43.6,4.5,6.3,56.2,2.5,1.6,18.6,2.8,60.7
9232018,Washington,L 2 - 3,5,45.9,19.8,133.3,0.20359999999999995,44.4,4.6,6.0,55.0,2.6,1.6,18.8,2.6,61.5
9282018,Arizona St.,L 0 - 3,3,46.0,20.0,136.8,0.19729999999999998,44.3,4.4,5.8,55.5,3.1,1.8,18.8,2.3,61.6
9302018,Arizona,L 0 - 3,3,44.0,18.7,132.5,0.19679999999999995,42.5,4.4,5.2,56.0,3.0,1.8,16.4,2.4,58.4
10042018,@ Southern California,L 0 - 3,3,43.7,18.5,130.6,0.19829999999999998,42.0,4.1,5.5,54.5,3.2,1.8,16.4,2.0,57.8
10062018,@ UCLA,L 0 - 3,3,41.8,19.2,130.7,0.17409999999999995,40.2,4.1,5.4,53.4,3.4,1.9,16.2,2.0,55.9
10112018,@ Utah,L 2 - 3,5,44.9,20.8,137.8,0.17459999999999995,42.9,3.9,4.9,56.7,3.7,1.9,14.4,1.7,57.9
10142018,@ Colorado,L 0 - 3,3,44.7,21.3,139.1,0.16589999999999996,42.5,4.0,5.0,57.0,4.1,1.9,13.2,1.9,57.2
10192018,Stanford,L 1 - 3,4,43.9,22.0,137.5,0.15869999999999998,41.6,3.9,5.3,57.3,4.4,1.6,11.2,1.5,55.0
10212018,California,L 0 - 3,3,44.2,23.0,137.2,0.15289999999999998,41.8,3.4,5.5,55.6,4.6,1.0,11.0,1.7,54.1
10262018,@ Arizona,L 0 - 3,3,42.7,21.9,132.9,0.15479999999999997,40.2,3.2,5.1,53.7,4.2,1.0,10.8,1.3,52.3
10282018,@ Arizona St.,W 3 - 1,4,42.5,21.6,131.9,0.15649999999999994,39.9,3.2,5.9,53.6,3.9,0.8,10.2,1.4,51.6
11022018,UCLA,L 2 - 3,5,45.0,23.3,139.3,0.15509999999999996,42.1,3.3,6.3,59.0,4.2,1.0,10.2,1.3,54.4
11042018,Southern California,L 0 - 3,3,45.7,24.1,142.4,0.15139999999999995,42.7,3.2,6.3,59.6,4.3,0.9,10.8,1.2,55.2
11082018,@ California,L 0 - 3,3,46.2,24.3,143.2,0.15289999999999998,43.3,3.6,6.5,59.8,4.1,1.0,10.8,1.2,56.2
11092018,@ Stanford,L 0 - 3,3,46.2,24.9,142.5,0.14789999999999998,43.0,3.7,6.4,58.8,4.0,1.2,10.8,1.4,56.5
11162018,Utah,L 2 - 3,5,44.8,24.3,141.4,0.14469999999999997,41.5,3.4,7.0,58.1,4.2,1.6,10.4,1.4,55.0
11182018,Colorado,L 2 - 3,5,47.9,26.0,150.2,0.14399999999999996,44.5,3.8,7.2,61.9,3.9,1.6,12.1,1.5,59.35
11212018,@ Washington St.,L 0 - 3,3,45.8,25.5,144.2,0.13539999999999994,42.9,3.7,6.9,58.6,3.7,1.5,10.9,1.7,56.45
11242018,Oregon,L 1 - 3,4,46.3,25.8,149.6,0.13119999999999993,43.5,4.0,6.8,63.0,4.2,1.6,10.3,1.6,57.05
