Date,Opponent,Result,S,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS
8242018,"Marquette @ Waco, Texas",L 0 - 3,3,33.0,10.0,104.0,0.221,33.0,2.0,4.0,41.0,3.0,0.0,10.0,1.0,40.0
8252018,@ Baylor,L 0 - 3,3,36.5,13.5,107.0,0.215,36.5,2.0,5.5,42.0,3.5,0.5,10.0,2.0,44.0
8252018,"LSU @ Waco, Texas",L 0 - 3,3,35.0,15.333333333333334,105.0,0.18633333333333332,34.0,3.0,6.333333333333333,41.333333333333336,3.3333333333333335,0.3333333333333333,8.666666666666666,1.6666666666666667,42.666666666666664
8302018,UTSA,W 3 - 1,4,41.0,17.75,114.75,0.19874999999999998,39.5,3.0,6.0,48.0,2.75,0.25,11.0,1.5,49.75
8312018,James Madison,W 3 - 1,4,42.8,18.8,117.0,0.20179999999999998,41.4,3.2,5.2,50.2,3.2,0.8,12.4,1.2,53.0
9012018,UIW,W 3 - 0,3,43.166666666666664,18.666666666666668,114.66666666666667,0.21183333333333332,41.666666666666664,3.3333333333333335,5.333333333333333,50.833333333333336,3.1666666666666665,0.6666666666666666,13.833333333333334,1.1666666666666667,54.083333333333336
9012018,Abilene Christian,W 3 - 1,4,45.57142857142857,19.428571428571427,120.71428571428571,0.21428571428571427,44.285714285714285,4.142857142857143,5.0,55.714285714285715,3.2857142857142856,0.7142857142857143,14.714285714285714,1.0,57.785714285714285
9042018,@ Rice,W 3 - 2,5,48.125,22.0,131.25,0.203375,46.875,4.0,5.25,61.5,3.125,0.75,15.375,1.5,60.5625
9062018,@ Texas,L 0 - 3,3,46.111111111111114,21.0,125.33333333333333,0.205,44.666666666666664,3.5555555555555554,5.777777777777778,58.0,3.7777777777777777,0.6666666666666666,14.333333333333334,1.7777777777777777,57.5
9082018,Kentucky,L 1 - 3,4,47.1,20.6,126.8,0.2124,45.4,3.7,6.3,57.7,3.9,0.8,14.3,1.7,58.75
9112018,@ UTSA,W 3 - 0,3,48.8,20.9,126.8,0.2259,47.0,3.8,6.6,57.7,4.1,0.8,14.9,2.0,60.85
9142018,"Gonzaga @ Tempe, Ariz.",W 3 - 0,3,49.0,20.5,126.2,0.23289999999999997,46.9,3.8,6.6,58.3,3.8,0.7,14.7,1.8,60.85
9152018,@ Arizona St.,W 3 - 0,3,50.6,20.0,127.0,0.2512,48.4,3.8,6.9,57.7,3.6,1.0,15.1,1.7,62.95
9152018,"Northern Ariz. @ Tempe, Ariz.",W 3 - 1,4,50.9,19.6,126.0,0.2582,48.7,4.3,7.9,56.8,4.4,1.1,13.5,1.9,63.05
9212018,@ ULM,W 3 - 0,3,50.8,18.8,122.9,0.2726,48.4,4.3,8.2,56.1,3.9,0.8,12.5,1.9,62.15
9232018,@ Louisiana,W 3 - 1,4,53.0,19.0,126.5,0.2802,50.5,3.9,8.2,56.7,3.8,1.1,11.4,2.3,63.7
9282018,Little Rock,W 3 - 1,4,53.9,19.3,126.3,0.2844,51.2,3.8,8.5,55.7,3.8,1.0,10.4,2.4,63.9
9292018,Arkansas St.,W 3 - 0,3,52.5,16.8,116.2,0.30729999999999996,49.4,3.8,8.4,50.2,4.3,0.9,9.4,1.9,61.9
10022018,UT Arlington,W 3 - 2,5,55.8,17.5,124.0,0.31309999999999993,52.7,4.8,8.4,55.0,3.7,1.2,10.2,1.6,66.9
10052018,@ Ga. Southern,W 3 - 1,4,55.9,17.3,124.0,0.3151999999999999,53.0,4.9,8.8,55.0,3.5,1.6,10.4,1.8,67.6
10062018,@ Georgia St.,W 3 - 0,3,55.7,17.4,122.9,0.3161999999999999,52.8,4.7,8.5,55.4,3.3,1.7,10.0,1.5,67.1
10122018,App State,W 3 - 0,3,55.9,17.2,122.1,0.32269999999999993,53.2,4.7,8.4,55.2,3.5,1.9,10.2,1.5,67.6
10132018,Coastal Carolina,W 3 - 1,4,56.9,18.2,125.9,0.31459999999999994,54.6,4.6,7.7,59.4,3.8,1.8,11.8,1.6,69.2
10192018,@ South Alabama,W 3 - 1,4,56.6,17.8,125.0,0.31759999999999994,53.8,4.2,7.2,57.7,3.3,2.0,14.2,1.3,69.9
10202018,@ Troy,W 3 - 0,3,56.1,17.6,125.8,0.31189999999999996,52.9,4.2,7.6,57.2,3.9,2.5,14.6,1.3,70.1
10262018,Louisiana,W 3 - 2,5,56.0,18.7,129.4,0.2980999999999999,53.0,5.0,7.9,60.8,3.7,2.3,15.4,1.1,71.0
10282018,ULM,W 3 - 0,3,53.6,17.2,122.4,0.30979999999999996,50.8,5.0,7.6,57.9,3.7,2.4,15.6,1.1,68.8
11022018,@ Arkansas St.,L 2 - 3,5,53.7,17.7,126.6,0.29679999999999995,50.7,5.7,7.9,59.4,3.6,2.8,15.8,1.1,70.1
11032018,@ Little Rock,W 3 - 2,5,52.5,18.5,127.6,0.28309999999999996,49.7,5.6,7.5,57.8,3.6,2.7,15.8,1.3,68.7
