Date,Opponent,Result,S,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS
8242018,Saint Mary's (CA) @ Salt Lake City,W 3 - 1,4.0,13.0,5.0,26.0,0.308,2.0,3.0,2.0,7.0,1.0,0.0,1.0,0.0,16.5
8252018,UC Irvine @ Salt Lake City,W 3 - 2,5.0,12.5,7.0,31.5,0.1945,2.0,3.0,2.5,5.5,1.0,0.0,2.5,0.0,16.75
8252018,@ Utah,L 2 - 3,5.0,12.333333333333334,7.333333333333333,33.333333333333336,0.16566666666666666,2.0,2.0,1.6666666666666667,7.666666666666667,1.6666666666666667,0.3333333333333333,2.0,0.0,15.666666666666666
8312018,UC Santa Barbara,W 3 - 2,5.0,12.5,7.75,37.0,0.145,2.75,2.0,2.0,7.75,1.25,0.25,2.0,0.0,15.75
9012018,McNeese,W 3 - 0,3.0,11.0,6.2,31.6,0.21600000000000003,2.4,1.6,1.6,7.0,1.0,0.2,1.8,0.0,13.7
9012018,Sacramento St.,W 3 - 2,5.0,11.5,6.166666666666667,32.333333333333336,0.217,2.0,1.6666666666666667,1.3333333333333333,8.5,1.0,0.16666666666666666,1.5,0.0,14.083333333333334
9072018,Fairleigh Dickinson,W 3 - 0,3.0,11.0,5.714285714285714,30.285714285714285,0.22571428571428573,1.7142857142857142,2.142857142857143,1.4285714285714286,8.0,1.1428571428571428,0.14285714285714285,1.4285714285714286,0.0,14.0
9082018,Saint Peter's,W 3 - 0,3.0,10.0,5.125,27.0,0.26,1.875,2.25,1.375,7.5,1.0,0.125,1.25,0.125,13.0
9082018,Idaho St.,W 3 - 0,3.0,10.11111111111111,5.0,26.444444444444443,0.2664444444444445,1.6666666666666667,2.4444444444444446,1.4444444444444444,7.222222222222222,1.1111111111111112,0.1111111111111111,1.4444444444444444,0.1111111111111111,13.38888888888889
9142018,Navy,W 3 - 0,3.0,9.8,5.1,26.3,0.24380000000000002,1.7,2.4,1.3,7.4,1.1,0.2,1.3,0.1,13.05
9152018,UMES,W 3 - 0,3.0,9.0,5.0,25.2,0.21970000000000006,1.6,2.5,1.2,6.8,1.0,0.2,1.2,0.1,12.3
9152018,Samford,W 3 - 1,4.0,8.8,4.8,25.1,0.21990000000000007,1.6,2.2,1.1,7.1,0.9,0.3,0.9,0.2,11.75
9212018,@ Oral Roberts,W 3 - 1,4.0,9.0,4.5,24.9,0.23480000000000006,1.4,2.4,1.3,7.5,0.6,0.2,0.8,0.3,12.0
9232018,South Dakota St.,W 3 - 0,3.0,8.7,4.0,22.2,0.25510000000000005,1.0,2.4,1.4,7.7,0.7,0.2,0.6,0.3,11.6
9302018,@ North Dakota St.,W 3 - 1,4.0,9.0,4.6,23.2,0.21510000000000007,1.0,2.9,2.1,8.1,0.8,0.2,0.7,0.4,12.45
10052018,@ South Dakota,W 3 - 0,3.0,8.8,4.4,22.2,0.22370000000000007,1.0,2.9,2.3,7.3,0.7,0.2,0.7,0.4,12.25
10072018,@ North Dakota,W 3 - 1,4.0,8.9,4.6,22.8,0.21260000000000004,1.0,2.5,2.3,7.9,0.6,0.2,0.8,0.5,12.0
10122018,Purdue Fort Wayne,W 3 - 0,3.0,9.3,5.1,25.1,0.16630000000000003,0.7,2.2,2.5,8.3,0.6,0.2,1.2,0.4,12.3
10142018,Western Ill.,W 3 - 0,3.0,8.8,4.7,24.0,0.189,0.8,1.8,2.4,8.4,0.6,0.2,1.0,0.4,11.3
10162018,@ Omaha,W 3 - 2,5.0,9.8,4.6,25.7,0.2136,0.6,1.8,2.8,8.4,0.7,0.1,1.1,0.4,12.25
10192018,North Dakota St.,W 3 - 0,3.0,10.1,4.7,26.2,0.2219,0.6,1.5,2.8,9.1,0.7,0.2,1.1,0.4,12.35
10212018,North Dakota,-,0.0,9.1,4.0,22.6,0.21359999999999996,0.4,1.5,2.6,8.4,0.7,0.1,1.0,0.3,11.2
10262018,@ South Dakota St.,W 3 - 0,3.0,8.5,3.8,20.5,0.22359999999999997,0.4,2.0,2.7,7.3,0.7,0.1,1.1,0.2,11.15
10282018,Omaha,W 3 - 0,3.0,8.3,3.5,19.9,0.24169999999999997,0.4,2.0,2.4,7.2,0.6,0.1,1.5,0.2,11.15
10302018,South Dakota,W 3 - 2,5.0,8.6,3.7,21.6,0.23979999999999996,0.4,1.7,2.4,7.7,0.5,0.1,1.5,0.1,11.15
11022018,Oral Roberts,W 3 - 0,3.0,7.8,3.5,20.4,0.22329999999999997,0.4,1.6,2.4,7.7,0.5,0.1,1.7,0.1,10.35
11092018,@ Western Ill.,W 3 - 1,4.0,8.4,3.3,20.4,0.2566,0.4,1.7,2.8,7.5,0.6,0.1,1.6,0.0,11.0
11112018,@ Purdue Fort Wayne,W 3 - 0,3.0,8.1,2.9,19.6,0.26339999999999997,0.8,1.9,2.8,8.2,0.6,0.1,1.2,0.0,10.7
11172018,Purdue Fort Wayne,W 3 - 0,3.0,7.8,3.2,19.9,0.2089,1.0,2.0,2.8,8.6,0.5,0.1,1.2,0.0,10.5
11182018,South Dakota,L 2 - 3,5.0,7.0,3.4,19.4,0.18569999999999998,1.1,1.8,2.6,9.4,0.3,0.1,1.3,0.0,9.55
11302018,"Utah @ Provo, Utah",L 0 - 3,3.0,7.3,3.2,19.7,0.20549999999999996,1.0,1.7,2.7,9.4,0.4,0.0,1.3,0.0,9.65
