Date,Opponent,Result,S,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS
8242018,"Lamar University @ Jacksonville, Ala.",W 3 - 1,3,0.0,0.0,2.0,0.0,1.0,1.0,2.0,5.0,4.0,0.0,0.0,0.0,1.0
8242018,"Little Rock @ Jacksonville, Ala.",L 0 - 3,1,0.0,0.0,1.0,0.0,0.5,0.5,1.0,3.0,2.0,0.0,0.0,0.0,0.5
8252018,"North Ala. @ Jacksonville, Ala.",W 3 - 2,2,0.0,0.0,1.0,0.0,0.3333333333333333,0.3333333333333333,1.0,2.6666666666666665,1.6666666666666667,0.0,0.0,0.0,0.3333333333333333
8252018,@ Jacksonville St.,L 1 - 3,1,0.0,0.0,0.75,0.0,0.25,0.25,0.75,2.0,1.25,0.0,0.0,0.0,0.25
8312018,"Wright St. @ Morehead, Ky.",L 0 - 3,3,0.0,0.0,0.6,0.0,0.4,0.2,0.8,1.8,1.2,0.0,0.0,0.0,0.2
8312018,@ Morehead St.,L 0 - 3,3,0.0,0.0,0.5,0.0,0.3333333333333333,0.16666666666666666,0.6666666666666666,1.6666666666666667,1.0,0.0,0.0,0.0,0.16666666666666666
9012018,"Saint Francis (PA) @ Morehead, Ky.",W 3 - 0,3,0.0,0.0,0.42857142857142855,0.0,0.2857142857142857,0.14285714285714285,0.8571428571428571,1.4285714285714286,0.8571428571428571,0.0,0.0,0.0,0.14285714285714285
9042018,Florida A&M,W 3 - 0,2,0.0,0.0,0.5,0.0,0.25,0.25,0.75,1.75,0.75,0.0,0.0,0.0,0.25
9072018,UT Martin,W 3 - 1,2,0.0,0.1111111111111111,0.5555555555555556,-0.1111111111111111,0.2222222222222222,0.2222222222222222,0.6666666666666666,2.0,0.7777777777777778,0.0,0.0,0.0,0.2222222222222222
9072018,Alabama A&M,W 3 - 0,3,0.0,0.1,0.6,-0.1,0.3,0.3,0.8,2.5,0.8,0.0,0.0,0.0,0.3
9082018,Jacksonville,W 3 - 1,3,0.0,0.1,0.5,-0.1,0.5,0.2,0.6,3.0,0.6,0.0,0.0,0.0,0.2
9212018,Western Caro.,W 3 - 1,4,0.0,0.1,0.7,-0.1,0.5,0.2,0.8,5.0,0.6,0.0,0.0,0.0,0.2
9222018,UNC Greensboro,L 2 - 3,5,0.0,0.1,0.6,-0.1,0.5,0.3,0.9,6.5,0.7,0.0,0.0,0.0,0.3
9282018,@ Furman,L 0 - 3,3,0.0,0.2,0.7,-0.2,0.6,0.4,1.0,7.9,0.7,0.0,0.0,0.0,0.4
9292018,@ Wofford,L 0 - 3,3,0.0,0.2,0.7,-0.2,0.6,0.4,0.9,8.2,0.7,0.0,0.0,0.0,0.4
10052018,@ Samford,L 0 - 3,3,0.0,0.2,0.7,-0.2,0.6,0.4,1.0,9.7,0.8,0.0,0.0,0.0,0.4
10062018,@ Chattanooga,L 0 - 3,3,0.0,0.2,0.7,-0.2,0.6,0.6,1.0,10.8,1.0,0.0,0.0,0.0,0.6
10102018,@ The Citadel,W 3 - 0,3,0.0,0.2,0.6,-0.2,0.9,0.6,1.4,12.1,1.1,0.0,0.0,0.0,0.6
10122018,ETSU,L 1 - 3,4,0.1,0.1,0.6,0.0,1.1,0.7,1.5,13.1,1.4,0.0,0.0,0.0,0.8
10192018,@ UNC Greensboro,W 3 - 2,5,0.1,0.1,0.5,0.0,1.2,0.8,1.3,13.5,1.3,0.0,0.0,0.0,0.9
10212018,@ Western Caro.,W 3 - 2,5,0.1,0.1,0.4,0.0,1.2,0.9,1.8,13.7,1.1,0.0,0.0,0.0,1.0
10262018,Wofford,W 3 - 1,4,0.1,0.1,0.3,0.0,1.3,1.3,1.7,12.5,1.1,0.0,0.0,0.0,1.4
10272018,Furman,L 1 - 3,4,0.1,0.1,0.3,0.0,1.4,1.2,1.7,11.6,1.0,0.0,0.0,0.0,1.3
11022018,Chattanooga,W 3 - 0,3,0.1,0.0,0.3,0.1,1.4,1.2,1.7,10.8,1.0,0.0,0.0,0.0,1.3
11032018,Samford,W 3 - 2,2,0.1,0.0,0.3,0.1,1.4,1.2,1.9,10.4,1.1,0.0,0.0,0.0,1.3
11072018,The Citadel,W 3 - 2,3,0.1,0.0,0.3,0.1,1.6,1.2,1.9,9.3,1.0,0.0,0.0,0.0,1.3
11102018,@ ETSU,L 0 - 3,2,0.1,0.0,0.4,0.1,1.7,1.0,1.9,8.6,0.8,0.0,0.0,0.0,1.1
11162018,"Wofford @ Greensboro, N.C.",W 3 - 0,3,0.1,0.0,0.4,0.1,1.4,1.0,1.5,7.2,0.7,0.0,0.0,0.0,1.1
11172018,"ETSU @ Greensboro, N.C.",L 0 - 3,1,0.0,0.0,0.3,0.0,1.2,0.9,1.5,5.8,0.3,0.0,0.0,0.0,0.9
