Date,Opponent,Result,S,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS
8242018,@ Col. of Charleston,L 2 - 3,5,14.0,6.0,33.0,0.242,0.0,0.0,1.0,11.0,0.0,0.0,5.0,0.0,16.5
8252018,"Alabama @ Charleston, S.C.",L 1 - 3,3,10.5,7.0,30.0,0.1025,0.0,0.0,0.5,9.0,1.0,0.0,3.5,0.5,12.25
8252018,"Western Ky. @ Charleston, S.C.",L 1 - 3,4,12.0,6.333333333333333,33.333333333333336,0.15166666666666664,0.3333333333333333,0.0,0.3333333333333333,10.666666666666666,1.6666666666666667,0.0,4.0,0.3333333333333333,14.0
8312018,Oral Roberts,W 3 - 0,3,12.0,6.0,34.25,0.16099999999999998,0.25,0.0,0.5,10.0,1.5,0.0,3.5,0.25,13.75
9012018,Grambling,W 3 - 0,3,10.4,5.6,30.0,0.12879999999999997,0.2,0.0,0.4,8.6,1.4,0.0,3.2,0.2,12.0
9012018,Ball St.,W 3 - 1,4,10.833333333333334,6.333333333333333,30.5,0.12249999999999998,0.16666666666666666,0.16666666666666666,0.5,10.0,1.3333333333333333,0.0,3.0,0.16666666666666666,12.5
9042018,@ Kansas St.,L 0 - 3,3,11.428571428571429,6.142857142857143,30.142857142857142,0.15599999999999997,0.14285714285714285,0.14285714285714285,0.42857142857142855,9.285714285714286,1.7142857142857142,0.0,2.7142857142857144,0.14285714285714285,12.928571428571429
9062018,"Nicholls St. @ College Station, TX",W 3 - 0,2,10.625,5.625,28.25,0.16149999999999998,0.375,0.25,0.375,9.0,1.5,0.0,2.5,0.125,12.125
9072018,"Pepperdine @ College Station, TX",L 0 - 3,3,10.444444444444445,5.888888888888889,28.77777777777778,0.14688888888888887,0.3333333333333333,0.2222222222222222,0.4444444444444444,8.333333333333334,1.5555555555555556,0.1111111111111111,2.3333333333333335,0.1111111111111111,11.944444444444445
9072018,@ Texas A&M,W 3 - 2,5,10.7,5.9,30.8,0.1465,0.5,0.3,0.4,8.1,1.7,0.1,2.2,0.1,12.2
9142018,"Central Mich. @ Lincoln, Nebraska",W 3 - 0,3,10.4,6.1,30.3,0.13299999999999998,0.6,0.3,0.3,7.5,1.7,0.1,1.8,0.1,11.7
9142018,"New Mexico @ Lincoln, Nebraska",W 3 - 0,3,10.5,5.8,30.2,0.14819999999999997,0.6,0.4,0.4,8.3,1.6,0.1,1.9,0.1,11.95
9152018,@ Nebraska,L 0 - 3,3,9.6,6.0,28.9,0.11949999999999998,0.6,0.4,0.5,7.3,1.6,0.1,1.5,0.1,10.85
9212018,Illinois St.,L 0 - 3,3,9.1,6.3,28.2,0.09729999999999998,0.7,0.5,0.4,7.3,1.6,0.1,1.4,0.1,10.4
9222018,Bradley,L 1 - 3,4,9.4,6.4,29.3,0.10559999999999999,0.7,0.5,0.5,7.4,1.7,0.1,1.4,0.1,10.7
9242018,@ Loyola Chicago,L 0 - 3,3,8.7,6.0,28.2,0.09649999999999999,0.7,0.4,0.6,6.1,1.7,0.1,1.3,0.1,9.85
9282018,"Southern Ill. @ Springfield, Mo.",W 3 - 0,3,8.8,5.7,28.6,0.10459999999999998,0.8,0.4,0.7,6.7,1.4,0.1,1.3,0.1,9.95
10052018,@ Indiana St.,W 3 - 1,4,9.6,6.8,31.2,0.08459999999999998,0.7,0.4,1.0,7.7,1.5,0.1,1.3,0.1,10.75
10062018,@ Evansville,W 3 - 2,5,11.3,6.6,33.4,0.118,0.8,0.6,1.0,8.9,1.4,0.0,1.2,0.1,12.5
10122018,Drake,W 3 - 0,3,10.3,6.8,30.6,0.0799,0.6,0.6,1.1,9.5,1.1,0.1,1.2,0.1,11.6
10132018,UNI,L 2 - 3,5,11.7,7.2,32.8,0.09519999999999999,0.7,0.6,1.1,9.6,1.3,0.1,1.1,0.1,12.95
10192018,@ Bradley,L 1 - 3,4,12.4,7.5,33.4,0.1056,0.9,0.5,1.0,9.7,1.2,0.1,0.8,0.0,13.4
10202018,@ Illinois St.,L 0 - 3,3,12.6,7.6,33.4,0.1093,1.0,0.6,1.0,10.4,0.9,0.1,0.8,0.2,13.7
10272018,@ Southern Ill.,W 3 - 1,4,13.5,7.7,34.2,0.13099999999999998,1.1,0.6,1.1,10.9,1.0,0.1,0.7,0.2,14.55
10292018,@ Valparaiso,W 3 - 1,4,13.9,7.7,35.3,0.13979999999999998,1.3,0.6,1.1,12.1,1.0,0.2,0.7,0.2,15.05
11022018,Evansville,W 3 - 0,3,14.1,7.3,35.5,0.1648,1.5,0.7,0.9,13.5,1.0,0.3,0.6,0.2,15.4
11032018,Indiana St.,W 3 - 1,4,14.6,7.9,36.6,0.1512,1.4,0.8,0.8,13.5,0.9,0.3,0.5,0.2,15.95
11092018,@ UNI,L 0 - 3,3,14.2,6.9,34.7,0.17850000000000002,1.3,0.7,0.5,12.2,0.8,0.3,0.5,0.2,15.45
11102018,@ Drake,W 3 - 1,4,14.3,7.0,35.3,0.1749,1.4,0.5,0.4,11.9,0.9,0.4,0.8,0.2,15.6
11162018,Valparaiso,L 2 - 3,4,15.0,6.9,36.2,0.20870000000000002,1.5,0.4,0.3,11.5,0.9,0.3,0.8,0.2,16.1
11172018,Loyola Chicago,W 3 - 0,1,12.7,5.9,31.7,0.18270000000000003,1.3,0.4,0.3,11.0,0.9,0.3,0.8,0.2,13.8
11222018,"Valparaiso @ Springfield, Mo.",L 2 - 3,5,13.0,5.9,32.7,0.18460000000000004,1.2,0.4,0.3,10.8,0.9,0.3,1.0,0.2,14.2
