Date,Opponent,Result,S,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS
8242018,"Cal Poly @ Pittsburgh, Pa.",L 1 - 3,3.0,6.0,3.0,12.0,0.25,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,6.0
8252018,"Butler @ Pittsburgh, Pa.",W 3 - 0,3.0,7.0,2.0,14.0,0.344,0.0,0.5,3.5,5.5,0.0,0.0,1.0,0.0,8.0
8252018,@ Pittsburgh,L 0 - 3,3.0,8.333333333333334,2.3333333333333335,16.333333333333332,0.35633333333333334,0.0,0.3333333333333333,4.0,6.666666666666667,0.0,0.0,1.0,0.0,9.166666666666666
8312018,Idaho,W 3 - 1,4.0,10.25,2.5,20.25,0.36875,0.5,0.25,4.25,7.75,0.0,0.0,1.75,0.0,11.375
9012018,North Texas,W 3 - 0,3.0,10.2,2.2,19.6,0.4008,0.6,0.2,4.4,8.2,0.2,0.0,1.4,0.0,11.1
9022018,CSUN,W 3 - 1,4.0,10.833333333333334,2.1666666666666665,20.5,0.414,0.5,0.16666666666666666,4.166666666666667,7.5,0.3333333333333333,0.0,2.0,0.0,12.0
9062018,@ Texas A&M,L 0 - 3,3.0,10.285714285714286,2.5714285714285716,20.571428571428573,0.36842857142857144,0.5714285714285714,0.14285714285714285,3.857142857142857,6.857142857142857,0.7142857142857143,0.0,1.7142857142857142,0.0,11.285714285714286
9072018,"Missouri St. @ College Station, TX",W 3 - 0,3.0,9.625,2.875,20.375,0.322375,0.625,0.375,3.625,6.25,0.625,0.0,1.875,0.0,10.9375
9072018,"Nicholls St. @ College Station, TX",W 3 - 0,3.0,8.88888888888889,2.7777777777777777,19.333333333333332,0.2966666666666667,0.5555555555555556,0.3333333333333333,3.2222222222222223,5.555555555555555,0.5555555555555556,0.0,1.7777777777777777,0.0,10.11111111111111
9122018,@ UC Irvine,L 1 - 3,4.0,9.5,3.1,21.1,0.2913,0.6,0.4,3.1,5.4,0.6,0.0,1.7,0.0,10.75
9202018,@ Portland,W 3 - 0,3.0,10.3,2.9,22.4,0.3183,0.6,0.5,3.1,5.5,0.6,0.0,2.2,0.0,11.9
9222018,@ Gonzaga,W 3 - 1,4.0,10.5,3.3,23.5,0.29300000000000004,0.6,0.5,2.9,4.5,0.6,0.0,2.6,0.0,12.3
9252018,BYU,L 0 - 3,3.0,10.0,3.5,23.5,0.25970000000000004,0.6,0.6,2.6,3.7,0.6,0.0,2.5,0.0,11.85
9272018,@ San Francisco,W 3 - 1,4.0,10.4,3.5,23.5,0.27220000000000005,0.4,0.7,2.3,2.9,0.6,0.0,2.4,0.0,12.3
9292018,@ Santa Clara,W 3 - 0,3.0,10.7,3.6,24.4,0.26160000000000005,0.3,0.8,1.9,2.6,0.5,0.0,2.8,0.0,12.9
10042018,Pacific,W 3 - 1,4.0,10.7,3.9,25.0,0.24260000000000007,0.6,1.1,1.6,2.4,0.5,0.0,2.8,0.0,13.2
10062018,Saint Mary's (CA),W 3 - 0,3.0,11.1,3.9,25.4,0.2571,0.6,1.2,1.4,2.8,0.2,0.0,3.0,0.0,13.8
10132018,LMU (CA),W 3 - 0,3.0,11.9,3.8,26.1,0.2917,0.6,1.2,1.5,3.1,0.2,0.0,3.2,0.0,14.7
10182018,@ San Diego,L 0 - 3,3.0,12.7,4.1,27.8,0.304,0.6,1.3,1.7,3.5,0.3,0.0,3.1,0.0,15.55
10202018,@ BYU,L 0 - 3,0.0,11.2,3.5,24.1,0.2797,0.5,1.2,1.5,3.1,0.2,0.0,3.0,0.0,13.9
10252018,Santa Clara,W 3 - 1,0.0,9.8,3.4,21.6,0.2277,0.5,1.1,1.2,3.0,0.2,0.0,2.5,0.0,12.15
10272018,San Francisco,W 3 - 0,0.0,8.8,2.9,18.9,0.2092,0.5,1.0,1.0,2.9,0.2,0.0,1.9,0.0,10.75
11012018,@ Saint Mary's (CA),W 3 - 0,0.0,8.2,2.4,16.8,0.2044,0.5,0.9,0.8,2.8,0.2,0.0,1.9,0.0,10.05
11032018,@ Pacific,L 2 - 3,0.0,6.2,2.1,13.6,0.1513,0.5,0.8,0.6,2.5,0.2,0.0,1.6,0.0,7.8
11062018,Hawaii,W 3 - 2,0.0,4.9,1.9,11.0,0.10899999999999999,0.5,0.7,0.5,1.8,0.2,0.0,1.2,0.0,6.2
11102018,@ LMU (CA),-,0.0,3.5,1.4,7.9,0.07999999999999999,0.2,0.4,0.5,1.6,0.1,0.0,0.7,0.0,4.25
11152018,Gonzaga,W 3 - 0,0.0,2.4,0.9,5.4,0.05599999999999998,0.1,0.3,0.5,0.9,0.1,0.0,0.5,0.0,2.95
11172018,@ LMU (CA),W 3 - 0,0.0,1.1,0.5,2.8,0.02139999999999998,0.0,0.1,0.2,0.4,0.1,0.0,0.0,0.0,1.2
11172018,Portland,W 3 - 1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11202018,San Diego,W 3 - 2,3.0,0.9,0.2,2.0,0.034999999999999976,0.0,0.1,0.1,0.3,0.0,0.0,0.0,0.0,1.0
11292018,"UNI @ Madison, Wis.",W 3 - 2,2.0,1.1,0.5,2.6,0.018299999999999976,0.0,0.1,0.2,0.3,0.0,0.0,0.0,0.0,1.2
11302018,@ Wisconsin,L 1 - 3,3.0,1.8,1.0,4.9,0.02699999999999998,0.0,0.1,0.4,0.7,0.0,0.0,0.1,0.0,1.95
