Date,Opponent,Result,S,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS
8242018,@ Miami (OH),L 0 - 3,3.0,1.0,1.0,5.0,0.0,16.0,0.0,2.0,6.0,0.0,0.0,0.0,0.0,1.0
8252018,"UC Santa Barbara @ Oxford, Ohio",L 0 - 3,0.0,0.5,0.5,2.5,0.0,8.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.5
8252018,"Cincinnati @ Oxford, Ohio",L 0 - 3,3.0,2.0,0.3333333333333333,4.666666666666667,0.18533333333333335,14.666666666666666,0.0,0.6666666666666666,7.333333333333333,0.0,0.0,0.6666666666666666,0.0,2.3333333333333335
8312018,Western Ky.,L 0 - 3,0.0,1.5,0.25,3.5,0.139,11.0,0.0,0.5,5.5,0.0,0.0,0.5,0.0,1.75
9012018,Kansas St.,L 1 - 3,4.0,1.6,0.2,3.4,0.2446,14.0,0.2,0.6,6.2,0.0,0.0,0.4,0.0,2.0
9012018,Marquette,L 0 - 3,3.0,1.3333333333333333,0.16666666666666666,2.8333333333333335,0.20383333333333334,14.833333333333334,0.16666666666666666,0.5,6.5,0.0,0.0,0.3333333333333333,0.0,1.6666666666666667
9072018,"Central Mich. @ Terre Haute, Ind.",W 3 - 0,3.0,1.2857142857142858,0.14285714285714285,2.7142857142857144,0.24614285714285716,17.428571428571427,0.2857142857142857,0.42857142857142855,6.0,0.0,0.0,0.2857142857142857,0.0,1.7142857142857142
9082018,"Green Bay @ Terre Haute, Ind.",L 0 - 3,3.0,1.25,0.25,2.875,0.215375,19.75,0.25,0.5,6.25,0.0,0.0,0.25,0.0,1.625
9082018,@ Indiana St.,L 2 - 3,5.0,1.1111111111111112,0.2222222222222222,3.0,0.19144444444444444,23.11111111111111,0.3333333333333333,0.5555555555555556,6.666666666666667,0.0,0.0,0.4444444444444444,0.0,1.6666666666666667
9142018,Kansas City,L 1 - 3,4.0,1.0,0.3,3.0,0.139,24.4,0.4,0.8,6.5,0.0,0.0,0.4,0.0,1.6
9152018,UNLV,L 0 - 3,3.0,1.1,0.2,2.7,0.23900000000000002,25.2,0.6,0.8,6.6,0.0,0.0,0.5,0.0,1.95
9152018,Murray St.,L 1 - 3,4.0,1.3,0.2,3.0,0.3057,28.7,0.7,1.0,7.3,0.0,0.0,0.6,0.0,2.3
9212018,@ George Washington,L 0 - 3,3.0,1.1,0.2,2.6,0.31010000000000004,28.8,0.8,1.2,7.4,0.0,0.0,0.5,0.0,2.15
9222018,@ George Mason,L 2 - 3,5.0,1.2,0.2,3.1,0.33010000000000006,33.1,0.9,1.3,8.3,0.0,0.0,0.7,0.1,2.45
9282018,VCU,L 0 - 3,3.0,1.0,0.2,2.8,0.2634,33.1,0.9,1.2,8.7,0.0,0.0,0.9,0.1,2.35
9302018,Davidson,W 3 - 1,4.0,1.0,0.2,3.0,0.2634,35.4,0.9,1.3,9.3,0.0,0.0,0.9,0.1,2.35
10052018,@ La Salle,L 1 - 3,4.0,1.1,0.3,3.3,0.23340000000000005,36.3,0.9,1.3,10.1,0.0,0.0,1.0,0.1,2.5
10072018,@ Duquesne,L 1 - 3,4.0,1.1,0.4,3.4,0.21340000000000003,37.2,1.0,1.3,10.2,0.0,0.0,1.1,0.1,2.65
10122018,Rhode Island,W 3 - 0,3.0,1.3,0.4,3.2,0.3134,36.5,1.0,1.4,10.2,0.0,0.0,1.0,0.1,2.8
10142018,Fordham,W 3 - 2,5.0,1.7,0.3,3.4,0.4267,39.1,1.0,1.4,10.8,0.0,0.0,1.1,0.1,3.25
10192018,@ Dayton,L 0 - 3,3.0,1.5,0.4,3.5,0.2934,38.5,0.8,1.2,11.2,0.0,0.0,1.0,0.1,2.8
10262018,@ Davidson,W 3 - 0,3.0,1.4,0.5,3.6,0.22670000000000004,37.9,0.9,1.2,11.5,0.0,0.0,1.1,0.1,2.85
10282018,@ VCU,L 1 - 3,4.0,1.1,0.5,3.6,0.16670000000000001,38.6,0.9,1.1,11.3,0.0,0.0,1.0,0.2,2.5
11022018,Dayton,L 1 - 3,4.0,1.2,0.5,3.9,0.17170000000000002,38.7,0.8,1.4,11.9,0.0,0.0,0.8,0.2,2.4
11092018,Duquesne,W 3 - 0,3.0,1.4,0.5,4.4,0.21170000000000005,39.7,0.9,1.7,11.6,0.0,0.0,0.6,0.3,2.6
11112018,La Salle,W 3 - 0,3.0,1.5,0.5,4.7,0.23170000000000007,39.2,1.2,1.6,10.6,0.0,0.0,0.7,0.3,3.05
11162018,"George Mason @ Richmond, Va.",W 3 - 0,3.0,1.5,0.5,4.6,0.23670000000000005,38.9,1.3,1.8,9.6,0.0,0.0,0.9,0.3,3.25
11172018,@ VCU,L 0 - 3,3.0,1.6,0.3,4.4,0.3234000000000001,37.4,1.2,1.7,9.7,0.0,0.0,0.8,0.3,3.2
