Date,Opponent,Result,S,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS
8252018,"Morgan St. @ Newark, Del.",W 3 - 1,3,4.0,0.0,6.0,0.667,43.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,4.0
8252018,"La Salle @ Newark, Del.",W 3 - 0,3,3.5,0.0,6.0,0.5835,39.5,0.5,1.0,9.5,0.0,0.0,0.0,0.0,4.0
8262018,@ Delaware,W 3 - 1,4,4.333333333333333,0.3333333333333333,7.666666666666667,0.5406666666666667,40.0,0.3333333333333333,1.6666666666666667,10.333333333333334,0.0,0.0,1.3333333333333333,0.0,5.333333333333333
8312018,"Dartmouth @ Annapolis, Md.",W 3 - 0,3,3.75,0.25,6.25,0.6555,36.25,0.75,1.5,8.25,0.0,0.0,1.25,0.0,5.125
9012018,"Alabama @ Annapolis, Md.",L 2 - 3,5,3.6,0.2,6.6,0.5993999999999999,38.4,0.8,1.8,8.8,0.0,0.2,1.6,0.0,5.4
9012018,@ Navy,W 3 - 0,3,3.8333333333333335,0.16666666666666666,6.333333333333333,0.6661666666666667,36.166666666666664,0.6666666666666666,1.8333333333333333,8.833333333333334,0.0,0.16666666666666666,1.6666666666666667,0.0,5.5
9072018,Utah,W 3 - 2,5,4.0,0.14285714285714285,6.285714285714286,0.6900000000000001,38.0,0.7142857142857143,1.8571428571428572,9.0,0.0,0.14285714285714285,1.7142857142857142,0.0,5.714285714285714
9082018,High Point,L 0 - 3,3,3.875,0.125,6.25,0.66625,35.25,0.625,1.625,8.25,0.0,0.125,1.75,0.0,5.5
9092018,@ Temple,W 3 - 1,4,4.0,0.1111111111111111,6.333333333333333,0.6715555555555556,36.0,0.5555555555555556,1.4444444444444444,8.444444444444445,0.0,0.1111111111111111,2.0,0.0,5.666666666666667
9142018,"Clemson @ New Orleans, La.",L 1 - 3,4,4.1,0.1,6.9,0.6461,37.1,0.6,1.6,8.7,0.0,0.1,1.9,0.0,5.75
9142018,@ Tulane,L 1 - 3,4,4.1,0.2,7.2,0.6127,36.2,0.7,1.8,8.9,0.0,0.2,2.1,0.0,6.05
9152018,"Little Rock @ New Orleans, La.",L 1 - 3,4,3.8,0.2,6.6,0.5627000000000001,34.7,0.9,1.6,8.2,0.0,0.2,2.2,0.0,6.0
9192018,Seton Hall,W 3 - 1,4,3.6,0.1,6.2,0.5743,35.4,0.9,1.6,7.8,0.0,0.2,1.8,0.0,5.6
9222018,Georgetown,L 2 - 3,5,3.9,0.1,6.7,0.5457000000000001,37.0,0.9,1.6,8.9,0.0,0.2,1.7,0.0,5.85
9252018,St. John's (NY),W 3 - 2,5,4.1,0.3,6.9,0.5382,36.8,1.0,1.4,9.5,0.0,0.1,1.5,0.0,5.95
9282018,@ DePaul,W 3 - 0,3,3.6,0.3,6.5,0.43820000000000003,34.5,1.1,1.4,9.5,0.1,0.1,1.3,0.0,5.45
9292018,@ Marquette,L 0 - 3,3,3.3,0.3,6.1,0.4549,32.6,1.0,1.5,8.9,0.1,0.1,1.1,0.0,4.95
10052018,@ Xavier,L 2 - 3,5,3.4,0.6,6.7,0.41320000000000007,36.2,1.1,1.5,10.5,0.1,0.1,1.3,0.0,5.25
10062018,@ Butler,L 1 - 3,4,3.1,0.7,6.6,0.35850000000000004,35.9,1.2,1.5,10.4,0.1,0.1,0.9,0.0,4.85
10122018,Providence,W 3 - 1,4,2.9,0.7,6.0,0.3668000000000001,35.8,1.2,1.6,10.1,0.1,0.1,1.2,0.0,4.8
10132018,Creighton,L 1 - 3,4,2.9,0.7,5.8,0.3764000000000001,36.6,1.1,1.5,9.7,0.1,0.0,1.2,0.0,4.6
10192018,@ St. John's (NY),L 0 - 3,3,3.2,0.8,6.3,0.41640000000000016,37.8,0.9,1.6,9.6,0.1,0.0,1.2,0.0,4.7
10202018,@ Seton Hall,W 3 - 0,3,2.9,0.8,6.1,0.37930000000000014,36.9,0.9,1.3,8.9,0.1,0.0,1.5,0.0,4.55
10262018,@ Georgetown,W 3 - 0,3,2.7,0.8,5.8,0.38290000000000013,34.6,0.7,1.2,7.9,0.2,0.0,1.8,0.0,4.3
11022018,Marquette,L 1 - 3,4,2.3,0.8,5.3,0.3329000000000001,32.6,0.6,1.1,6.5,0.2,0.0,1.8,0.0,3.8
11032018,DePaul,W 3 - 1,4,2.6,0.8,5.7,0.39290000000000014,37.0,0.9,0.9,5.9,0.1,0.0,1.9,0.0,4.45
11092018,@ Providence,W 3 - 0,3,2.5,0.9,5.8,0.2929000000000001,37.4,1.3,0.6,6.1,0.1,0.0,2.0,0.0,4.8
11112018,@ Creighton,L 0 - 3,3,2.1,0.7,5.0,0.2596000000000001,34.7,1.2,0.9,4.9,0.1,0.0,1.6,0.1,4.1
11162018,Butler,W 3 - 0,3,2.0,0.6,4.8,0.26790000000000014,34.0,1.2,0.9,5.0,0.1,0.0,1.6,0.1,4.0
11172018,Xavier,W 3 - 0,3,1.9,0.6,4.5,0.2846000000000001,33.1,1.2,0.6,4.6,0.1,0.0,1.2,0.1,3.7
11232018,@ Creighton,L 0 - 3,3,1.5,0.5,4.0,0.2417000000000001,31.4,1.2,0.6,4.8,0.1,0.0,1.1,0.1,3.25
