Date,Opponent,Result,S,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS
08242018,"Jackson St. @ Cartersville, Ga.",W 3 - 2,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0
08252018,"Alabama St. @ Emerson, Ga.",L 1 - 3,3.0,2,3,15,-0.067,0,0,0,0,0,0,1,0,2.5
08252018,"Alabama A&M @ Emerson, Ga.",W 3 - 2,3.0,3,1,10,0.2,0,0,0,1,0,0,2,0,4.0
08312018,"N.C. Central @ Elon, N.C.",W 3 - 1,1.0,0,1,1,-1.0,0,0,0,0,0,0,0,0,0.0
09012018,"Evansville @ Elon, N.C.",L 2 - 3,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0
09012018,@ Elon,L 1 - 3,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0
09062018,"Charlotte @ Greenville, N.C.",L 0 - 3,1.0,3,1,6,0.33299999999999996,0,0,0,0,0,0,1,0,3.5
09072018,@ East Carolina,L 0 - 3,2.0,3,0,6,0.5,0,0,0,0,0,1,0,0,4.0
09072018,"Eastern Wash. @ Greenville, N.C.",L 0 - 3,3.0,6,4,22,0.091,0,0,0,1,0,0,4,0,8.0
09112018,@ N.C. A&T,W 3 - 1,3.0,2,2,8,0.0,0,0,0,0,0,0,1,0,2.5
09142018,@ Middle Tenn.,W 3 - 2,3.0,10,0,17,0.588,0,0,1,2,0,1,5,0,13.5
09142018,@ Wofford,L 0 - 3,2.0,3,2,12,0.083,0,0,0,3,0,0,0,0,3.0
09182018,Winthrop,L 1 - 3,1.0,1,1,4,0.0,0,0,0,1,0,0,0,0,1.0
09212018,@ High Point,L 0 - 3,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0
09282018,Charleston So.,L 1 - 3,2.0,3,5,16,-0.125,0,0,0,2,0,0,0,0,3.0
09292018,Presbyterian,L 2 - 3,5.0,9,3,24,0.25,0,0,0,4,0,1,1,0,10.5
10022018,South Carolina St.,W 3 - 0,1.0,3,2,5,0.2,0,0,0,0,0,0,1,0,3.5
10052018,@ UNC Asheville,L 0 - 3,3.0,6,6,21,0.0,0,0,0,0,0,0,3,0,7.5
10062018,@ USC Upstate,L 0 - 3,1.0,2,3,5,-0.2,0,0,0,0,0,0,1,0,2.5
10122018,Hampton,W 3 - 1,4.0,7,3,13,0.308,0,0,0,0,0,0,1,0,7.5
10132018,Campbell,L 0 - 3,2.0,2,2,7,0.0,0,0,0,1,0,0,0,0,2.0
10192018,@ Radford,L 0 - 3,3.0,4,1,14,0.214,0,0,0,0,0,0,1,0,4.5
10202018,@ Hampton,L 2 - 3,5.0,8,0,19,0.42100000000000004,0,0,0,5,0,0,5,2,10.5
10262018,USC Upstate,L 1 - 3,4.0,5,2,14,0.214,0,0,0,1,0,0,3,1,6.5
10272018,UNC Asheville,L 0 - 3,1.0,1,1,4,0.0,0,0,0,2,0,0,0,0,1.0
11022018,@ Presbyterian,L 1 - 3,1.0,0,1,4,-0.25,0,0,0,2,0,0,0,0,0.0
11032018,@ Charleston So.,L 1 - 3,3.0,4,2,18,0.111,0,0,0,3,0,0,2,0,5.0
11062018,@ Winthrop,L 1 - 3,4.0,8,2,21,0.28600000000000003,0,0,0,4,0,0,2,0,9.0
11102018,High Point,L 1 - 3,4.0,7,5,19,0.105,0,0,0,2,0,0,2,0,8.0
