Date,Opponent,Result,S,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS
08242018,"Morgan St. @ Newark, Del.",W 3 - 0,3,1,1,2,0.0,37,0,0,9,0,0,0,0,1.0
08252018,@ Delaware,L 1 - 3,4,1,0,6,0.16699999999999998,45,0,1,18,0,0,2,0,2.0
08252018,"Villanova @ Newark, Del.",L 0 - 3,3,0,1,2,-0.5,36,1,2,11,0,0,0,0,1.0
08312018,@ Central Mich.,L 1 - 3,4,1,2,3,-0.33299999999999996,41,0,0,12,0,0,0,0,1.0
08312018,"Valparaiso @ Mount Pleasant, Mich",L 0 - 3,3,0,1,2,-0.5,38,0,0,15,0,0,1,0,0.5
09012018,DePaul,W 3 - 1,4,2,1,4,0.25,43,0,0,14,0,0,1,0,2.5
09072018,NJIT,W 3 - 0,3,1,1,2,0.0,36,0,1,4,0,0,1,0,1.5
09082018,Kent St.,W 3 - 0,3,2,0,4,0.5,41,2,0,13,0,0,0,0,4.0
09082018,Rider,W 3 - 2,5,2,0,3,0.667,59,1,1,14,0,0,2,0,4.0
09132018,@ Loyola Maryland,W 3 - 0,3,0,0,1,0.0,36,0,0,5,0,0,0,0,0.0
09142018,@ Towson,L 1 - 3,4,2,0,5,0.4,36,0,0,12,0,0,3,0,3.5
09152018,"UMBC @ Towson, Md.",W 3 - 2,5,4,1,10,0.3,50,0,0,10,0,0,0,0,4.0
09152018,"Ball St. @ Towson, MD",L 0 - 3,3,0,0,0,0.0,33,0,1,7,0,0,0,0,0.0
09212018,@ VCU,L 1 - 3,4,1,0,3,0.33299999999999996,47,0,0,8,0,0,0,0,1.0
09232018,@ Davidson,W 3 - 0,3,1,0,2,0.5,32,1,0,9,0,0,1,0,2.5
09282018,@ Rhode Island,W 3 - 0,3,0,0,1,0.0,28,2,3,5,0,0,2,0,3.0
09302018,@ Fordham,W 3 - 1,4,0,0,2,0.0,46,1,1,16,0,0,2,0,2.0
10052018,Saint Louis,W 3 - 1,4,2,1,8,0.125,49,1,2,8,0,0,0,0,3.0
10062018,Dayton,L 0 - 3,3,1,0,2,0.5,21,0,0,8,0,0,0,0,1.0
10122018,@ Duquesne,L 1 - 3,4,3,0,5,0.6,37,0,0,10,0,0,1,0,3.5
10162018,@ Delaware St.,W 3 - 1,4,4,0,7,0.5710000000000001,48,4,2,3,0,0,1,0,8.5
10192018,George Washington,W 3 - 1,4,0,0,0,0.0,46,0,1,9,0,0,2,2,1.0
10212018,George Mason,W 3 - 0,3,2,0,4,0.5,30,2,2,6,0,1,0,0,5.0
10262018,Fordham,W 3 - 1,4,3,2,9,0.111,51,2,1,10,0,0,1,0,5.5
10282018,Rhode Island,W 3 - 0,3,0,1,2,-0.5,29,1,1,6,0,0,1,0,1.5
11022018,Duquesne,W 3 - 0,3,0,0,1,0.0,37,3,0,5,0,0,0,0,3.0
11092018,@ Dayton,L 0 - 3,3,1,0,3,0.33299999999999996,34,0,1,5,0,0,0,0,1.0
11112018,@ Saint Louis,L 0 - 3,3,0,1,3,-0.33299999999999996,27,0,0,7,0,0,1,0,0.5
11162018,"Duquesne @ Richmond, Va.",W 3 - 1,4,2,1,6,0.16699999999999998,51,0,2,9,0,0,0,1,2.0
11172018,"Dayton @ Richmond, VA",L 1 - 3,4,2,1,4,0.25,52,0,1,10,0,0,0,1,2.0
