Date,Opponent,Result,S,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS
08242018,Albany (NY),W 3 - 1,4.0,0,0,3,0.0,50,1,1,12,0,0,1,0,1.5
08252018,Texas A&M,W 3 - 0,3.0,2,0,3,0.667,35,0,1,4,0,0,1,0,2.5
08252018,Ohio,W 3 - 0,3.0,3,0,6,0.5,36,0,1,4,0,0,0,0,3.0
08312018,Southern Miss. @ Unknown,W 3 - 2,5.0,2,0,5,0.4,48,0,0,7,0,1,1,0,3.5
08312018,@ Ole Miss,L 2 - 3,5.0,1,0,5,0.2,39,0,0,8,0,0,1,0,1.5
09012018,"Samford @ Oxford, Miss.",W 3 - 0,3.0,2,0,5,0.4,37,2,1,11,0,0,3,0,5.5
09072018,"Princeton @ Towson, Md.",W 3 - 0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0
09082018,"Missouri @ Towson, Md.",W 3 - 1,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0
09082018,@ Towson,W 3 - 0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0
09142018,"Evansville @ Dayton, Ohio",W 3 - 1,1.0,0,0,0,0.0,3,0,0,0,0,0,0,0,0.0
09152018,@ Dayton,L 2 - 3,5.0,3,0,6,0.5,37,0,1,11,0,0,2,1,4.0
09152018,"Tennessee @ Dayton, OH",L 1 - 3,3.0,1,1,3,0.0,19,0,0,4,0,0,1,0,1.5
09192018,@ Wisconsin,L 0 - 3,2.0,1,0,3,0.33299999999999996,20,0,0,2,0,0,0,0,1.0
09232018,Penn St.,W 3 - 1,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0
09262018,Indiana,L 1 - 3,1.0,0,0,0,0.0,3,0,0,0,0,0,0,0,0.0
09292018,@ Maryland,L 2 - 3,1.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0
10052018,@ Rutgers,W 3 - 2,2.0,0,0,0,0.0,12,0,0,6,0,0,0,0,0.0
10062018,@ Penn St.,L 0 - 3,3.0,0,0,1,0.0,25,1,0,3,0,0,0,1,1.0
10122018,Michigan,L 2 - 3,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0
10142018,Michigan St.,W 3 - 0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0
10192018,@ Indiana,L 0 - 3,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0
10212018,@ Purdue,L 0 - 3,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0
10242018,Nebraska,L 1 - 3,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0
10282018,@ Northwestern,L 0 - 3,1.0,1,0,1,1.0,4,0,0,0,0,0,1,0,1.5
11022018,Illinois,L 1 - 3,4.0,3,1,5,0.4,36,0,0,8,0,0,0,0,3.0
11042018,Northwestern,L 1 - 3,4.0,2,0,3,0.667,38,0,1,6,0,0,3,0,3.5
11072018,@ Michigan St.,L 1 - 3,4.0,1,0,1,1.0,15,0,0,2,0,0,0,1,1.0
11102018,Maryland,L 0 - 3,3.0,0,1,1,-1.0,16,2,0,2,0,0,0,0,2.0
11162018,Wisconsin,L 0 - 3,3.0,1,0,2,0.5,26,0,0,4,0,1,2,0,3.0
11172018,Minnesota,L 2 - 3,5.0,5,2,10,0.3,53,1,0,8,0,0,0,0,6.0
11232018,@ Nebraska,L 0 - 3,3.0,1,0,4,0.25,21,0,0,2,0,0,1,1,1.5
11242018,@ Iowa,L 2 - 3,5.0,3,1,9,0.222,62,0,0,11,0,0,2,0,4.0
