Date,Opponent,Result,S,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS
08242018,"Marist @ Davidson, N.C.",L 2 - 3,5.0,7,5,15,0.133,0,1,4,3,1,0,0,0,8.0
08252018,"Central Ark. @ Davidson, N.C.",L 2 - 3,5.0,4,7,22,-0.136,0,2,2,7,1,0,2,1,7.0
08252018,@ Davidson,L 0 - 3,2.0,3,3,9,0.0,0,1,0,4,2,0,0,0,4.0
08312018,@ Virginia Tech,L 0 - 3,3.0,3,4,12,-0.083,1,0,0,3,2,0,0,0,3.0
08312018,"Robert Morris @ Blacksburg, Va.",W 3 - 1,4.0,4,7,26,-0.115,1,0,2,9,2,0,2,0,5.0
09012018,"Campbell @ Blacksburg, Va.",W 3 - 1,4.0,3,5,23,-0.087,0,0,2,11,0,0,2,0,4.0
09072018,Savannah St.,W 3 - 0,2.0,3,1,5,0.4,0,0,2,2,0,0,1,0,3.5
09082018,Eastern Mich.,L 0 - 3,3.0,3,0,10,0.3,0,0,1,2,1,0,1,0,3.5
09082018,Norfolk St.,W 3 - 0,3.0,8,5,19,0.158,0,3,2,9,2,0,0,0,11.0
09232018,@ Col. of Charleston,L 0 - 3,3.0,4,3,18,0.055999999999999994,0,0,0,3,3,0,0,1,4.0
09282018,@ Northeastern,L 1 - 3,4.0,3,4,10,-0.1,0,2,0,5,1,0,0,0,5.0
09302018,@ Hofstra,L 0 - 3,3.0,3,1,10,0.2,1,0,0,3,0,0,0,0,3.0
10052018,Delaware,W 3 - 2,5.0,10,5,24,0.20800000000000002,0,0,3,8,4,0,1,0,10.5
10062018,Towson,L 0 - 3,3.0,2,3,10,-0.1,0,2,2,0,3,0,0,0,4.0
10082018,James Madison,L 0 - 3,3.0,4,4,15,0.0,0,0,0,8,1,0,0,0,4.0
10142018,Elon,L 1 - 3,3.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0
10162018,@ UNCW,L 0 - 3,2.0,0,1,3,-0.33299999999999996,0,0,1,2,0,0,0,0,0.0
10192018,@ Delaware,L 0 - 3,1.0,0,0,1,0.0,1,0,0,0,0,0,0,0,0.0
10242018,@ Elon,L 1 - 3,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0
10262018,Hofstra,L 0 - 3,2.0,0,0,0,0.0,0,0,0,1,0,0,0,0,0.0
10282018,Northeastern,L 0 - 3,3.0,3,3,16,0.0,0,0,1,6,0,0,0,0,3.0
11022018,@ James Madison,L 2 - 3,5.0,16,10,50,0.12,1,0,1,13,4,0,5,0,18.5
11042018,@ Towson,L 0 - 3,3.0,6,5,23,0.043,0,0,2,3,2,0,2,0,7.0
11092018,Col. of Charleston,L 0 - 3,3.0,3,2,12,0.083,0,0,1,3,1,0,0,0,3.0
11112018,UNCW,L 1 - 3,2.0,0,0,0,0.0,0,1,0,0,1,0,0,0,1.0
