Date,Opponent,Result,S,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS
08302019,Chicago St.,W 3 - 0,3,46,9,85,0.435,45,5,9,40,1,2,18,1,62.0
08312019,California,L 1 - 3,4,49,29,163,0.12300000000000001,47,0,10,46,3,3,15,3,59.5
08312019,Oklahoma,W 3 - 0,3,38,15,92,0.25,36,6,4,35,1,7,8,0,55.0
09062019,"Fla. Atlantic @ Fort Worth, Texas",W 3 - 0,3,39,7,69,0.46399999999999997,34,4,5,33,1,0,14,2,50.0
09062019,@ TCU,W 3 - 0,3,30,12,85,0.212,30,7,17,38,7,1,14,1,45.0
09072019,"Florida St. @ Fort Worth, Texas",W 3 - 0,3,48,16,108,0.29600000000000004,46,7,15,46,3,1,16,3,64.0
09122019,Colorado,W 3 - 0,3,40,11,85,0.341,37,4,10,40,2,2,10,0,51.0
09132019,@ Colorado,W 3 - 2,5,58,32,142,0.183,52,6,15,49,4,3,20,2,77.0
09182019,Northern Colo.,W 3 - 0,3,41,15,97,0.268,37,4,8,51,3,3,16,1,56.0
09192019,Cal Poly,W 3 - 0,3,37,10,86,0.314,34,7,6,44,3,4,25,0,60.5
09202019,Oregon St.,W 3 - 1,4,54,19,128,0.273,50,4,11,43,6,3,20,2,71.0
09262019,New Mexico,W 3 - 0,3,39,12,84,0.321,38,7,8,46,2,4,22,0,61.0
09282019,@ UNLV,W 3 - 1,4,52,13,115,0.33899999999999997,50,5,10,54,5,2,14,3,66.0
10012019,@ Wyoming,W 3 - 2,5,74,27,169,0.278,67,5,10,63,3,4,12,7,89.0
10052019,@ Air Force,W 3 - 1,4,53,20,126,0.262,48,12,8,51,5,1,22,1,77.0
10102019,Fresno St.,W 3 - 0,3,43,11,92,0.348,40,6,7,42,4,0,12,0,55.0
10122019,San Diego St.,W 3 - 0,3,46,7,96,0.406,43,5,9,37,4,2,2,0,54.0
10172019,@ Boise St.,W 3 - 2,5,68,36,174,0.184,65,5,14,73,5,3,27,2,89.5
10192019,@ Utah St.,W 3 - 0,3,36,9,68,0.397,35,12,4,28,3,4,22,0,63.0
10242019,San Jose St.,W 3 - 0,3,49,16,106,0.311,42,3,4,48,4,5,8,0,61.0
10262019,Nevada,W 3 - 0,3,42,7,92,0.38,42,8,11,47,3,3,12,1,59.0
10292019,Wyoming,W 3 - 1,4,59,25,141,0.24100000000000002,57,11,10,64,3,2,12,4,78.0
10312019,Air Force,W 3 - 0,3,45,12,111,0.297,42,5,3,43,3,1,14,1,58.0
11072019,@ Fresno St.,W 3 - 0,3,35,13,80,0.275,33,9,12,41,4,1,12,0,51.0
11092019,@ San Diego St.,W 3 - 0,3,52,18,113,0.301,50,5,12,48,2,0,14,0,64.0
11142019,Utah St.,W 3 - 0,3,50,18,103,0.311,48,2,12,39,2,2,8,1,58.0
11162019,Boise St.,W 3 - 0,3,37,15,88,0.25,37,2,9,33,6,2,28,0,55.0
11212019,@ San Jose St.,W 3 - 2,5,60,20,163,0.245,56,7,11,61,6,4,10,2,76.0
11232019,@ Nevada,W 3 - 0,3,42,14,97,0.289,42,6,9,45,2,2,26,2,63.0
11302019,@ Denver,W 3 - 2,5,73,24,165,0.297,67,4,11,70,8,1,24,4,90.0
12062019,"South Carolina @ Seattle, Wash.",L 2 - 3,5,73,20,167,0.317,69,9,17,69,4,3,20,1,95.0
