Date,Opponent,Result,S,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS
08302019,@ Arkansas,L 0 - 3,3,28,20,95,0.084,28,2,5,30,8,0,10,1,35.0
08302019,"Montana St. @ Fayetteville, Ark.",W 3 - 2,5,60,32,190,0.147,57,5,13,92,3,3,16,5,76.0
08312019,"Little Rock @ Fayetteville, Ark.",W 3 - 0,3,48,14,105,0.324,47,3,8,56,5,0,6,1,54.0
09032019,@ Jackson St.,W 3 - 0,3,44,13,128,0.242,41,3,10,52,0,5,0,0,52.0
09062019,"Mississippi Val. @ Mobile, AL",W 3 - 0,3,34,7,71,0.38,29,11,6,36,2,0,8,0,49.0
09062019,@ South Alabama,L 1 - 3,4,55,19,168,0.214,47,8,14,49,10,1,8,1,68.0
09072019,"Tennessee St. @ Mobile, AL",W 3 - 0,3,40,12,115,0.243,38,3,8,44,4,0,2,0,44.0
09102019,Grambling,W 3 - 0,3,51,9,113,0.37200000000000005,47,8,10,51,4,2,6,1,64.0
09122019,"UTRGV @ College Station, TX",L 0 - 3,3,47,19,114,0.24600000000000002,43,1,4,43,6,0,12,1,54.0
09132019,@ Texas A&M,L 0 - 3,3,28,23,97,0.052000000000000005,26,2,7,37,3,0,6,0,33.0
09132019,"Texas St. @ College Station, TX",L 0 - 3,3,27,16,101,0.109,27,3,4,47,5,0,8,2,34.0
09182019,Prairie View,W 3 - 1,4,59,22,166,0.223,56,0,11,75,4,1,10,0,65.0
09202019,@ Georgia St.,L 1 - 3,4,44,29,155,0.09699999999999999,39,6,10,61,4,2,12,1,58.0
09212019,@ Brown,W 3 - 0,3,52,14,122,0.311,46,6,9,57,5,3,8,1,65.0
09262019,Sam Houston St.,L 1 - 3,4,35,28,162,0.043,35,4,10,82,5,3,14,1,49.0
09282019,Houston Baptist,W 3 - 1,4,54,18,151,0.23800000000000002,53,2,16,80,1,2,6,0,61.0
10032019,@ A&M-Corpus Christi,W 3 - 1,4,58,13,158,0.285,56,11,8,69,7,1,10,0,75.0
10052019,@ UIW,W 3 - 2,5,63,20,138,0.312,55,10,18,51,8,1,20,0,84.0
10082019,Lamar University,W 3 - 0,3,41,4,87,0.425,38,7,8,44,4,1,10,0,54.0
10102019,@ Southeastern La.,W 3 - 0,3,44,13,109,0.284,39,5,7,58,4,0,14,1,56.0
10152019,@ Central Ark.,W 3 - 1,4,56,13,146,0.295,54,6,13,58,2,0,19,4,71.5
10192019,McNeese,W 3 - 1,4,53,20,127,0.26,48,5,10,62,5,2,16,4,68.0
10242019,Abilene Christian,W 3 - 0,3,53,12,98,0.418,48,2,5,44,1,1,2,0,57.0
10262019,SFA,L 1 - 3,4,52,21,178,0.174,51,6,13,78,2,2,6,5,63.0
10312019,@ New Orleans,W 3 - 0,3,42,7,95,0.368,35,6,5,46,1,2,8,3,54.0
11022019,@ Nicholls St.,W 3 - 1,4,60,22,148,0.257,56,3,13,58,5,4,4,0,69.0
11072019,@ Sam Houston St.,L 2 - 3,5,63,33,220,0.136,59,7,11,107,1,1,18,2,80.0
11092019,@ Houston Baptist,L 1 - 3,4,45,24,167,0.126,37,3,8,76,9,3,14,0,58.0
11142019,A&M-Corpus Christi,L 0 - 3,3,40,16,106,0.226,39,8,13,45,6,3,4,0,53.0
11162019,UIW,W 3 - 1,4,60,26,127,0.268,56,10,9,61,3,0,14,3,77.0
11222019,"Houston Baptist @ Conway, AR",W 3 - 1,4,60,26,172,0.198,57,8,7,83,5,0,8,3,72.0
11232019,"Sam Houston St. @ Conway, AR",L 1 - 3,4,60,24,171,0.21100000000000002,59,5,9,80,4,0,10,1,70.0
12052019,@ Wyoming,L 0 - 3,3,40,17,110,0.209,34,2,10,38,5,2,2,0,45.0
