Date,Opponent,Result,S,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS
8302019,"McNeese @ Moon Township, Pa.",L 2 - 3,5,52.0,38.0,141.0,0.099,49.0,3.0,15.0,54.0,12.0,3.0,10.0,1.0,63.0
8302019,@ Robert Morris,L 2 - 3,5,55.0,34.5,169.0,0.118,52.5,3.0,10.5,77.5,8.5,2.0,14.0,1.5,67.0
8312019,"Manhattan @ Moon Township, Pa.",W 3 - 2,5,59.666666666666664,32.0,165.33333333333334,0.16733333333333333,56.333333333333336,5.0,12.666666666666666,75.33333333333333,7.333333333333333,2.0,14.0,1.6666666666666667,73.66666666666667
9062019,"Virginia Tech @ Lynchburg, VA",L 1 - 3,4,58.0,32.75,165.75,0.1525,55.25,4.75,11.25,77.5,6.5,1.5,13.75,1.75,71.125
9072019,@ Liberty,L 0 - 3,3,51.2,30.8,148.2,0.1246,48.4,3.8,9.8,66.4,6.0,1.2,12.0,1.8,62.2
9072019,"Davidson @ Lynchburg, VA",L 2 - 3,5,51.333333333333336,30.166666666666668,150.16666666666666,0.12983333333333333,48.333333333333336,3.5,10.166666666666666,66.16666666666667,5.833333333333333,1.5,14.333333333333334,1.8333333333333333,63.5
9102019,N.C. Central,W 3 - 0,3,50.42857142857143,28.0,142.0,0.15742857142857142,47.714285714285715,4.0,9.142857142857142,61.42857142857143,5.428571428571429,1.2857142857142858,13.714285714285714,1.5714285714285714,62.57142857142857
9132019,Furman,W 3 - 1,4,52.0,28.0,143.5,0.166125,48.75,4.0,9.125,58.875,5.125,1.375,13.25,1.5,64.0
9152019,Wake Forest,W 3 - 2,5,53.44444444444444,27.22222222222222,146.22222222222223,0.17677777777777778,50.22222222222222,4.222222222222222,8.666666666666666,59.0,4.777777777777778,1.3333333333333333,13.11111111111111,1.5555555555555556,65.55555555555556
9172019,Winthrop,L 0 - 3,3,52.4,26.3,143.2,0.1807,49.3,4.1,8.5,57.8,4.8,1.2,12.2,1.5,63.8
9202019,"Lehigh @ Charlottesville, VA",L 1 - 3,4,51.63636363636363,25.545454545454547,141.0,0.18409090909090908,48.63636363636363,4.545454545454546,8.0,56.27272727272727,5.0,1.2727272727272727,11.818181818181818,1.5454545454545454,63.36363636363637
9202019,"UNC Greensboro @ Charlottesville, VA",W 3 - 0,3,51.5,25.083333333333332,139.08333333333334,0.18991666666666665,48.75,4.75,7.583333333333333,56.25,5.0,1.25,11.333333333333334,1.5833333333333333,63.166666666666664
9212019,@ Virginia,L 2 - 3,5,52.0,25.384615384615383,140.76923076923077,0.18915384615384617,49.23076923076923,4.769230769230769,7.615384615384615,56.92307692307692,5.230769230769231,1.2307692307692308,12.307692307692308,1.8461538461538463,64.15384615384616
9272019,Hofstra,W 3 - 1,4,52.0,25.071428571428573,141.14285714285714,0.1907857142857143,49.0,5.0,7.714285714285714,57.142857142857146,5.357142857142857,1.2857142857142858,12.285714285714286,1.7857142857142858,64.42857142857143
9292019,Northeastern,W 3 - 2,5,52.266666666666666,25.266666666666666,142.53333333333333,0.18960000000000002,49.2,5.066666666666666,7.866666666666666,57.13333333333333,5.466666666666667,1.2666666666666666,12.266666666666667,1.7333333333333334,64.73333333333333
10042019,@ Col. of Charleston,W 3 - 2,5,53.0,25.5625,145.3125,0.18912500000000002,49.875,4.9375,7.875,58.75,5.3125,1.3125,12.375,1.6875,65.4375
10062019,@ UNCW,L 1 - 3,4,51.94117647058823,26.058823529411764,145.94117647058823,0.1783529411764706,48.8235294117647,4.882352941176471,7.823529411764706,59.05882352941177,5.529411764705882,1.3529411764705883,12.705882352941176,1.6470588235294117,64.52941176470588
10102019,James Madison,L 0 - 3,3,51.44444444444444,25.72222222222222,144.38888888888889,0.17927777777777776,48.166666666666664,4.666666666666667,8.055555555555555,57.94444444444444,5.5,1.3333333333333333,12.333333333333334,1.6111111111111112,63.611111111111114
10122019,Delaware,W 3 - 2,5,52.05263157894737,25.894736842105264,146.21052631578948,0.1798421052631579,48.73684210526316,4.7368421052631575,8.0,58.31578947368421,5.421052631578948,1.3157894736842106,12.842105263157896,1.8421052631578947,64.52631578947368
10132019,Towson,L 1 - 3,4,51.45,25.75,145.95,0.1769,48.15,4.7,7.8,57.7,5.35,1.3,12.6,1.8,63.75
10162019,@ N.C. Central,W 3 - 1,4,52.095238095238095,26.0,147.0952380952381,0.178,48.857142857142854,4.809523809523809,7.761904761904762,58.666666666666664,5.476190476190476,1.2857142857142858,12.666666666666666,1.8095238095238095,64.52380952380952
