Date,Opponent,Result,S,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS
8302019,@ NC State,L 0 - 3,2.0,2.0,1.0,8.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
8312019,"Maryland @ Raleigh, NC",L 0 - 3,3.0,3.0,2.0,10.5,0.101,0.0,0.0,0.0,1.0,0.0,0.0,1.5,0.0,3.75
8312019,"Kansas St. @ Raleigh, NC",L 1 - 3,4.0,3.6666666666666665,1.6666666666666667,10.333333333333334,0.2006666666666667,0.3333333333333333,0.0,0.6666666666666666,1.3333333333333333,0.0,0.0,2.0,0.0,4.666666666666667
9062019,@ Northwestern,L 1 - 3,4.0,4.25,1.75,12.0,0.20925000000000002,0.25,0.25,1.25,1.75,0.0,0.5,2.25,0.25,6.125
9062019,"SFA @ Evanston, Ill.",L 0 - 3,3.0,3.8,1.8,12.0,0.16740000000000002,0.4,0.4,1.2,1.6,0.0,0.4,2.0,0.2,5.6
9072019,"Texas Tech @ Evanston, Ill.",W 3 - 1,4.0,4.166666666666667,2.3333333333333335,13.5,0.14750000000000002,0.3333333333333333,0.5,1.1666666666666667,2.1666666666666665,0.0,0.8333333333333334,2.3333333333333335,0.16666666666666666,6.666666666666667
9132019,@ Missouri,L 0 - 3,3.0,3.7142857142857144,2.0,12.285714285714286,0.15500000000000003,0.2857142857142857,0.42857142857142855,1.0,1.8571428571428572,0.0,0.7142857142857143,2.0,0.14285714285714285,5.857142857142857
9132019,"Boise St. @ Columbia, MO",L 1 - 3,4.0,3.875,2.375,12.5,0.13562500000000002,0.25,0.5,0.875,2.0,0.0,0.75,2.125,0.125,6.1875
9142019,"Kansas City @ Columbia, MO",L 1 - 3,4.0,4.0,2.2222222222222223,12.777777777777779,0.15022222222222226,0.2222222222222222,0.6666666666666666,1.0,2.111111111111111,0.0,0.8888888888888888,2.2222222222222223,0.1111111111111111,6.666666666666667
9152019,"UNI @ Columbia, MO",L 1 - 3,4.0,4.0,2.1,12.5,0.16520000000000004,0.2,0.6,1.0,2.1,0.0,0.9,2.2,0.1,6.6
9202019,@ Ball St.,L 0 - 3,3.0,4.4,2.1,12.7,0.20270000000000002,0.2,0.6,1.2,2.1,0.0,0.9,2.3,0.1,7.05
9212019,"Missouri St. @ Muncie, IN",W 3 - 2,5.0,4.6,2.3,13.1,0.20090000000000002,0.2,0.6,1.3,2.2,0.0,0.9,2.3,0.2,7.25
9212019,"Wright St. @ Muncie, IN",L 0 - 3,1.0,4.1,2.4,12.5,0.11090000000000004,0.1,0.6,1.1,2.0,0.0,0.9,2.0,0.2,6.6
9242019,@ Western Ky.,L 0 - 3,2.0,3.5,2.4,11.4,0.05410000000000005,0.1,0.5,0.8,1.7,0.0,0.7,1.8,0.1,5.6
9272019,@ SIUE,W 3 - 1,4.0,4.1,2.3,12.0,0.09300000000000005,0.0,0.4,0.7,1.7,0.0,0.7,1.8,0.2,6.1
9282019,@ Eastern Ill.,W 3 - 0,2.0,3.5,1.8,10.5,0.08820000000000004,0.0,0.3,0.6,1.3,0.0,0.4,1.5,0.2,4.95
10042019,Southeast Mo. St.,L 2 - 3,5.0,4.7,2.1,13.1,0.10050000000000006,0.0,0.8,0.7,2.0,0.0,0.5,2.0,0.2,7.0
10052019,UT Martin,W 3 - 1,4.0,4.7,2.0,13.4,0.10640000000000005,0.0,0.7,0.8,1.9,0.0,0.4,2.2,0.2,6.9
10092019,Murray St.,L 1 - 3,4.0,4.9,2.0,13.8,0.11130000000000004,0.0,0.7,0.8,1.7,0.0,0.3,2.2,0.3,7.0
10122019,@ Morehead St.,L 1 - 3,4.0,4.7,2.2,13.9,0.07220000000000004,0.0,0.7,0.8,1.6,0.0,0.3,2.2,0.3,6.8
10182019,Tennessee St.,W 3 - 0,3.0,4.9,2.2,14.6,0.06340000000000004,0.0,0.7,0.6,1.7,0.0,0.4,2.1,0.3,7.05
10192019,Belmont,W 3 - 0,3.0,4.6,1.8,13.9,0.07750000000000004,0.0,1.0,0.5,1.7,0.0,0.5,2.0,0.2,7.1
10252019,@ Tennessee Tech,L 1 - 3,4.0,5.3,1.8,15.2,0.15690000000000004,0.1,1.1,0.5,2.1,0.0,0.5,2.3,0.2,8.05
10262019,@ Jacksonville St.,L 0 - 3,3.0,6.3,1.6,16.6,0.24020000000000005,0.2,1.1,0.5,2.2,0.1,0.6,2.4,0.2,9.2
11012019,Eastern Ill.,W 3 - 1,4.0,6.2,1.6,16.4,0.23880000000000007,0.2,1.2,0.6,2.2,0.1,0.7,2.6,0.1,9.4
11022019,SIUE,W 3 - 2,3.0,6.9,2.1,17.2,0.25310000000000005,0.2,1.3,0.7,2.1,0.1,0.7,2.5,0.1,10.15
11072019,@ Southeast Mo. St.,L 2 - 3,4.0,6.5,1.9,16.1,0.26080000000000003,0.2,0.8,0.6,1.8,0.1,0.7,2.3,0.2,9.15
11082019,@ UT Martin,W 3 - 2,5.0,7.1,1.6,16.7,0.29840000000000005,0.3,0.9,0.5,1.8,0.2,0.8,2.4,0.2,10.0
11132019,@ Murray St.,L 2 - 3,0.0,6.4,1.5,14.8,0.26680000000000004,0.3,0.7,0.3,1.7,0.2,0.7,2.1,0.1,8.85
11162019,Eastern Ky.,W 3 - 0,1.0,6.3,1.2,14.0,0.3092000000000001,0.3,0.7,0.2,1.8,0.2,0.7,1.9,0.1,8.65
11212019,"Morehead St. @ Jacksonville, AL",L 1 - 3,0.0,5.5,1.1,12.3,0.2680000000000001,0.3,0.7,0.2,1.7,0.2,0.6,1.9,0.1,7.75
