Date,Opponent,Result,S,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS
8302019,@ Houston Baptist,L 0 - 3,3.0,1.0,1.0,4.0,0.0,4.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
8302019,"UTRGV @ Houston, TX",L 1 - 3,2.0,0.5,0.5,2.0,0.0,4.5,0.5,0.0,0.5,0.5,0.0,0.0,0.0,1.0
8312019,"Radford @ Houston, TX",L 0 - 3,3.0,0.3333333333333333,0.3333333333333333,2.3333333333333335,0.0,6.666666666666667,0.6666666666666666,0.0,1.6666666666666667,0.3333333333333333,0.0,0.0,0.0,1.0
9052019,@ Texas Southern,W 3 - 1,4.0,0.25,0.25,2.0,0.0,9.0,0.5,0.5,2.75,0.25,0.0,0.0,0.0,0.75
9062019,@ Texas Southern,W 3 - 2,4.0,0.2,0.2,1.6,0.0,10.6,0.8,0.8,3.4,0.2,0.0,0.0,0.0,1.0
9132019,"Boston College @ Boca Raton, Fla.",L 0 - 3,3.0,0.16666666666666666,0.16666666666666666,1.3333333333333333,0.0,10.333333333333334,0.6666666666666666,0.6666666666666666,3.1666666666666665,0.16666666666666666,0.0,0.0,0.0,0.8333333333333334
9132019,"Southern Utah @ Boca Raton, Fla.",L 0 - 3,3.0,0.14285714285714285,0.2857142857142857,1.2857142857142858,-0.14285714285714285,10.285714285714286,0.5714285714285714,0.5714285714285714,3.142857142857143,0.14285714285714285,0.0,0.0,0.0,0.7142857142857143
9142019,@ Fla. Atlantic,L 0 - 3,2.0,0.125,0.25,1.125,-0.125,9.625,0.5,0.5,3.125,0.125,0.0,0.0,0.0,0.625
9202019,"Nicholls St. @ Mobile, AL",W 3 - 2,5.0,0.3333333333333333,0.2222222222222222,1.2222222222222223,0.0,9.88888888888889,0.4444444444444444,0.4444444444444444,3.3333333333333335,0.1111111111111111,0.0,0.0,0.0,0.7777777777777778
9202019,@ South Alabama,L 0 - 3,3.0,0.4,0.2,1.7,0.0167,9.3,0.4,0.5,3.1,0.1,0.0,0.0,0.0,0.8
9212019,"Louisiana Tech @ Mobile, AL",L 1 - 3,4.0,0.5,0.1,2.4,0.0349,10.1,0.4,0.6,3.6,0.0,0.0,0.0,0.0,0.9
9242019,South Fla.,L 0 - 3,3.0,0.7,0.1,2.7,0.1016,10.5,0.3,0.7,4.4,0.0,0.0,0.0,0.0,1.0
9272019,Howard,L 1 - 3,4.0,0.7,0.1,2.6,0.1016,10.8,0.2,0.9,4.5,0.0,0.0,0.0,0.0,0.9
9292019,Norfolk St.,W 3 - 0,0.0,0.7,0.1,2.5,0.1016,9.2,0.2,0.7,3.9,0.0,0.0,0.0,0.0,0.9
10012019,Jacksonville,L 0 - 3,0.0,0.7,0.1,2.5,0.1016,7.5,0.0,0.5,3.3,0.0,0.0,0.0,0.0,0.7
10042019,@ South Carolina St.,W 3 - 1,4.0,0.7,0.1,2.6,0.1016,7.6,0.0,0.6,3.3,0.0,0.0,0.0,0.0,0.7
10062019,@ Stetson,L 0 - 3,3.0,0.8,0.0,2.6,0.3016,7.5,0.0,0.6,3.1,0.0,0.0,0.0,0.0,0.8
10082019,Florida A&M,L 2 - 3,3.0,0.8,0.0,2.6,0.3016,7.8,0.0,0.6,2.9,0.0,0.0,0.3,0.0,0.95
10112019,N.C. A&T,L 1 - 3,3.0,0.6,0.0,2.4,0.2016,6.9,0.0,0.6,2.4,0.0,0.0,0.3,0.0,0.75
10132019,N.C. Central,W 3 - 1,1.0,0.5,0.0,1.8,0.1849,6.7,0.0,0.5,2.6,0.0,0.0,0.3,0.0,0.65
10182019,Morgan St.,L 2 - 3,1.0,0.3,0.0,0.8,0.16670000000000001,5.5,0.0,0.4,2.0,0.0,0.0,0.3,0.0,0.45
10202019,Coppin St.,L 0 - 3,1.0,0.1,0.0,0.6,0.1,4.8,0.0,0.3,1.2,0.0,0.0,0.3,0.0,0.25
10222019,@ FGCU,L 0 - 3,3.0,0.3,0.0,0.7,0.16670000000000001,4.1,0.1,0.1,1.0,0.0,0.0,0.3,0.0,0.55
10252019,@ Delaware St.,L 0 - 3,3.0,0.5,0.0,0.9,0.2667,4.9,0.1,0.3,1.1,0.0,0.0,0.3,0.0,0.75
10272019,@ UMES,L 1 - 3,4.0,1.1,0.0,1.7,0.3417,7.1,0.2,0.3,1.6,0.0,0.0,0.3,0.0,1.45
11012019,South Carolina St.,W 3 - 0,3.0,1.5,0.0,2.3,0.3988,9.2,0.4,0.4,1.9,0.0,0.0,0.3,0.0,2.05
11052019,North Florida,L 1 - 3,4.0,1.5,0.0,2.4,0.34879999999999994,11.2,0.4,0.4,2.2,0.0,0.0,0.4,0.0,2.1
11082019,@ Florida A&M,W 3 - 1,4.0,1.5,0.0,2.7,0.34879999999999994,12.1,0.4,0.5,2.9,0.0,0.0,0.1,0.0,1.95
11102019,@ Jacksonville,L 1 - 3,4.0,1.6,0.0,3.2,0.36879999999999996,13.2,0.5,0.6,3.5,0.0,0.0,0.2,0.0,2.2
11152019,@ N.C. A&T,L 0 - 3,2.0,1.6,0.1,3.3,0.2688,13.1,0.5,0.6,3.4,0.0,0.0,0.2,0.0,2.2
11172019,@ N.C. Central,L 2 - 3,5.0,1.9,0.1,3.5,0.36879999999999996,15.4,0.9,0.6,3.9,0.0,0.0,0.2,0.0,2.9
11222019,"Morgan St. @ Washington, D.C.",L 1 - 3,4.0,2.0,0.1,3.5,0.4688,17.3,1.0,0.6,4.1,0.0,0.0,0.2,0.0,3.1
