Date,Opponent,Result,S,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS
8302019,"Wright St. @ Notre Dame, IN",W 3 - 1,4.0,8.0,6.0,25.0,0.08,0.0,0.0,0.0,9.0,1.0,0.0,0.0,0.0,8.0
8312019,"La Salle @ South Bend, IN",L 2 - 3,5.0,13.0,4.0,26.5,0.3255,0.0,0.0,0.5,5.0,1.0,0.0,0.5,0.5,13.25
8312019,@ Notre Dame,L 1 - 3,4.0,11.666666666666666,5.333333333333333,27.333333333333332,0.22833333333333336,0.0,0.0,0.6666666666666666,4.666666666666667,0.6666666666666666,0.0,0.6666666666666666,0.3333333333333333,12.0
9062019,Charlotte,W 3 - 0,3.0,11.5,4.0,25.0,0.324,0.0,0.0,0.5,4.0,0.5,0.0,1.0,0.25,12.0
9062019,Butler,W 3 - 1,4.0,11.0,4.2,25.8,0.28680000000000005,0.0,0.0,0.4,4.0,0.4,0.2,0.8,0.2,11.6
9072019,Cleveland St.,W 3 - 1,4.0,12.833333333333334,4.166666666666667,28.666666666666668,0.30883333333333335,0.0,0.0,0.3333333333333333,5.666666666666667,0.3333333333333333,0.16666666666666666,1.0,0.16666666666666666,13.5
9102019,@ Oakland,W 3 - 2,5.0,13.714285714285714,4.428571428571429,31.571428571428573,0.3025714285714286,0.0,0.0,0.42857142857142855,5.571428571428571,0.42857142857142855,0.14285714285714285,1.4285714285714286,0.14285714285714285,14.571428571428571
9132019,@ Western Ky.,L 0 - 3,3.0,13.0,4.375,29.75,0.294125,0.0,0.0,0.375,5.125,0.375,0.125,1.25,0.125,13.75
9142019,"Tulane @ Bowling Green, Ky.",L 1 - 3,4.0,12.555555555555555,4.555555555555555,30.22222222222222,0.27122222222222225,0.2222222222222222,0.0,0.4444444444444444,5.444444444444445,0.3333333333333333,0.1111111111111111,1.4444444444444444,0.1111111111111111,13.38888888888889
9142019,"Ohio St. @ Bowling Green, Ky.",L 0 - 3,3.0,12.8,4.3,29.9,0.2922,0.2,0.0,0.4,5.2,0.3,0.1,1.7,0.1,13.75
9202019,@ Xavier,W 3 - 1,4.0,13.6,4.0,31.0,0.32030000000000003,0.2,0.0,0.4,4.6,0.2,0.1,1.8,0.1,14.6
9212019,@ Cincinnati,L 0 - 3,3.0,12.2,3.9,29.3,0.29050000000000004,0.3,0.0,0.3,4.7,0.1,0.1,1.9,0.0,13.25
9272019,@ Ohio,W 3 - 2,5.0,13.4,3.7,31.2,0.3183,0.3,0.0,0.2,5.0,0.1,0.1,2.0,0.0,14.5
9282019,@ Kent St.,W 3 - 0,3.0,13.0,4.0,31.3,0.27830000000000005,0.4,0.0,0.3,5.0,0.1,0.1,1.9,0.0,14.05
10042019,Akron,L 1 - 3,4.0,13.1,4.2,32.5,0.27180000000000004,0.4,0.0,0.3,4.7,0.1,0.0,2.0,0.0,14.1
10052019,Buffalo,W 3 - 0,3.0,11.6,3.9,29.4,0.27990000000000004,0.4,0.0,0.3,3.4,0.1,0.0,1.9,0.0,12.55
10102019,@ Miami (OH),L 0 - 3,2.0,10.0,3.6,26.3,0.2534,0.4,0.0,0.2,3.0,0.0,0.0,1.6,0.0,10.8
10122019,@ Western Mich.,W 3 - 0,0.0,9.2,3.2,24.6,0.22990000000000005,0.4,0.0,0.2,2.8,0.0,0.0,1.6,0.0,10.0
10182019,Central Mich.,L 0 - 3,0.0,8.3,2.6,21.2,0.22110000000000002,0.2,0.0,0.1,2.0,0.0,0.0,1.3,0.0,8.95
10192019,Eastern Mich.,W 3 - 2,0.0,6.8,2.4,18.5,0.17300000000000004,0.2,0.0,0.1,1.7,0.0,0.0,0.9,0.0,7.25
10252019,@ Toledo,W 3 - 1,0.0,5.2,2.1,14.9,0.13690000000000005,0.2,0.0,0.1,1.4,0.0,0.0,0.8,0.0,5.6
10262019,@ Ball St.,W 3 - 2,0.0,4.8,2.0,13.8,0.10960000000000006,0.1,0.0,0.1,1.2,0.0,0.0,0.6,0.0,5.1
11012019,Kent St.,L 1 - 3,0.0,2.7,1.4,9.0,0.07840000000000005,0.1,0.0,0.1,0.5,0.0,0.0,0.4,0.0,2.9
11022019,Ohio,W 3 - 0,0.0,2.0,1.1,7.1,0.05730000000000005,0.0,0.0,0.0,0.3,0.0,0.0,0.3,0.0,2.15
11082019,@ Buffalo,L 1 - 3,0.0,1.0,0.4,3.0,0.05000000000000006,0.0,0.0,0.0,0.2,0.0,0.0,0.2,0.0,1.1
11092019,@ Akron,W 3 - 0,0.0,0.3,0.3,1.8,5.551115123125783e-17,0.0,0.0,0.0,0.1,0.0,0.0,0.1,0.0,0.35
11142019,Miami (OH),W 3 - 2,1.0,0.1,0.2,0.6,-0.016699999999999944,0.0,0.0,0.0,0.1,0.0,0.1,0.1,0.0,0.25
11162019,Northern Ill.,W 3 - 2,2.0,0.5,0.2,1.4,0.03330000000000006,0.0,0.0,0.0,0.2,0.0,0.1,0.1,0.0,0.65
11222019,Buffalo,W 3 - 0,3.0,1.2,0.3,3.1,0.06860000000000006,0.0,0.0,0.0,0.2,0.0,0.1,0.2,0.1,1.4
11232019,@ Central Mich.,W 3 - 1,4.0,2.8,0.7,6.4,0.10500000000000007,0.0,0.0,0.0,0.3,0.0,0.1,0.3,0.1,3.05
11242019,Ball St.,L 2 - 3,5.0,3.8,1.3,9.4,0.11830000000000007,0.0,0.0,0.0,0.4,0.0,0.1,0.3,0.1,4.05
12052019,Purdue Fort Wayne,W 3 - 1,4.0,4.7,1.6,11.1,0.15360000000000007,0.0,0.0,0.0,1.1,0.0,0.1,0.4,0.2,5.0
12062019,TCU,L 0 - 3,3.0,4.9,1.8,12.0,0.15360000000000007,0.0,0.0,0.0,1.1,0.0,0.1,0.5,0.2,5.25
