Date,Opponent,Result,S,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS
8302019,"Montana St. @ Fayetteville, Ark.",L 0 - 3,3.0,3.0,5.0,26.0,-0.077,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0
8302019,@ Arkansas,L 0 - 3,3.0,2.5,3.5,21.0,-0.0385,0.0,0.0,0.0,2.5,0.5,0.0,0.5,0.0,2.75
8312019,"Northwestern St. @ Fayetteville, Ark.",L 0 - 3,3.0,4.0,3.3333333333333335,23.333333333333332,0.022000000000000006,0.0,0.6666666666666666,0.3333333333333333,3.0,0.3333333333333333,0.0,0.6666666666666666,0.0,5.0
9062019,"Illinois St. @ Tulsa, OK",L 0 - 3,3.0,4.5,2.75,20.75,0.11275,0.0,0.5,0.5,3.75,0.75,0.0,0.75,0.0,5.375
9062019,"Air Force @ Tulsa, OK",L 0 - 3,3.0,4.6,3.0,21.8,0.0978,0.2,0.6,0.4,4.0,0.8,0.0,1.0,0.2,5.7
9072019,@ Oral Roberts,L 0 - 3,3.0,4.5,3.1666666666666665,22.666666666666668,0.0815,0.16666666666666666,0.6666666666666666,0.3333333333333333,4.0,1.1666666666666667,0.16666666666666666,0.8333333333333334,0.3333333333333333,5.75
9132019,"Ole Miss @ Conway, AR",L 0 - 3,3.0,4.285714285714286,3.4285714285714284,22.714285714285715,0.05742857142857143,0.14285714285714285,0.7142857142857143,0.5714285714285714,4.857142857142857,1.1428571428571428,0.14285714285714285,0.7142857142857143,0.42857142857142855,5.5
9132019,"Oral Roberts @ Conway, AR",W 3 - 2,5.0,5.125,3.375,24.5,0.07725000000000001,0.125,0.625,0.875,5.875,1.125,0.375,0.875,0.5,6.5625
9142019,Central Ark.,W 3 - 1,1.0,4.666666666666667,3.111111111111111,22.11111111111111,0.06866666666666668,0.1111111111111111,0.5555555555555556,0.7777777777777778,5.555555555555555,1.0,0.3333333333333333,0.7777777777777778,0.4444444444444444,5.944444444444445
9202019,"Mercer @ Martin, TN",L 1 - 3,0.0,4.2,2.8,19.9,0.06180000000000001,0.1,0.5,0.7,5.0,0.9,0.3,0.7,0.4,5.35
9202019,"Evansville @ Martin, TN",L 0 - 3,0.0,3.9,2.3,17.3,0.0695,0.1,0.5,0.7,4.7,0.9,0.3,0.7,0.4,5.05
9212019,@ UT Martin,L 1 - 3,0.0,3.7,2.1,15.7,0.0695,0.1,0.5,0.7,4.5,0.8,0.3,0.6,0.4,4.8
9272019,@ Troy,L 0 - 3,0.0,3.0,1.8,12.9,0.055200000000000006,0.1,0.3,0.6,4.1,0.8,0.3,0.5,0.4,3.85
9282019,@ South Alabama,L 1 - 3,0.0,2.4,1.7,11.6,0.016700000000000003,0.1,0.3,0.5,3.5,0.6,0.3,0.4,0.4,3.2
10042019,UT Arlington,L 0 - 3,0.0,1.9,1.3,9.0,0.012900000000000003,0.0,0.2,0.5,3.0,0.5,0.3,0.2,0.3,2.5
10052019,Texas St.,L 0 - 3,0.0,1.5,0.9,6.3,0.012900000000000003,0.0,0.1,0.5,2.6,0.2,0.2,0.2,0.2,1.9
10112019,Coastal Carolina,L 0 - 3,0.0,1.2,0.4,4.0,0.0216,0.0,0.0,0.3,1.6,0.1,0.2,0.2,0.1,1.5
10122019,App State,W 3 - 1,0.0,0.1,0.1,0.3,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.1
10192019,Arkansas St.,L 0 - 3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10252019,@ Louisiana,L 0 - 3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10262019,@ ULM,W 3 - 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11012019,Georgia St.,W 3 - 2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11022019,Ga. Southern,W 3 - 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11052019,@ Arkansas St.,L 0 - 3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11082019,@ Texas St.,L 0 - 3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11102019,@ UT Arlington,L 0 - 3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11152019,ULM,L 2 - 3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11162019,Louisiana,L 0 - 3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
