Date,Opponent,Result,S,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS
08302019,@ Omaha,L 0 - 3,1.0,0,1,6,-0.16699999999999998,0,0,0,4,0,0,0,0,0.0
08302019,"Albany (NY) @ Omaha, NE",L 1 - 3,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0
08312019,"Idaho St. @ Omaha, NE",L 1 - 3,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0
09062019,"LMU (CA) @ Houston, Texas",L 0 - 3,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0
09072019,@ Rice,L 0 - 3,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0
09082019,"Prairie View @ Houston, TX",W 3 - 1,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0
09122019,Cal St. Fullerton,L 0 - 3,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0
09132019,Prairie View,W 3 - 2,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0
09142019,North Texas,L 0 - 3,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0
09162019,@ Texas Tech,L 0 - 3,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0
09262019,UIW,W 3 - 0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0
09282019,A&M-Corpus Christi,W 3 - 1,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0
10032019,@ McNeese,L 0 - 3,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0
10052019,@ Lamar University,L 1 - 3,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0
10102019,@ Nicholls St.,L 1 - 3,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0
10122019,@ SFA,L 0 - 3,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0
10172019,Southeastern La.,L 1 - 3,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0
10222019,New Orleans,W 3 - 0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0
10242019,@ Northwestern St.,L 0 - 3,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0
10262019,@ Central Ark.,L 0 - 3,2.0,4,1,8,0.375,0,1,1,5,0,0,1,0,5.5
10292019,Houston Baptist,L 0 - 3,1.0,1,3,6,-0.33299999999999996,1,0,0,2,0,0,0,0,1.0
11022019,Sam Houston St.,L 2 - 3,5.0,8,5,26,0.115,0,0,1,15,2,0,2,0,9.0
11072019,@ UIW,L 2 - 3,4.0,6,3,34,0.08800000000000001,0,1,2,6,2,0,2,0,8.0
11092019,@ A&M-Corpus Christi,L 0 - 3,2.0,0,0,0,0.0,0,0,1,4,2,0,0,0,0.0
11142019,McNeese,W 3 - 0,3.0,7,3,30,0.133,0,2,0,14,0,0,1,0,9.5
11162019,Lamar University,W 3 - 2,5.0,15,3,37,0.324,2,5,1,12,1,0,2,0,21.0
