Date,Opponent,Result,S,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS
08302019,Cal Poly @ Salt Lake City,W 3 - 0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0
08302019,@ Utah,L 0 - 3,1.0,1,1,3,0.0,0,0,0,2,0,0,0,0,1.0
08312019,Saint Mary's (CA) @ Salt Lake City,W 3 - 0,3.0,8,5,18,0.16699999999999998,0,0,0,1,0,1,5,1,11.5
09062019,"Creighton @ Cedar Falls, IA",L 1 - 3,3.0,4,4,12,0.0,0,0,0,1,0,0,0,0,4.0
09062019,"Southern California @ Cedar Falls, IA",W 3 - 1,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0
09072019,@ UNI,W 3 - 0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0
09132019,Cleveland St.,W 3 - 0,1.0,3,0,6,0.5,0,0,0,0,0,0,1,1,3.5
09132019,FGCU,W 3 - 1,2.0,7,1,9,0.667,0,0,1,0,0,0,3,0,8.5
09142019,Indiana,L 2 - 3,5.0,2,5,20,-0.15,0,0,0,2,1,0,6,1,5.0
09182019,Purdue,L 2 - 3,5.0,11,5,23,0.261,1,0,0,4,0,1,1,1,12.5
09202019,Louisville,W 3 - 0,3.0,5,3,14,0.14300000000000002,0,0,0,1,1,0,2,1,6.0
09272019,Mississippi St.,W 3 - 1,4.0,7,3,23,0.174,1,1,3,3,0,1,0,0,9.0
09292019,@ Missouri,W 3 - 0,3.0,6,4,19,0.105,0,0,0,0,0,0,3,0,7.5
10042019,South Carolina,W 3 - 0,3.0,9,2,19,0.368,0,0,0,1,0,1,2,0,11.0
10062019,Florida,W 3 - 2,5.0,9,5,23,0.174,0,0,0,2,1,0,3,1,10.5
10112019,Georgia,L 2 - 3,5.0,11,3,25,0.32,0,0,0,3,0,0,5,2,13.5
10162019,@ Tennessee,W 3 - 0,3.0,3,1,11,0.182,0,0,0,0,0,0,1,0,3.5
10202019,@ Alabama,W 3 - 0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0
10232019,LSU,W 3 - 0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0
10272019,@ Ole Miss,W 3 - 1,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0
11012019,Texas A&M,L 1 - 3,3.0,4,0,7,0.5710000000000001,0,0,0,0,0,0,0,0,4.0
11032019,Arkansas,W 3 - 0,3.0,3,2,11,0.091,1,0,0,0,1,1,1,1,4.5
11082019,@ Georgia,W 3 - 0,3.0,0,2,6,-0.33299999999999996,0,0,0,2,0,0,3,0,1.5
11102019,@ Auburn,W 3 - 0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0
11152019,@ South Carolina,W 3 - 0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0
11172019,@ Florida,W 3 - 2,3.0,3,3,10,0.0,0,0,0,0,0,0,1,0,3.5
11202019,Missouri,W 3 - 0,3.0,2,2,9,0.0,0,0,0,2,0,0,2,0,3.0
11272019,@ LSU,W 3 - 1,4.0,8,3,19,0.263,1,0,0,2,0,0,5,0,10.5
11302019,Ole Miss,W 3 - 0,3.0,6,1,10,0.5,0,0,0,0,0,0,1,0,6.5
12062019,Southeast Mo. St.,W 3 - 0,3.0,5,2,12,0.25,0,0,0,2,0,0,5,0,7.5
12072019,Michigan,W 3 - 0,3.0,2,1,5,0.2,1,0,0,1,0,0,4,0,4.0
12132019,"Washington @ Waco, Texas",L 1 - 3,4.0,10,4,18,0.33299999999999996,0,0,0,0,0,0,2,0,11.0
