Date,Opponent,Result,S,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS
08302019,"Duke @ Charleston, S.C.",W 3 - 1,4.0,23,2,49,0.429,0,1,0,9,3,0,3,0,25.5
08312019,@ Col. of Charleston,W 3 - 0,3.0,16,2,40,0.35,1,1,1,9,3,0,0,0,17.0
09062019,Indiana St.,W 3 - 0,3.0,5,2,20,0.15,1,3,1,8,1,0,2,1,9.0
09062019,Cincinnati,W 3 - 1,4.0,13,6,36,0.19399999999999998,1,2,1,10,2,1,2,2,17.0
09072019,Tennessee,L 2 - 3,5.0,17,6,47,0.23399999999999999,0,3,3,6,2,0,0,1,20.0
09122019,Oakland,W 3 - 0,3.0,11,2,29,0.31,0,2,2,9,0,0,2,0,14.0
09152019,North Carolina,W 3 - 0,3.0,5,6,23,-0.043,0,1,1,9,0,0,5,0,8.5
09202019,"Auburn @ Kalamazoo, Mich.",W 3 - 1,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0
09202019,"IUPUI @ Kalamazoo, Mich.",W 3 - 1,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0
09212019,@ Western Mich.,W 3 - 0,3.0,7,1,21,0.28600000000000003,0,1,1,3,1,0,1,0,8.5
09252019,@ Penn St.,L 0 - 3,3.0,10,6,27,0.14800000000000002,0,0,1,6,0,0,0,0,10.0
09282019,Maryland,W 3 - 0,3.0,7,2,23,0.217,0,1,0,9,0,0,2,0,9.0
10042019,@ Ohio St.,W 3 - 0,3.0,11,1,23,0.435,0,1,0,4,1,0,1,1,12.5
10052019,@ Maryland,L 2 - 3,5.0,17,11,53,0.113,2,0,3,12,3,0,2,2,18.0
10112019,@ Nebraska,L 1 - 3,4.0,11,11,53,0.0,0,1,2,9,1,0,2,0,13.0
10132019,@ Iowa,W 3 - 2,5.0,15,4,40,0.275,2,1,1,8,0,1,1,0,17.5
10182019,Rutgers,W 3 - 0,3.0,11,3,17,0.47100000000000003,1,1,1,9,1,0,0,0,12.0
10202019,Penn St.,L 0 - 3,3.0,9,7,28,0.071,0,0,2,4,3,0,1,0,9.5
10252019,Wisconsin,L 0 - 3,3.0,11,6,35,0.14300000000000002,1,1,2,6,2,0,1,1,12.5
10272019,Minnesota,L 1 - 3,4.0,9,6,28,0.107,1,1,4,6,3,0,1,0,10.5
11012019,@ Northwestern,L 0 - 3,3.0,6,3,20,0.15,1,0,1,6,1,0,0,0,6.0
11022019,@ Illinois,L 0 - 3,3.0,5,3,17,0.11800000000000001,0,0,0,3,0,0,1,1,5.5
11062019,@ Michigan,L 1 - 3,4.0,9,5,36,0.111,2,0,1,8,0,1,3,0,11.5
11092019,Northwestern,W 3 - 2,5.0,9,9,30,0.0,0,1,1,9,0,1,4,0,13.0
11132019,Nebraska,L 0 - 3,3.0,4,5,26,-0.038,1,0,0,6,1,0,0,0,4.0
11162019,@ Wisconsin,L 0 - 3,3.0,5,5,22,0.0,2,0,1,7,1,0,1,0,5.5
11202019,Michigan,L 2 - 3,5.0,7,2,27,0.185,1,2,0,7,2,1,0,0,10.0
11242019,@ Indiana,L 0 - 3,3.0,5,2,21,0.14300000000000002,0,0,1,4,0,1,1,0,6.5
11302019,Purdue,L 2 - 3,5.0,8,2,19,0.316,0,0,1,8,2,2,0,0,10.0
11302019,Indiana,W 3 - 1,4.0,6,2,13,0.308,0,1,0,10,1,0,1,0,7.5
