Date,Opponent,Result,S,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS
08302019,"CSU Bakersfield @ Sacramento, Calif.",W 3 - 1,4,0,0,0,0.0,3,1,3,19,3,0,0,0,1.0
08302019,"Canisius @ Sacramento, Calif.",L 2 - 3,5,0,0,0,0.0,4,1,3,19,0,0,0,0,1.0
08312019,@ Sacramento St.,W 3 - 1,4,0,0,0,0.0,3,0,2,32,3,0,0,0,0.0
09062019,"Purdue Fort Wayne @ San Francisco, CA",W 3 - 0,3,0,0,0,0.0,0,1,0,9,2,0,0,0,1.0
09062019,"UC Riverside @ San Francisco, CA",L 0 - 3,3,0,0,0,0.0,2,1,0,11,2,0,0,0,1.0
09072019,@ San Francisco,W 3 - 1,4,0,0,0,0.0,1,0,1,16,2,0,0,0,0.0
09132019,"CSUN @ Portland, OR",W 3 - 1,4,0,0,0,0.0,2,2,1,10,6,0,0,0,2.0
09132019,@ Portland St.,W 3 - 0,3,0,0,0,0.0,5,1,2,16,0,0,0,0,1.0
09142019,"Morgan St. @ Portland, OR",W 3 - 0,3,0,0,0,0.0,0,0,0,9,2,0,0,0,0.0
09202019,Southern Utah,W 3 - 2,5,0,0,0,0.0,7,0,2,10,11,0,0,0,0.0
09202019,Gonzaga,W 3 - 0,3,0,0,0,0.0,2,1,1,13,1,0,0,0,1.0
09212019,California Baptist,W 3 - 2,5,0,0,0,0.0,6,0,2,15,2,0,0,0,0.0
09262019,@ Fresno St.,L 0 - 3,3,0,1,1,-1.0,1,0,1,3,4,0,0,0,0.0
09282019,San Diego St.,W 3 - 1,4,0,0,0,0.0,2,0,1,15,3,0,0,0,0.0
10032019,@ Boise St.,W 3 - 1,4,0,0,1,0.0,4,0,3,16,2,0,0,0,0.0
10052019,@ Utah St.,W 3 - 0,3,0,0,2,0.0,3,1,0,14,2,0,0,0,1.0
10082019,San Jose St.,W 3 - 2,5,0,0,0,0.0,6,1,1,16,7,0,0,0,1.0
10102019,Air Force,L 1 - 3,4,0,0,0,0.0,3,0,0,12,4,0,0,0,0.0
10172019,New Mexico,L 2 - 3,5,0,0,0,0.0,7,2,2,11,1,0,0,0,2.0
10192019,UNLV,L 1 - 3,4,0,0,0,0.0,0,1,2,5,0,0,0,0,1.0
10242019,@ Wyoming,L 0 - 3,3,0,0,0,0.0,0,0,2,9,1,0,0,0,0.0
10262019,@ Colorado St.,L 0 - 3,3,0,0,0,0.0,0,1,0,7,0,0,0,0,1.0
10312019,Utah St.,W 3 - 0,3,0,0,0,0.0,0,1,0,4,0,0,0,0,1.0
11022019,Boise St.,W 3 - 1,4,0,0,0,0.0,0,3,2,8,0,0,0,0,3.0
11052019,@ San Jose St.,L 2 - 3,5,0,0,0,0.0,0,0,1,15,0,0,0,0,0.0
11092019,@ Air Force,W 3 - 0,3,0,0,0,0.0,1,1,1,3,0,0,0,0,1.0
11142019,@ UNLV,L 1 - 3,4,0,0,0,0.0,2,0,3,11,0,0,0,0,0.0
11162019,@ New Mexico,L 0 - 3,3,0,0,0,0.0,0,1,0,5,0,0,0,0,1.0
11212019,Wyoming,L 2 - 3,5,0,0,0,0.0,1,1,2,4,1,0,0,0,1.0
11232019,Colorado St.,L 0 - 3,3,0,0,0,0.0,0,0,1,3,1,0,0,0,0.0
