Date,Opponent,Result,S,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS
8302019,NJIT,W 3 - 1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8312019,Saint Peter's,W 3 - 2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8312019,UMES,W 3 - 1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9062019,"Siena @ Lewisburg, PA",L 0 - 3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9062019,"Hampton @ Lewisburg, PA",L 2 - 3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9072019,@ Bucknell,L 1 - 3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9132019,"Chicago St. @ Philadelphia, PA",W 3 - 1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9142019,"Duquesne @ Philadelphia, PA",L 1 - 3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9142019,@ Penn,L 0 - 3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9172019,@ Stony Brook,L 1 - 3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9202019,"UMES @ Hartford, CT",W 3 - 2,5.0,1.7272727272727273,0.18181818181818182,3.5454545454545454,0.039636363636363636,0.09090909090909091,0.18181818181818182,0.2727272727272727,1.0,0.09090909090909091,0.0,0.09090909090909091,0.0,1.9545454545454546
9212019,"Lafayette @ Hartford, CT",L 2 - 3,5.0,2.5833333333333335,0.5,6.0,0.056499999999999995,0.16666666666666666,0.25,0.3333333333333333,1.9166666666666667,0.5,0.0,0.3333333333333333,0.16666666666666666,3.0
9212019,@ Hartford,L 1 - 3,4.0,2.923076923076923,0.6923076923076923,8.0,0.061769230769230764,0.15384615384615385,0.38461538461538464,0.46153846153846156,2.230769230769231,0.6923076923076923,0.07692307692307693,0.46153846153846156,0.15384615384615385,3.6153846153846154
9272019,Sacred Heart,L 2 - 3,5.0,3.357142857142857,0.8571428571428571,10.214285714285714,0.06835714285714285,0.21428571428571427,0.35714285714285715,0.5714285714285714,2.7857142857142856,0.8571428571428571,0.14285714285714285,0.8571428571428571,0.14285714285714285,4.285714285714286
9282019,Bryant,L 2 - 3,5.0,3.8,1.2666666666666666,12.4,0.06846666666666666,0.26666666666666666,0.3333333333333333,0.6,3.8666666666666667,1.0,0.13333333333333333,1.0,0.13333333333333333,4.766666666666667
10042019,Fairleigh Dickinson,W 3 - 0,3.0,4.125,1.5,13.25,0.07381249999999999,0.25,0.375,0.6875,4.375,0.9375,0.125,0.9375,0.25,5.09375
10052019,@ Central Conn. St.,L 0 - 3,2.0,4.0,1.588235294117647,13.176470588235293,0.06458823529411764,0.29411764705882354,0.35294117647058826,0.6470588235294118,4.117647058823529,1.0,0.17647058823529413,0.8823529411764706,0.23529411764705882,4.970588235294118
10092019,Manhattan,W 3 - 1,0.0,3.7777777777777777,1.5,12.444444444444445,0.06099999999999999,0.2777777777777778,0.3333333333333333,0.6111111111111112,3.888888888888889,0.9444444444444444,0.16666666666666666,0.8333333333333334,0.2222222222222222,4.694444444444445
10122019,@ Merrimack,W 3 - 0,0.0,3.5789473684210527,1.4210526315789473,11.789473684210526,0.05778947368421052,0.2631578947368421,0.3157894736842105,0.5789473684210527,3.6842105263157894,0.8947368421052632,0.15789473684210525,0.7894736842105263,0.21052631578947367,4.447368421052632
10162019,@ LIU,L 1 - 3,1.0,3.45,1.35,11.25,0.1049,0.25,0.3,0.55,3.5,0.85,0.15,0.75,0.2,4.275
10182019,Saint Francis (PA),W 3 - 0,3.0,3.6666666666666665,1.380952380952381,11.619047619047619,0.11495238095238094,0.23809523809523808,0.2857142857142857,0.5238095238095238,3.5714285714285716,0.8095238095238095,0.14285714285714285,0.8095238095238095,0.19047619047619047,4.5
10192019,Robert Morris,L 0 - 3,2.0,3.6818181818181817,1.4545454545454546,12.045454545454545,0.1119090909090909,0.2727272727272727,0.2727272727272727,0.5,3.5,0.8636363636363636,0.18181818181818182,0.8181818181818182,0.18181818181818182,4.545454545454546
10222019,@ Saint Peter's,W 3 - 1,1.0,3.5652173913043477,1.391304347826087,11.695652173913043,0.11791304347826086,0.2608695652173913,0.2608695652173913,0.4782608695652174,3.347826086956522,0.8260869565217391,0.17391304347826086,0.782608695652174,0.17391304347826086,4.391304347826087
