0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Date,Opponent,Result,S,MP,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,
08/26/2016,CSU Bakersfield,L 2 - 3,5,1,6,6,25,,,1,1,4,4,,1,,7.5,1,
08/27/2016,Hofstra,L 1 - 3,4,1,5,3,29,0.069,1,,,2,1,,3,,6.5,,
08/27/2016,Valparaiso,L 2 - 3,5,1,12,5,35,0.200,1,2,3,12,2,,1,1,14.5,,
09/02/2016,@ Texas,L 0 - 3,3,1,6,2,22,0.182,,1,,6,2,,1,1,7.5,,
09/02/2016,"Lipscomb @ Austin, TX",W 3 - 1,4,1,13,3,31,0.323,1,,1,4,2,3,4,,18.0,,
09/03/2016,"UTSA @ Austin, Texas",W 3 - 0,3,1,11,1,17,0.588,,,1,6,1,,1,,11.5,,
09/09/2016,"Hartford @ Hanover, N.H.",W 3 - 0,3,1,11,3,30,0.267,,2,1,7,,,,,13.0,,
09/09/2016,@ Dartmouth,W 3 - 0,3,1,15,4,38,0.289,1,2,1,8,,,2,,18.0,,
09/10/2016,Niagara,W 3 - 0,3,1,7,1,24,0.250,1,1,3,4,,,1,,8.5,,
09/10/2016,"Central Conn. St. @ Hanover, N.H.",W 3 - 0,3,1,10,6,31,0.129,,1,1,11,,,3,,12.5,,
09/13/2016,@ Marist,W 3 - 0,3,1,13,3,29,0.345,1,1,1,9,1,,1,,14.5,,
09/16/2016,UConn,L 1 - 3,4,1,5,4,26,0.038,,,1,4,3,,2,,6.0,,
09/17/2016,Delaware St.,W 3 - 0,1,1,1,0,9,0.111,,,1,2,,,,,1.0,,
09/17/2016,Albany (NY),L 2 - 3,5,1,10,8,46,0.043,1,1,3,21,1,,2,,12.0,1,
09/20/2016,@ Holy Cross,W 3 - 0,3,1,8,0,21,0.381,,,2,10,1,,1,,8.5,,
09/24/2016,Colgate,W 3 - 1,4,1,11,5,33,0.182,1,,1,7,5,,,,11.0,,
09/30/2016,American,L 0 - 3,3,1,6,4,25,0.080,,1,3,10,1,,,,7.0,,
10/01/2016,Loyola Maryland,W 3 - 1,4,1,8,1,24,0.292,,1,2,18,3,,,,9.0,,
10/07/2016,@ Navy,L 0 - 3,3,1,5,5,26,,,1,,1,,,1,1,6.5,,
10/08/2016,@ Lafayette,W 3 - 0,2,1,11,1,18,0.556,,3,1,4,1,,1,,14.5,,
10/14/2016,@ Bucknell,W 3 - 0,3,1,15,0,21,0.714,,3,1,5,,1,,,19.0,,
10/15/2016,@ Lehigh,W 3 - 1,4,1,14,7,41,0.171,2,3,4,8,,,1,,17.5,,
10/18/2016,Holy Cross,W 3 - 1,4,1,18,5,40,0.325,,2,,13,,,,1,20.0,1,
10/21/2016,@ Colgate,L 0 - 3,3,1,4,4,16,,,,,5,,,1,,4.5,,
10/28/2016,@ Loyola Maryland,W 3 - 0,3,1,9,2,21,0.333,,3,3,7,1,,,,12.0,,
10/29/2016,@ American,L 0 - 3,3,1,9,6,29,0.103,,3,1,4,,,2,,13.0,,
11/04/2016,Lafayette,W 3 - 0,3,1,7,2,23,0.217,,4,2,10,2,,1,,11.5,,
11/05/2016,Navy,W 3 - 2,5,1,13,3,45,0.222,2,2,3,22,4,,,,15.0,,
11/11/2016,Lehigh,W 3 - 1,4,1,13,4,32,0.281,1,3,1,8,2,,,,16.0,,
11/12/2016,Bucknell,W 3 - 0,3,1,12,3,29,0.310,,,3,8,,,1,1,12.5,,
11/19/2016,"Colgate @ Washington, D.C.",L 1 - 3,4,1,14,7,47,0.149,2,,1,7,2,,,1,14.0,,
