0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Date,Opponent,Result,S,MP,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,
08/26/2016,@ Samford,W 3 - 0,3,1,11,3,22,0.364,,,,3,,,3,,12.5,,
08/26/2016,"South Alabama @ Birmingham, Ala.",L 2 - 3,5,1,22,7,45,0.333,,,,2,1,,3,,23.5,,
08/27/2016,"Nicholls St. @ Birmingham, Ala.",W 3 - 0,3,1,7,3,22,0.182,,,,1,,,1,,7.5,,
09/02/2016,"West Virginia @ Charleston, W.Va.",L 2 - 3,5,1,12,6,36,0.167,,,,2,,,,,12.0,,
09/02/2016,"Morehead St. @ Charleston, W.Va.",W 3 - 0,3,1,7,2,12,0.417,,,,1,1,,1,,7.5,,
09/03/2016,"Marshall @ Charleston, W.Va.",W 3 - 2,5,1,10,8,40,0.050,,,,2,,2,3,1,13.5,,
09/09/2016,"UNCW @ Denton, Texas",L 0 - 3,3,1,5,2,15,0.200,,,,1,,,2,,6.0,,
09/09/2016,@ North Texas,L 0 - 3,3,1,9,2,23,0.304,,,,1,2,,2,,10.0,,
09/10/2016,"Louisiana @ Denton, Texas",W 3 - 2,5,1,6,3,21,0.143,1,,,2,,,4,,8.0,,
09/13/2016,@ Butler,L 1 - 3,4,1,2,3,20,-0.050,,1,,1,,,1,,3.5,,
09/16/2016,Bradley,W 3 - 1,4,1,10,3,21,0.333,,,2,3,,,,2,10.0,,
09/17/2016,Western Mich.,L 2 - 3,5,1,9,6,30,0.100,,,,1,,,,,9.0,,
09/24/2016,Loyola Chicago,L 2 - 3,5,1,10,4,21,0.286,,,1,1,,3,5,,15.5,,
09/27/2016,Eastern Ill.,W 3 - 1,,,,,,,,,,,,,,,,,
09/30/2016,@ Illinois St.,L 0 - 3,,,,,,,,,,,,,,,,,
10/03/2016,@ UNI,L 1 - 3,,,,,,,,,,,,,,,,,
10/07/2016,@ Southern Ill.,L 0 - 3,,,,,,,,,,,,,,,,,
10/08/2016,@ Evansville,W 3 - 2,,,,,,,,,,,,,,,,,
10/14/2016,Wichita St.,L 1 - 3,4,1,7,5,24,0.083,,1,,4,,1,1,,9.5,,
10/15/2016,Missouri St.,L 0 - 3,3,1,2,5,14,-0.214,,1,1,3,,1,,,4.0,,
10/21/2016,@ Loyola Chicago,W 3 - 1,4,1,9,1,14,0.571,,,2,3,,,2,,10.0,,
10/22/2016,@ Bradley,L 1 - 3,4,1,6,1,13,0.385,,1,,6,1,,5,1,9.5,,
10/28/2016,Illinois St.,L 0 - 3,3,1,3,5,19,-0.105,,,,1,,1,,,4.0,,
10/31/2016,@ Drake,L 0 - 3,3,1,5,2,13,0.231,,,1,2,,,5,1,7.5,,
11/04/2016,Evansville,W 3 - 0,3,1,7,1,13,0.462,,,,1,,,2,,8.0,,
11/05/2016,Southern Ill.,L 1 - 3,4,1,2,4,10,-0.200,,,,,,,3,,3.5,,
11/11/2016,@ Missouri St.,L 0 - 3,3,1,5,8,25,-0.120,1,,,2,,2,1,,7.5,,
11/12/2016,@ Wichita St.,L 0 - 3,3,1,4,2,15,0.133,,,,,,2,,,6.0,,
11/18/2016,Drake,L 1 - 3,4,1,14,7,35,0.200,,,,2,,1,7,,18.5,1,
11/19/2016,UNI,L 0 - 3,3,1,4,3,23,0.043,,,1,,,,3,,5.5,,
