0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Date,Opponent,Result,S,MP,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,
08/26/2016,"UNI @ Ann Arbor, Mich.",L 0 - 3,3,1,1,0,4,0.250,,,,1,,,,,1.0,,
08/27/2016,"Saint Louis @ Ann Arbor, Mich.",W 3 - 2,,,,,,,,,,,,,,,,,
08/27/2016,@ Michigan,L 0 - 3,,,,,,,,,,,,,,,,,
08/30/2016,@ Dayton,L 1 - 3,,,,,,,,,,,,,,,,,
09/02/2016,"Illinois St. @ Columbia, Mo.",L 2 - 3,1,1,0,0,0,,,,,1,,,,,,,
09/03/2016,@ Missouri,W 3 - 2,,,,,,,,,,,,,,,,,
09/06/2016,Xavier,W 3 - 1,,,,,,,,,,,,,,,,,
09/09/2016,@ Auburn,W 3 - 2,,,,,,,,,,,,,,,,,
09/09/2016,"Jacksonville @ Auburn, Ala.",W 3 - 0,,,,,,,,,,,,,,,,,
09/10/2016,"Memphis @ Auburn, Ala.",W 3 - 0,,,,,,,,,,,,,,,,,
09/14/2016,@ Cincinnati,W 3 - 0,,,,,,,,,,,,,,,,,
09/16/2016,Furman,W 3 - 0,,,,,,,,,,,,,,,,,
09/22/2016,@ Bowling Green,W 3 - 0,,,,,,,,,,,,,,,,,
09/24/2016,@ Western Mich.,W 3 - 0,,,,,,,,,,,,,,,,,
09/29/2016,Ohio,W 3 - 0,,,,,,,,,,,,,,,,,
09/30/2016,Kent St.,W 3 - 0,,,,,,,,,,,,,,,,,
10/07/2016,@ Buffalo,W 3 - 0,,,,,,,,,,,,,,,,,
10/08/2016,@ Akron,W 3 - 1,,,,,,,,,,,,,,,,,
10/14/2016,@ Central Mich.,W 3 - 0,,,,,,,,,,,,,,,,,
10/15/2016,@ Eastern Mich.,W 3 - 1,,,,,,,,,,,,,,,,,
10/21/2016,Toledo,W 3 - 0,,,,,,,,,,,,,,,,,
10/22/2016,Ball St.,W 3 - 0,1,1,1,1,2,,,,,,,1,,,2.0,,
10/27/2016,Bowling Green,W 3 - 0,,,,,,,,,,,,,,,,,
10/29/2016,Northern Ill.,W 3 - 0,,,,,,,,,,,,,,,,,
11/04/2016,@ Ohio,W 3 - 0,1,1,0,0,0,,,,,,,,,,,,
11/05/2016,@ Kent St.,L 2 - 3,,,,,,,,,,,,,,,,,
11/11/2016,Akron,W 3 - 0,,,,,,,,,,,,,,,,,
11/12/2016,Buffalo,W 3 - 0,,,,,,,,,,,,,,,,,
11/19/2016,"Bowling Green @ DeKalb, Ill.",W 3 - 1,,,,,,,,,,,,,,,,,
11/20/2016,Northern Ill.,L 0 - 3,,,,,,,,,,,,,,,,,
12/01/2016,"Oregon @ Ann Arbor, Mich.",L 1 - 3,,,,,,,,,,,,,,,,,
