0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Date,Opponent,Result,S,MP,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,
08/26/2016,Wake Forest,W 3 - 2,4,1,8,3,15,0.333,,,,1,,,1,,8.5,,
08/27/2016,St. Francis Brooklyn,W 3 - 0,3,1,8,3,18,0.278,,,,1,,,2,,9.0,,
08/27/2016,Norfolk St.,W 3 - 0,3,1,6,1,12,0.417,,,,1,,1,1,,7.5,,
09/02/2016,@ UAB,W 3 - 0,3,1,5,1,16,0.250,,,,2,3,,3,,6.5,,
09/02/2016,"Tennessee Tech @ Birmingham, Ala.",W 3 - 0,3,1,8,2,25,0.240,1,,1,2,,,1,,8.5,,
09/03/2016,@ Samford,L 0 - 3,3,1,5,3,22,0.091,,,,,,,,,5.0,,
09/03/2016,"Southeast Mo. St. @ Birmingham, Ala.",W 3 - 0,3,1,10,1,19,0.474,,,,3,1,,,,10.0,,
09/09/2016,@ UNC Greensboro,L 1 - 3,4,1,2,4,25,-0.080,,,,3,3,,,,2.0,,
09/10/2016,"Hampton @ Greensboro, N.C.",W 3 - 0,2,1,3,2,5,0.200,,,,,,,,,3.0,,
09/10/2016,@ N.C. A&T,W 3 - 2,1,1,1,1,4,,,,,,,,,,1.0,,
09/16/2016,@ Virginia Tech,L 1 - 3,4,1,1,5,25,-0.160,,,,2,1,,1,,1.5,,
09/16/2016,"Ohio @ Blacksburg, Va.",W 3 - 0,,,,,,,,,,,,,,,,,
09/20/2016,High Point,W 3 - 0,3,1,9,1,19,0.421,,,,,,,1,,9.5,,
09/23/2016,@ Presbyterian,W 3 - 0,3,1,8,3,17,0.294,,,,,1,,1,,8.5,,
09/24/2016,@ Campbell,W 3 - 1,4,1,7,6,25,0.040,,,,5,1,,,,7.0,,
09/27/2016,Liberty,W 3 - 2,5,1,13,8,29,0.172,,,,2,,,2,1,14.0,,
10/01/2016,@ UNC Asheville,W 3 - 1,4,1,14,1,24,0.542,,,,2,,1,1,,15.5,,
10/07/2016,Winthrop,W 3 - 0,3,1,2,4,10,-0.200,2,,,,,,,,2.0,,
10/08/2016,Gardner-Webb,W 3 - 1,4,1,9,7,22,0.091,1,,,2,1,,2,,10.0,,
10/14/2016,@ Charleston So.,L 1 - 3,4,1,11,8,37,0.081,1,,,6,3,,1,1,11.5,,
10/21/2016,@ Gardner-Webb,W 3 - 0,3,1,3,5,16,-0.125,,,,,,,1,,3.5,,
10/22/2016,@ Winthrop,W 3 - 0,3,1,12,2,28,0.357,,,,3,,,1,,12.5,,
10/25/2016,@ Liberty,W 3 - 1,4,1,7,6,26,0.038,,,,5,,,,,7.0,,
10/28/2016,UNC Asheville,W 3 - 2,5,1,22,6,45,0.356,,,,7,1,,,,22.0,,
11/01/2016,@ High Point,L 1 - 3,3,1,3,3,16,,1,,,,4,,1,,3.5,,
11/04/2016,Campbell,W 3 - 1,4,1,10,3,20,0.350,,,,2,1,1,2,,12.0,,
11/05/2016,Presbyterian,W 3 - 1,4,1,9,5,28,0.143,,,,2,1,,2,,10.0,,
11/10/2016,Charleston So.,W 3 - 0,3,1,8,4,22,0.182,,,,5,1,,1,1,8.5,,
11/19/2016,"Campbell @ Lynchburg, Va.",W 3 - 1,4,1,11,6,33,0.152,,,,3,,,1,,11.5,,
11/20/2016,"High Point @ Lynchburg, Va.",L 1 - 3,4,1,14,7,38,0.184,,,,1,2,,,,14.0,,
