0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Date,Opponent,Result,S,MP,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,
08/26/2016,Kent St.,W 3 - 1,4,1,11,2,27,0.333,1,,,,,,1,,11.5,,
08/26/2016,Stony Brook,W 3 - 0,3,1,7,4,14,0.214,,,,1,,,1,,7.5,,
08/27/2016,Stetson,W 3 - 0,3,1,9,2,15,0.467,,,,3,,,1,,9.5,,
08/27/2016,Florida St.,L 0 - 3,3,1,5,3,14,0.143,,,,2,,1,1,,6.5,,
09/02/2016,@ Southern Ill.,L 2 - 3,5,1,6,2,24,0.167,,,,3,,1,2,,8.0,,
09/03/2016,"Northern Ariz. @ Carbondale, Ill.",W 3 - 1,4,1,10,3,34,0.206,,,,,,,1,,10.5,,
09/03/2016,"Western Mich. @ Carbondale, Ill.",W 3 - 0,3,1,7,2,17,0.294,,,,,,,2,,8.0,,
09/09/2016,LSU,L 2 - 3,2,1,0,3,5,-0.600,,,,1,,,,,,,
09/09/2016,Fla. Atlantic,W 3 - 1,2,1,2,1,11,0.091,,,,,,,,,2.0,,
09/11/2016,Seattle U,W 3 - 0,,,,,,,,,,,,,,,,,
09/16/2016,Central Ark.,W 3 - 1,,,,,,,,,,,,,,,,,
09/16/2016,UNC Asheville,W 3 - 0,,,,,,,,,,,,,,,,,
09/17/2016,Central Mich.,W 3 - 2,5,1,16,3,29,0.448,,,,2,,,2,,17.0,,
09/21/2016,South Fla.,W 3 - 0,,,,,,,,,,,,,,,,,
09/23/2016,Memphis,W 3 - 0,,,,,,,,,,,,,,,,,
09/30/2016,@ East Carolina,W 3 - 1,1,1,2,1,5,0.200,,,,,,,,,2.0,,
10/02/2016,@ Cincinnati,L 1 - 3,2,1,1,1,2,,,,,,,,,1,1.0,,
10/07/2016,"Houston @ Tampa, Fla.",W 3 - 0,,,,,,,,,,,,,,,,,
10/09/2016,Tulane,L 0 - 3,,,,,,,,,,,,,,,,,
10/14/2016,@ UConn,W 3 - 0,,,,,,,,,,,,,,,,,
10/16/2016,@ Temple,W 3 - 2,4,1,0,4,13,-0.308,,,,,,,,,,,
10/21/2016,Tulsa,W 3 - 0,,,,,,,,,,,,,,,,,
10/23/2016,SMU,L 0 - 3,1,1,0,1,2,-0.500,,,,,,,,,,,
10/27/2016,Cincinnati,L 2 - 3,,,,,,,,,,,,,,,,,
10/29/2016,East Carolina,W 3 - 0,,,,,,,,,,,,,,,,,
11/02/2016,@ South Fla.,W 3 - 0,,,,,,,,,,,,,,,,,
11/06/2016,@ Memphis,W 3 - 1,4,1,4,2,18,0.111,,,,6,,,4,,6.0,,
11/10/2016,@ SMU,L 0 - 3,3,1,3,1,5,0.400,,,,,,,,,3.0,,
11/12/2016,@ Tulsa,W 3 - 0,3,1,1,0,9,0.111,,,,,,,,,1.0,,
11/18/2016,Temple,L 2 - 3,1,1,0,0,0,,,,,,,,,,,,
11/20/2016,UConn,W 3 - 1,1,1,0,0,0,,,,,,,,,,,,
11/23/2016,@ Tulane,L 1 - 3,1,1,0,0,0,,,,,,,,,,,,
11/25/2016,@ Houston,W 3 - 0,,,,,,,,,,,,,,,,,
