0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Date,Opponent,Result,S,MP,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,
08/25/2017,Tulane,W 3 - 1,3,1,8,1,20,0.350,,,1,2,,,3,,9.5,,
08/25/2017,Tulane,L 0 - 3,3,1,10,3,17,0.412,,,,1,,1,2,,12.0,,
08/30/2017,@ Southern Miss.,L 0 - 3,2,1,0,4,6,-0.667,,,1,,,1,1,,1.5,,
09/01/2017,Houston Baptist,L 1 - 3,4,1,11,4,21,0.333,,,,2,,2,,,13.0,,
09/01/2017,Nicholls St.,W 3 - 1,4,1,9,3,23,0.261,,,,,,1,6,,13.0,,
09/02/2017,Jacksonville St.,W 3 - 1,4,1,16,2,28,0.500,,,1,8,,3,1,2,19.5,,
09/02/2017,Mississippi Val.,W 3 - 0,1,1,4,0,9,0.444,,,1,1,,,2,,5.0,,
09/08/2017,@ Rice,L 0 - 3,3,1,5,4,15,0.067,1,2,3,2,,,2,1,8.0,,
09/09/2017,"California @ Houston, Texas",L 1 - 3,4,1,8,1,13,0.538,,,,1,,,4,3/,10.0,,
09/09/2017,"Mississippi St. @ Houston, Texas",L 2 - 3,5,1,7,1,14,0.429,,,,,,,5,,9.5,,
09/15/2017,@ Chicago St.,W 3 - 1,4,1,10,4,18,0.333,,,,3,,1,3,1,12.5,,
09/15/2017,"Wright St. @ Chicago, IL",L 0 - 3,1,1,0,1,3,-0.333,,,,,,,,,,,
09/16/2017,"Eastern Mich. @ Chicago, IL",W 3 - 1,4,1,6,3,15,0.200,1,,,2,,,1,,6.5,,
09/22/2017,@ Ga. Southern,W 3 - 1,4,1,18,3,28,0.536,1,,,3,,1,4,1,21.0,,
09/23/2017,@ Georgia St.,W 3 - 0,3,1,8,4,17,0.235,,,,3,,,,2,8.0,,
09/29/2017,Arkansas St.,W 3 - 2,5,1,12,4,31,0.258,,,,2,,,3,2,13.5,,
09/30/2017,Little Rock,W 3 - 1,4,1,15,2,26,0.500,,,,3,,,3,,16.5,,
10/03/2017,Southeastern La.,W 3 - 0,3,1,6,1,18,0.278,,,1,1,,1,2,,8.0,,
10/06/2017,@ ULM,W 3 - 1,4,1,13,5,28,0.286,1,,,3,,2,2,,16.0,,
10/08/2017,ULM,W 3 - 0,3,1,9,2,19,0.368,,,,,,,4,1,11.0,,
10/13/2017,@ Little Rock,W 3 - 2,5,1,10,1,30,0.300,,,,,,,3,1,11.5,1,
10/15/2017,@ Arkansas St.,L 1 - 3,4,1,6,1,18,0.278,,,,1,,1,1,,7.5,,
10/20/2017,App State,W 3 - 0,3,1,4,2,16,0.125,1,,,3,,,5,,6.5,,
10/21/2017,Coastal Carolina,L 2 - 3,5,1,5,6,19,-0.053,,,,1,,2,4,,9.0,1,
10/26/2017,UT Arlington,W 3 - 0,3,1,4,3,8,0.125,,,,,,1,,,5.0,,
10/28/2017,Texas St.,W 3 - 2,5,1,1,2,10,-0.100,,,,,,1,1,,2.5,,
11/03/2017,@ South Alabama,W 3 - 1,4,1,9,3,21,0.286,,,,,,2,2,,12.0,,
11/04/2017,@ Troy,W 3 - 1,4,1,5,0,12,0.417,1,,,,,2,4,,9.0,,
11/10/2017,@ Texas St.,L 0 - 3,3,1,3,0,12,0.250,,,,2,,,,1,3.0,,
11/12/2017,@ UT Arlington,W 3 - 1,4,1,8,2,17,0.353,,,,2,,1,9,,13.5,,
11/17/2017,"App State @ Jonesboro, Ark.",W 3 - 0,3,1,5,1,10,0.400,,,,1,,1,2,,7.0,,
11/18/2017,"Texas St. @ Jonesboro, Ark.",L 1 - 3,4,1,4,1,14,0.214,,,,,,2,1,,6.5,,
