0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Date,Opponent,Result,S,MP,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,
08/25/2017,@ Lehigh,W 3 - 1,4,1,2,0,6,0.333,38,2,1,11,,,,,4.0,,
08/26/2017,"Radford @ Bethlehem, Pa.",L 1 - 3,4,1,2,0,6,0.333,35,1,1,10,,,,,3.0,,
08/26/2017,"Coppin St. @ Bethlehem, Pa.",W 3 - 0,3,1,0,1,2,-0.500,27,1,,8,,,1,,1.5,,
09/01/2017,Binghamton,W 3 - 2,5,1,0,1,3,-0.333,52,1,,19,,1,1,,2.5,2,
09/02/2017,Cleveland St.,L 1 - 3,4,1,0,0,1,,30,,1,8,,,2,,1.0,1,
09/05/2017,@ Army West Point,L 0 - 3,3,1,0,0,3,,17,1,,9,,,,,1.0,2,
09/08/2017,"Columbia @ Kingston, RI",L 0 - 3,3,1,0,0,1,,24,1,,3,,,1,1,1.5,1,
09/08/2017,@ Rhode Island,L 2 - 3,5,1,1,0,3,0.333,35,3,,11,,,3,1,5.5,,
09/09/2017,"Northeastern @ Kingston, RI",L 0 - 3,3,1,1,0,2,0.500,16,1,,10,,,,,2.0,1,
09/15/2017,@ LIU,L 0 - 3,3,1,0,0,3,,15,,1,9,,,,,,,
09/15/2017,"St. Francis Brooklyn @ Brooklyn, N.Y.",L 2 - 3,5,1,0,1,5,-0.200,45,2,1,9,,,2,,3.0,,
09/19/2017,@ Siena,W 3 - 0,3,1,0,0,3,,40,3,,5,,,2,,4.0,,
09/23/2017,@ Niagara,L 2 - 3,2,1,0,0,0,,5,1,,2,,,,,1.0,1,
09/24/2017,@ Canisius,W 3 - 0,3,1,0,1,3,-0.333,31,2,,6,,,2,,3.0,,
09/30/2017,Manhattan,W 3 - 0,3,1,2,0,3,0.667,36,,1,1,,1,1,,3.5,1,
10/01/2017,Iona,L 1 - 3,4,1,2,1,4,0.250,37,1,,12,,,3,,4.5,3,
10/04/2017,@ Quinnipiac,W 3 - 0,3,1,1,1,4,,29,1,,6,,,2,,3.0,,
10/07/2017,@ Saint Peter's,W 3 - 0,3,1,2,0,5,0.400,24,3,4,5,,,1,,5.5,1,
10/08/2017,@ Rider,W 3 - 2,5,1,3,0,9,0.333,46,6,2,14,,,1,,9.5,5,
10/14/2017,Fairfield,L 0 - 3,3,1,0,1,3,-0.333,25,,,6,,,,,,2,
10/15/2017,Quinnipiac,W 3 - 1,4,1,2,1,5,0.200,42,,,12,,,3,,3.5,6/,
10/20/2017,Siena,W 3 - 1,4,1,3,0,8,0.375,32,1,1,5,,,3,,5.5,,
10/28/2017,Rider,L 1 - 3,4,1,3,0,7,0.429,46,2,2,13,,,1,,5.5,,
10/29/2017,Saint Peter's,W 3 - 0,3,1,2,0,3,0.667,30,3,1,11,,,2,,6.0,1,
11/01/2017,@ Fairfield,L 1 - 3,4,1,0,1,4,-0.250,37,2,,6,,,2,,3.0,2,
11/04/2017,Canisius,W 3 - 0,3,1,1,1,3,,36,,2,8,,,2,,2.0,1,
11/05/2017,Niagara,L 1 - 3,4,1,2,0,5,0.400,42,,2,18,,,,1,2.0,4,
11/11/2017,@ Iona,L 2 - 3,5,1,2,2,8,,38,5,1,15,,,3,,8.5,3,
11/12/2017,@ Manhattan,W 3 - 1,4,1,1,1,5,,48,2,,11,,,1,,3.5,2,
11/17/2017,"Rider @ Fairfield, CT",W 3 - 2,5,1,1,0,8,0.125,60,1,1,14,,1,3,,4.5,3,
11/18/2017,@ Fairfield,L 0 - 3,3,1,1,0,6,0.167,26,,,4,,,2,,2.0,1,
