0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Date,Opponent,Result,S,MP,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,
08/25/2017,@ Oregon St.,L 1 - 3,4,1,6,6,20,,,,,1,,,,,6.0,,
08/25/2017,"Kansas St. @ Corvallis, Ore.",L 1 - 3,4,1,22,6,34,0.471,,,,,,1,,,23.0,,
08/26/2017,"Idaho @ Corvallis, Ore.",W 3 - 0,3,1,13,0,19,0.684,,,,,1,,,,13.0,,
08/30/2017,@ Sacramento St.,W 3 - 1,4,1,14,3,29,0.379,,,,2,1,,2,1,15.0,,
09/01/2017,@ Utah St.,L 2 - 3,5,1,12,5,32,0.219,,,,3,,,,,12.0,,
09/02/2017,"UC Santa Barbara @ Logan, Utah",W 3 - 1,4,1,7,6,21,0.048,1,,,2,,,,,7.0,,
09/02/2017,"Montana St. @ Logan, Utah",L 2 - 3,5,1,14,13,44,0.023,,,,5,,,1,1,14.5,,
09/08/2017,"Long Beach St. @ San Diego, Calif.",W 3 - 0,3,1,10,2,19,0.421,1,,,4,,,2,,11.0,,
09/09/2017,@ San Diego St.,L 0 - 3,3,1,5,5,24,,1,,,1,,1,1,,6.5,,
09/15/2017,@ Stanford,L 0 - 3,3,1,3,5,15,-0.133,1,1,1,2,1,,,,4.0,,
09/16/2017,California,W 3 - 2,5,1,6,3,18,0.167,,,,2,,,2,,7.0,,
09/21/2017,@ Portland,W 3 - 2,5,1,9,4,31,0.161,,,,3,,,4,1,11.0,1,
09/23/2017,@ Gonzaga,L 2 - 3,5,1,9,6,33,0.091,,,,3,,,5,,11.5,,
09/26/2017,Santa Clara,W 3 - 0,3,1,1,3,11,-0.182,,,,2,,,1,,1.5,,
09/28/2017,@ Pepperdine,L 1 - 3,3,1,1,2,8,-0.125,,,,,,,1,,1.5,,
09/30/2017,@ LMU (CA),L 0 - 3,3,1,1,1,10,,,,,,1,,1,,1.5,,
10/05/2017,San Diego,L 2 - 3,,,,,,,,,,,,,,,,,
10/07/2017,BYU,L 0 - 3,1,1,1,0,4,0.250,,,,,,,,,1.0,,
10/14/2017,@ Saint Mary's (CA),W 3 - 1,4,1,8,1,22,0.318,,,,2,,,,,8.0,,
10/19/2017,@ Santa Clara,W 3 - 1,4,1,4,3,25,0.040,,,,3,1,,3,,5.5,,
10/21/2017,@ San Francisco,W 3 - 0,3,1,7,3,18,0.222,,,,2,1,,1,,7.5,,
10/26/2017,LMU (CA),W 3 - 0,,,,,,,,,,,,,,,,,
10/28/2017,Pepperdine,W 3 - 1,1,1,0,1,1,-1.000,,,,,,,,,,,
11/02/2017,@ BYU,L 0 - 3,2,1,3,2,9,0.111,,,,,,,,,3.0,,
11/04/2017,@ San Diego,L 0 - 3,2,1,0,0,6,,,,,,,,,,,,
11/11/2017,Saint Mary's (CA),W 3 - 2,5,1,8,3,20,0.250,,,,,,,1,,8.5,,
11/16/2017,Gonzaga,W 3 - 0,3,1,5,4,16,0.062,,,,1,,,,,5.0,,
11/18/2017,Portland,W 3 - 0,3,1,7,6,20,0.050,,,,,,,,,7.0,,
11/21/2017,San Francisco,W 3 - 0,3,1,6,2,14,0.286,,,,1,,,,,6.0,1,
11/28/2017,Boise St.,W 3 - 0,3,1,5,4,21,0.048,,,,1,1,,2,,6.0,,
11/29/2017,UC Irvine,L 2 - 3,5,1,4,2,19,0.105,,,,2,,,4,,6.0,,
