0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Date,Opponent,Result,S,MP,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,
08/25/2017,Quinnipiac,W 3 - 2,5,1,12,3,25,0.360,1,,,2,,,11/,,17.5,,
08/26/2017,SIUE,L 1 - 3,4,1,6,6,19,,,,,,,1,4,1,9.0,,
08/26/2017,Toledo,W 3 - 1,4,1,14,4,25,0.400,2,,,,,,3,1,15.5,,
08/29/2017,IUPUI,W 3 - 0,3,1,3,2,10,0.100,,,,,,,4,,5.0,,
09/01/2017,"Bradley @ Muncie, Ind.",L 0 - 3,3,1,4,1,9,0.333,,,,,,1,2,1,6.0,,
09/01/2017,"Navy @ Muncie, Ind.",L 0 - 3,3,1,5,3,19,0.105,1,,,1,,2,2,,8.0,,
09/02/2017,@ Ball St.,L 0 - 3,3,1,4,1,9,0.333,,,,1,,,1,,4.5,,
09/05/2017,Wright St.,L 2 - 3,5,1,8,2,16,0.375,1,,,,,2,3,1,11.5,,
09/08/2017,"Akron @ Youngstown, Ohio",W 3 - 1,4,1,12,2,19,0.526,,,,2,,1,2,,14.0,,
09/08/2017,@ Youngstown St.,W 3 - 1,4,1,9,4,22,0.227,,,,,,,3,,10.5,,
09/09/2017,"Saint Francis (PA) @ Youngstown, Ohio",W 3 - 0,3,1,9,1,14,0.571,,,,,,,4,,11.0,,
09/12/2017,@ Eastern Mich.,W 3 - 1,4,1,10,3,17,0.412,1,,,2,,,5,,12.5,,
09/15/2017,"Towson @ Rochester, Mich.",L 1 - 3,4,1,7,4,18,0.167,,,,2,,3,2,1,11.0,,
09/16/2017,"Kent St. @ Rochester, Mich.",L 2 - 3,5,1,13,1,21,0.571,,,,2,,,4,1,15.0,,
09/16/2017,@ Oakland,W 3 - 0,3,1,8,2,14,0.429,,,,1,,,,,8.0,,
09/22/2017,@ Oral Roberts,L 1 - 3,4,1,11,1,17,0.588,1,,,1,,1,1,1,12.5,,
09/24/2017,@ Denver,L 2 - 3,5,1,8,1,16,0.438,,,,,1,1,1,2,9.5,,
09/29/2017,South Dakota,L 0 - 3,3,1,8,2,16,0.375,,,,,,,2,1,9.0,,
10/01/2017,Omaha,L 2 - 3,5,1,8,1,20,0.350,3,,,1,,,3,,9.5,,
10/06/2017,North Dakota St.,W 3 - 1,4,1,6,6,20,,2,,,1,,2,4,,10.0,,
10/08/2017,Western Ill.,W 3 - 0,3,1,5,2,13,0.231,1,,,1,,1,1,,6.5,,
10/14/2017,@ South Dakota St.,W 3 - 0,3,1,8,2,14,0.429,2,,,,,,1,,8.5,,
10/17/2017,@ Valparaiso,L 0 - 3,3,1,4,2,10,0.200,,,,,1,,2,,5.0,,
10/20/2017,Oral Roberts,L 1 - 3,4,1,11,2,22,0.409,,,,1,,,4,,13.0,,
10/21/2017,Denver,L 1 - 3,4,1,4,1,11,0.273,,,,,,1,2,,6.0,,
10/27/2017,@ South Dakota,L 0 - 3,3,1,6,1,17,0.294,,,,,,,,,6.0,,
10/28/2017,@ Omaha,L 1 - 3,4,1,3,3,12,,1,,,2,,2,4,1,7.0,,
11/03/2017,@ North Dakota St.,L 2 - 3,5,1,12,2,27,0.370,1,,,,,1,,1,13.0,1,
11/07/2017,@ Western Ill.,L 1 - 3,4,1,5,5,21,,2,,,,,,1,,5.5,,
11/11/2017,South Dakota St.,W 3 - 0,3,1,3,3,7,,,,,,,,,,3.0,,
11/17/2017,"South Dakota @ Denver, Colo.",L 1 - 3,4,1,4,3,18,0.056,,,,2,,1,1,,5.5,,
