0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Date,Opponent,Result,S,MP,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,
08/25/2017,@ SMU,W 3 - 1,,,,,,,,,,,,,,,,,
08/25/2017,"A&M-Corpus Christi @ Dallas, Texas",L 1 - 3,2,1,1,1,3,,,,,,,,,,1.0,,
08/26/2017,"Mississippi St. @ Dallas, Texas",W 3 - 1,,,,,,,,,,,,,,,,,
08/27/2017,@ TCU,L 0 - 3,,,,,,,,,,,,,,,,,
09/01/2017,"Wake Forest @ Boulder, Colo.",W 3 - 0,,,,,,,,,,,,,,,,,
09/02/2017,"Abilene Christian @ Boulder, Colo.",W 3 - 1,2,1,3,2,9,0.111,,,,2,1,,,,3.0,,
09/02/2017,@ Colorado,L 0 - 3,1,1,0,0,3,,,,,1,,,,1,,,
09/08/2017,California,L 1 - 3,,,,,,,,,,,,,,,,,
09/08/2017,Louisiana,W 3 - 0,2,1,0,0,0,,,,,,,,,1,,,
09/09/2017,UIW,W 3 - 2,,,,,,,,,,,,,,,,,
09/12/2017,Houston Baptist,W 3 - 1,1,1,2,0,7,0.286,1,,,,,,,,2.0,,
09/15/2017,Arkansas St.,W 3 - 2,5,1,6,4,32,0.062,1,,,2,,,,,6.0,,
09/16/2017,Georgetown,W 3 - 1,4,1,7,2,26,0.192,,,,3,1,,1,,7.5,,
09/16/2017,SFA,W 3 - 2,5,1,10,4,47,0.128,1,,,5,,,2,,11.0,,
09/22/2017,@ UTEP,L 2 - 3,5,1,7,3,26,0.154,,,,2,,,2,1,8.0,,
09/24/2017,@ Louisiana Tech,W 3 - 1,2,1,2,0,10,0.200,1,,,,,,,,2.0,,
09/29/2017,Middle Tenn.,W 3 - 0,,,,,,,,,,,,,,,,,
10/06/2017,Fla. Atlantic,W 3 - 2,,,,,,,,,,,,,,,,,
10/08/2017,FIU,W 3 - 0,,,,,,,,,,,,,,,,,
10/13/2017,@ Marshall,W 3 - 2,5,1,1,2,9,-0.111,,,,,,,4,1,3.0,,
10/15/2017,@ UAB,W 3 - 2,5,1,12,3,33,0.273,,,,2,,,3,,13.5,,
10/20/2017,UTSA,W 3 - 2,5,1,10,3,40,0.175,,,,3,2,2,2,,13.0,,
10/22/2017,UTEP,W 3 - 2,5,1,5,2,24,0.125,,,,4,,,3,,6.5,,
10/27/2017,@ North Texas,L 1 - 3,1,1,0,2,7,-0.286,,,,3,,,,,,,
10/29/2017,@ Charlotte,W 3 - 1,1,1,2,1,6,0.167,,,,1,,,,,2.0,,
11/03/2017,Western Ky.,L 0 - 3,3,1,6,3,21,0.143,,,,2,,,2,,7.0,,
11/05/2017,Southern Miss.,W 3 - 1,2,1,1,1,11,,,,,2,,,1,,1.5,,
11/11/2017,@ UTSA,W 3 - 2,2,1,8,1,13,0.538,,,,,,1,,,9.0,,
11/17/2017,"Southern Miss. @ Bowling Green, Ky.",L 2 - 3,,,,,,,,,,,,,,,,,
11/30/2017,@ Texas St.,L 0 - 3,2,1,2,1,12,0.083,,,,,,,,,2.0,,
