0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Date,Opponent,Result,S,MP,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,
08/26/2017,@ Tulane,L 2 - 3,5,1,0,0,0,,3,1,,10,2,,,,1.0,,
08/26/2017,@ Tulane,L 0 - 3,3,1,0,0,0,,1,1,,12,1,,,,1.0,,
09/01/2017,Alabama,L 1 - 3,4,1,0,0,0,,7,,1,23,,,,,,,
09/02/2017,Southern Miss.,W 3 - 2,5,1,0,0,0,,4,,1,18,,,,,,,
09/02/2017,McNeese,W 3 - 0,3,1,0,0,0,,1,2,,16,1,,,,2.0,1,
09/05/2017,@ Alabama St.,W 3 - 0,3,1,1,0,4,0.250,4,3,,12,,,,,4.0,,
09/08/2017,@ Auburn,L 0 - 3,3,1,0,0,0,,3,,,21,1,,,,,,
09/09/2017,"Clemson @ Auburn, Ala.",W 3 - 0,3,1,0,0,0,,3,,1,11,,,,,,,
09/15/2017,@ Ole Miss,W 3 - 2,5,1,0,0,0,,3,,,22,1,,,,,,
09/16/2017,@ Ole Miss,L 1 - 3,4,1,0,0,0,,2,,,14,1,,,,,,
09/22/2017,@ Texas St.,W 3 - 0,3,1,0,0,1,,4,,,19,2,,,,,,
09/23/2017,@ UT Arlington,W 3 - 1,4,1,1,0,1,1.000,8,,,22,,,,,1.0,,
09/29/2017,Georgia St.,W 3 - 1,4,1,1,0,2,0.500,2,,,20,1,,,,1.0,,
09/30/2017,Ga. Southern,W 3 - 0,,,,,,,,,,,,,,,,,
10/04/2017,Troy,W 3 - 0,3,1,0,0,0,,,2,,9,1,,,,2.0,,
10/07/2017,@ Troy,W 3 - 1,4,1,0,0,1,,5,1,1,13,1,,,,1.0,,
10/13/2017,@ Ga. Southern,W 3 - 0,3,1,0,0,0,,4,1,2,11,,,,,1.0,,
10/14/2017,@ Georgia St.,W 3 - 0,3,1,0,0,0,,6,,,6,1,,,,,,
10/20/2017,Little Rock,W 3 - 1,4,1,0,0,1,,5,,1,19,1,,,,,,
10/22/2017,Arkansas St.,L 1 - 3,4,1,0,0,0,,3,,,11,2,,,,,,
10/27/2017,@ App State,W 3 - 2,2,1,0,0,0,,4,,,3,,,,,,,
10/29/2017,@ Coastal Carolina,L 0 - 3,3,1,0,0,1,,2,,,10,,,,,,,
11/03/2017,Louisiana,L 1 - 3,4,1,0,0,0,,5,1,1,40/,1,,,,1.0,,
11/05/2017,ULM,W 3 - 1,4,1,0,0,0,,4,,,19,,,,,,,
11/10/2017,Coastal Carolina,L 0 - 3,3,1,1,1,2,,2,,2,14,1,,,,1.0,,
11/12/2017,App State,W 3 - 0,3,1,0,0,0,,2,1,,8,1,,,,1.0,,
11/16/2017,"Troy @ Jonesboro, Ark.",L 2 - 3,5,1,0,0,0,,3,,,19,2,,,,,,
