0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Date,Opponent,Result,S,MP,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,
08/25/2017,"Southern Ill. @ Oxford, Ohio",W 3 - 0,3,1,1,2,3,-0.333,1,,3,5,,,,,1.0,,
08/25/2017,@ Miami (OH),W 3 - 1,4,1,0,0,7,,2,,1,7,,,,,,,
08/26/2017,"Northern Ariz. @ Oxford, Ohio",W 3 - 0,3,1,2,0,4,0.500,1,,2,6,1,,,,2.0,,
08/29/2017,Tennessee St.,W 3 - 0,3,1,1,0,4,0.250,1,3,3,1,1,,,,4.0,,
09/01/2017,@ Louisville,L 1 - 3,4,1,4,5,12,-0.083,2,,3,1,3,,,,4.0,,
09/02/2017,"Illinois @ Louisville, KY",L 0 - 3,3,1,0,0,3,,1,1,2,2,2,,,,1.0,,
09/02/2017,"Kent St. @ Louisville, KY",W 3 - 0,3,1,0,0,1,,1,1,1,3,,,,,1.0,,
09/05/2017,@ Belmont,W 3 - 0,3,1,1,0,1,1.000,,2,1,1,,,,,3.0,,
09/08/2017,Pittsburgh,W 3 - 2,5,1,1,2,7,-0.143,1,1,1,5,2,,1,,2.5,,
09/08/2017,ETSU,W 3 - 1,4,1,0,0,1,,2,,1,4,,,,,,,
09/09/2017,Saint Louis,W 3 - 0,3,1,0,3,3,-1.000,1,,1,6,1,,,,,,
09/12/2017,@ Lipscomb,W 3 - 0,3,1,0,0,3,,2,1,1,6,5,,,2,1.0,,
09/15/2017,@ Ohio St.,W 3 - 0,3,1,1,0,1,1.000,,,1,3,,,,,1.0,,
09/15/2017,"Dayton @ Columbus, Ohio",W 3 - 1,4,1,0,1,3,-0.333,,2,1,10,1,,,,2.0,,
09/16/2017,"Northern Ill. @ Bexley, Ohio",W 3 - 0,3,1,0,1,1,-1.000,1,2,,2,,,,,2.0,,
09/22/2017,@ Fla. Atlantic,W 3 - 2,5,1,1,0,2,0.500,,,1,4,,,,,1.0,,
09/24/2017,@ Charlotte,W 3 - 0,3,1,0,0,4,,,,1,2,,,,,,,
09/29/2017,Louisiana Tech,W 3 - 0,3,1,1,1,4,,1,,1,5,1,,,,1.0,,
10/01/2017,Middle Tenn.,W 3 - 0,3,1,1,1,3,,2,1,1,2,,,,,2.0,,
10/06/2017,Southern Miss.,W 3 - 0,3,1,0,0,1,,1,,1,5,,,,,,,
10/10/2017,Austin Peay,W 3 - 0,3,1,2,0,3,0.667,3,,2,3,1,,1,,2.5,,
10/13/2017,@ UAB,W 3 - 0,3,1,0,0,1,,,1,1,7,,,,,1.0,,
10/15/2017,@ FIU,W 3 - 0,3,1,0,0,0,,,1,1,2,,,,,1.0,,
10/20/2017,UTEP,W 3 - 0,3,1,0,0,2,,,2,,5,1,,,,2.0,,
10/22/2017,UTSA,W 3 - 0,3,1,0,0,1,,1,1,1,7,1,,,,1.0,,
10/27/2017,Marshall,W 3 - 1,4,1,1,0,2,0.500,1,,3,6,,,,,1.0,,
10/29/2017,UAB,W 3 - 0,3,1,0,0,1,,,,1,2,,,,,,,
11/03/2017,@ Rice,W 3 - 0,3,1,0,0,1,,1,,,8,1,,,,,,
11/05/2017,@ Middle Tenn.,W 3 - 0,3,1,0,0,0,,,2,2,,,,,,2.0,,
11/09/2017,@ North Texas,L 2 - 3,5,1,0,0,1,,4,4,3,5,2,,,,4.0,,
11/17/2017,Charlotte,W 3 - 1,4,1,0,0,0,,,1,3,6,3,,,,1.0,,
11/18/2017,Southern Miss.,W 3 - 0,3,1,0,0,1,,,,1,9,1,,,,,,
11/19/2017,North Texas,W 3 - 1,4,1,0,0,1,,,1,,12,2,,,,1.0,,
12/01/2017,"Notre Dame @ Lexington, Ky.",W 3 - 0,3,1,0,0,1,,3,2,,17,,,,,2.0,,
12/02/2017,@ Kentucky,L 2 - 3,5,1,0,0,0,,,1,1,9,1,,,,1.0,,
