0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
Date,Opponent,Result,Attend,S,MP,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,
08/24/2018,LSU,W 3 - 1,,4,1,0,0,0,,5,,1,11,2,,,,,,
08/25/2018,Marquette,W 3 - 1,,4,1,0,0,0,,5,1,2,20,2,,,,1.0,,
08/25/2018,Texas St.,W 3 - 0,,3,1,1,0,1,1.000,3,,2,13,2,,,,1.0,,
08/28/2018,North Texas,W 3 - 1,,4,1,0,0,0,,5,1,3,19,2,,,,1.0,,
08/31/2018,"UCLA @ San Diego, CA",L 2 - 3,,5,1,0,0,0,,7,1,2,29,2,,,,1.0,,
09/01/2018,@ San Diego,L 1 - 3,,4,1,0,0,0,,2,,3,9,1,,,,,,
09/07/2018,Wisconsin,W 3 - 1,,4,1,0,0,0,,4,2,2,15,2,,,,2.0,,
09/08/2018,UTRGV,L 2 - 3,,5,1,0,0,0,,2,,2,14,2,,,,,,
09/08/2018,Rice,W 3 - 1,,4,1,0,0,0,,3,,3,18,1,,,,,,
09/14/2018,@ UTSA,W 3 - 2,,5,1,0,0,0,,4,,,19,3,,,,,,
09/15/2018,"Virginia Tech @ San Antonio, Texas",W 3 - 0,,3,1,0,0,0,,4,,,11,2,,,,,,
09/19/2018,Texas Tech,L 1 - 3,,4,1,1,0,1,1.000,6,1,1,16,2,,,,2.0,,
09/22/2018,@ Iowa St.,W 3 - 2,,5,1,0,0,0,,3,,1,14,1,,,,,,
09/26/2018,@ Texas,L 0 - 3,,3,1,0,0,0,,1,,1,8,1,,,,,,
09/28/2018,Oklahoma,W 3 - 1,,4,1,0,0,0,,6,,,18,1,,,,,,
10/06/2018,@ Kansas,L 1 - 3,,4,1,0,0,0,,2,,1,5,2,,,,,1,
10/10/2018,TCU,W 3 - 1,,4,1,0,0,0,,4,2,1,25,,,,,2.0,,
10/13/2018,@ West Virginia,W 3 - 2,,5,1,1,0,1,1.000,3,3,1,21,,,,,4.0,,
10/20/2018,Kansas St.,L 0 - 3,,3,1,0,0,0,,3,,1,9,,,,,,,
10/24/2018,@ TCU,W 3 - 2,,5,1,0,0,0,,5,5,3,14,,,,,5.0,,
10/27/2018,Kansas,W 3 - 0,,3,1,0,1,1,-1.000,3,2,,13,,,,,2.0,,
11/03/2018,@ Oklahoma,W 3 - 1,,4,1,0,0,1,,3,,2,28,4,,,,,,
11/07/2018,Iowa St.,W 3 - 1,,4,1,0,0,0,,3,1,1,17,1,,,,1.0,,
11/10/2018,@ Kansas St.,W 3 - 0,,3,1,0,0,0,,4,1,,12,,,,,1.0,,
11/12/2018,@ Texas Tech,W 3 - 1,,4,1,0,0,0,,2,1,1,13,3,,,,1.0,,
11/16/2018,Texas,L 1 - 3,,4,1,0,0,0,,,2,1,16,1,,,,2.0,,
11/21/2018,West Virginia,W 3 - 1,,4,1,0,0,0,,6,2,,18,,,,,2.0,,
11/29/2018,"Hawaii @ Eugene, Oregon",W 3 - 2,,5,1,0,0,0,,4,,2,18,2,,,,,,
11/30/2018,@ Oregon,L 2 - 3,,5,1,0,0,0,,3,2,,22,3,,,,2.0,,
