0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
Date,Opponent,Result,Attend,S,MP,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,
08/24/2018,@ Pittsburgh,L 0 - 3,,3,1,0,0,0,,1,,1,4,,,,,,,
08/25/2018,"Pepperdine @ Pittsburgh, Pa.",L 0 - 3,,3,1,0,0,0,,4,1,3,8,,,,,1.0,,
08/25/2018,"Cal Poly @ Pittsburgh, Pa.",L 0 - 3,,3,1,0,0,1,,2,,,3,,,,,,,
08/31/2018,Auburn,L 0 - 3,,3,1,0,0,0,,1,1,2,6,2,,,,1.0,,
09/01/2018,Eastern Ill.,W 3 - 0,,3,1,1,0,1,1.000,1,3,,5,,,,,4.0,1,
09/01/2018,Illinois St.,L 0 - 3,,3,1,0,0,0,,1,,1,3,2,,,,,,
09/07/2018,@ Arkansas,L 0 - 3,,3,1,0,0,0,,,1,2,10,,,,,1.0,,
09/08/2018,"Northwestern @ Fayetteville, Ark.",L 1 - 3,,4,1,0,0,2,,3,,,8,1,,,,,,
09/08/2018,"Buffalo @ Fayetteville, Ark.",L 2 - 3,,5,1,0,0,3,,1,2,2,13,4,,,,2.0,,
09/14/2018,Cleveland St.,L 2 - 3,,5,1,0,0,0,,4,3,1,14,,,,,3.0,3,
09/15/2018,Santa Clara,W 3 - 0,,3,1,0,0,0,,4,,1,4,,,,,,,
09/15/2018,Kent St.,W 3 - 0,,3,1,0,0,0,,2,1,1,11,,,,,1.0,,
09/21/2018,@ Seton Hall,W 3 - 0,,3,1,0,0,2,,2,3,1,9,1,,,,3.0,,
09/22/2018,@ St. John's (NY),L 2 - 3,,5,1,0,0,1,,2,,1,7,2,,,,,,
09/28/2018,Creighton,L 2 - 3,,5,1,0,1,2,-0.500,2,,2,10,1,,,,,,
09/29/2018,Providence,W 3 - 0,,3,1,0,0,1,,1,2,2,7,,,,,2.0,,
10/03/2018,@ DePaul,L 2 - 3,,5,1,0,0,0,,1,1,1,8,1,,,,1.0,,
10/05/2018,Georgetown,L 0 - 3,,3,1,0,0,0,,1,,,5,,,,,,,
10/06/2018,Villanova,W 3 - 1,,4,1,0,0,0,,3,1,2,9,,,,,1.0,,
10/10/2018,@ Marquette,L 0 - 3,,3,1,0,0,1,,,,,6,,,,,,,
10/13/2018,Xavier,L 1 - 3,,4,1,0,0,0,,1,1,1,11,,,,,1.0,,
10/18/2018,@ Providence,W 3 - 0,,3,1,0,0,0,,2,2,1,4,3,,,,2.0,,
10/20/2018,@ Creighton,L 0 - 3,,3,1,0,0,1,,,,1,6,2,,,,,,
10/26/2018,St. John's (NY),L 1 - 3,,4,1,0,0,0,,1,2,2,9,,,,,2.0,,
10/27/2018,Seton Hall,W 3 - 1,,4,1,1,0,1,1.000,3,,2,8,,,,,1.0,,
11/02/2018,@ Xavier,L 0 - 3,,3,1,0,1,2,-0.500,,2,,5,,,,,2.0,,
11/09/2018,Marquette,L 0 - 3,,3,1,0,0,0,,2,1,,3,1,,,,1.0,,
11/11/2018,DePaul,W 3 - 0,,3,1,0,1,1,-1.000,2,1,2,5,,,,,1.0,,
11/16/2018,@ Villanova,L 0 - 3,,3,1,0,0,1,,,,1,9,3,,,,,,
11/17/2018,@ Georgetown,L 0 - 3,,3,1,0,0,3,,2,1,2,10,1,,,,1.0,1,
