0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
Date,Opponent,Result,Attend,S,MP,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,
08/24/2018,@ California,L 0 - 3,,3,1,1,1,6,,,,,,,,1,,1.5,,
08/24/2018,"Colgate @ Berkeley, Calif.",L 2 - 3,,5,1,5,4,15,0.067,1,,,,,,2,,6.0,,
08/25/2018,"Rutgers @ Berkeley, Calif.",W 3 - 0,,3,1,3,1,5,0.400,,,,1,,,3,,4.5,,
08/28/2018,@ Western Mich.,L 0 - 3,,3,1,1,1,3,,,,,,,,1,,1.5,,
08/31/2018,@ FIU,L 1 - 3,,4,1,5,2,14,0.214,,,,1,,,4,,7.0,,
08/31/2018,"Savannah St. @ Miami, Fla.",W 3 - 1,,2,1,5,1,9,0.444,,,,,,,3,2,6.5,,
09/01/2018,"Delaware @ Miami, Fla.",W 3 - 0,,3,1,4,1,9,0.333,,,,,,,8,,8.0,,
09/04/2018,UIC,W 3 - 0,,3,1,3,1,6,0.333,,,,1,,2,2,,6.0,,
09/07/2018,Ole Miss,L 0 - 3,,3,1,3,0,5,0.600,,,1,,,2,1,1,5.5,,
09/08/2018,@ Georgia St.,W 3 - 0,,3,1,8,3,15,0.333,1,,,1,,1,1,,9.5,,
09/08/2018,"Sam Houston St. @ Atlanta, GA",L 1 - 3,,4,1,10,1,21,0.429,1,,,,,,3,2,11.5,,
09/11/2018,@ Northern Ill.,W 3 - 1,,4,1,4,0,13,0.308,,,,1,,,4,1,6.0,,
09/14/2018,"Brown @ DeLand, Fla.",L 2 - 3,,5,1,10,4,23,0.261,1,,,1,,1,2,1,12.0,,
09/14/2018,"Bethune-Cookman @ DeLand, Fla.",L 1 - 3,,4,1,7,3,16,0.250,,,,1,,2,5,,11.5,,
09/15/2018,@ Stetson,L 2 - 3,,5,1,9,4,23,0.217,,,,,1,,5,,11.5,,
09/20/2018,@ Utah Valley,W 3 - 2,,5,1,4,3,15,0.067,,,,,,2,7,,9.5,,
09/22/2018,@ Seattle U,L 0 - 3,,3,1,2,3,10,-0.100,,,,2,,,3,1,3.5,,
09/25/2018,Eastern Ill.,L 2 - 3,,5,1,4,5,13,-0.077,,,,1,,1,1,,5.5,,
09/27/2018,@ Kansas City,L 0 - 3,,3,1,2,1,4,0.250,,,,,,,4,,4.0,,
10/04/2018,UTRGV,L 0 - 3,,,,,,,,,,,,,,,,,,
10/06/2018,New Mexico St.,L 0 - 3,,2,1,3,2,9,0.111,,,,,,,3,1,4.5,,
10/11/2018,Kansas City,W 3 - 2,,5,1,6,2,11,0.364,,,,,,2,4,2,10.0,,
10/13/2018,@ Grand Canyon,L 0 - 3,,3,1,4,3,16,0.062,,,,1,,,,1,4.0,,
10/18/2018,California Baptist,L 1 - 3,,4,1,7,2,13,0.385,,,,5,,,4,,9.0,,
10/20/2018,Grand Canyon,L 0 - 3,,3,1,5,1,13,0.308,,,,,,,2,1,6.0,,
10/25/2018,@ California Baptist,L 0 - 3,,3,1,3,3,11,,,,1,3,,,3,,4.5,,
10/27/2018,@ CSU Bakersfield,L 1 - 3,,4,1,6,2,18,0.222,,,2,2,,,5,,8.5,,
10/29/2018,@ Drake,L 0 - 3,,3,1,2,5,10,-0.300,,,,3,,1,,,3.0,,
11/03/2018,CSU Bakersfield,L 1 - 3,,4,1,7,2,15,0.333,,,,1,,3/,3,1,11.5,,
11/08/2018,Seattle U,W 3 - 0,,3,1,1,1,4,,,,,,,1,2,,3.0,,
11/10/2018,Utah Valley,L 0 - 3,,3,1,1,0,7,0.143,,,,,,,2,1,2.0,,
11/15/2018,@ UTRGV,L 1 - 3,,4,1,5,2,18,0.167,,,,,,,5,,7.5,,
11/17/2018,@ New Mexico St.,L 0 - 3,,3,1,0,1,4,-0.250,,,,1,,,3,,1.5,,
