0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
Date,Opponent,Result,Attend,S,MP,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,
08/31/2018,"Villanova @ Annapolis, Md.",L 0 - 3,,3,1,6,3,12,0.250,2,,,1,,1,1,1,7.5,,
09/01/2018,"Alabama @ Annapolis, Md.",L 0 - 3,,3,1,9,0,12,0.750,,,1,,,,3,,10.5,,
09/01/2018,@ Navy,L 1 - 3,,4,1,11,3,20,0.400,,1,1,3,,,6,,15.0,,
09/07/2018,Siena,W 3 - 0,,3,1,10,2,18,0.444,,,3,2,,1,3,,12.5,,
09/08/2018,Lafayette,W 3 - 0,,3,1,8,0,13,0.615,,3,1,4,,1,4,,14.0,,
09/08/2018,Boston College,L 0 - 3,,3,1,6,3,18,0.167,,2,1,6,,,5,,10.5,,
09/14/2018,"Seton Hall @ Hempstead, New York",W 3 - 0,,3,1,9,3,16,0.375,,,2,1,,1,2,,11.0,,
09/14/2018,@ Hofstra,L 1 - 3,,3,1,2,0,14,0.143,1,,,3,,,2,,3.0,,
09/15/2018,@ Fordham,L 1 - 3,,3,1,1,2,7,-0.143,,,2,,,1,3,,3.5,,
09/15/2018,"St. Francis Brooklyn @ Bronx, N.Y.",W 3 - 0,,1,1,5,0,5,1.000,,,1,,,1,,,6.0,,
09/21/2018,Harvard,W 3 - 2,,5,1,9,3,22,0.273,,,2,2,,,2,,10.0,,
09/28/2018,@ Columbia,L 1 - 3,,4,1,8,1,12,0.583,,1,2,2,,1,5,,12.5,,
09/29/2018,@ Cornell,L 0 - 3,,3,1,3,1,13,0.154,,,,,,,4,,5.0,,
10/05/2018,Princeton,L 0 - 3,,2,1,1,1,5,,,,,1,,,1,,1.5,,
10/06/2018,Penn,W 3 - 0,,3,1,8,0,15,0.533,,,,1,,,3,,9.5,,
10/12/2018,@ Yale,L 0 - 3,,2,1,3,1,9,0.222,,,,1,,,3,,4.5,,
10/13/2018,@ Brown,W 3 - 1,,,,,,,,,,,,,,,,,,
10/19/2018,@ Harvard,L 1 - 3,,2,1,2,2,7,,,,1,,,,3,,3.5,,
10/26/2018,Cornell,L 1 - 3,,3,1,4,3,11,0.091,,,,1,,,4,,6.0,,
10/27/2018,Columbia,W 3 - 0,,3,1,2,2,9,,,1,1,1,,2,3,,6.5,,
10/30/2018,@ Bryant,W 3 - 0,,1,1,4,0,4,1.000,,,,,,,,1,4.0,,
11/02/2018,Brown,W 3 - 2,,4,1,4,1,13,0.231,,2,2,,,,2,,7.0,,
11/03/2018,Yale,L 0 - 3,,,,,,,,,,,,,,,,,,
11/09/2018,@ Penn,L 0 - 3,,2,1,2,0,4,0.500,,,,1,,,1,,2.5,,
11/10/2018,@ Princeton,L 0 - 3,,3,1,4,0,7,0.571,,,,1,,1,2,1,6.0,,
