0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
Date,Opponent,Result,Attend,S,MP,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,
08/24/2018,@ American,L 0 - 3,,1,1,0,4,5,-0.800,,,,2,,,,,,,
08/25/2018,Howard,L 1 - 3,,4,1,7,5,23,0.087,,,1,2,,,4,,9.0,,
08/31/2018,"Penn @ Washington, D.C.",W 3 - 1,,4,1,7,2,23,0.217,,,,1,,,4,1,9.0,,
09/01/2018,@ Georgetown,L 1 - 3,,2,1,4,3,13,0.077,,,,,,,1,,4.5,,
09/01/2018,"Norfolk St. @ Washington, D.C.",W 3 - 0,,,,,,,,,,,,,,,,,,
09/04/2018,@ Navy,L 0 - 3,,3,1,3,0,8,0.375,,,,1,,,1,,3.5,,
09/07/2018,"UNCW @ Charlottesville, Va.",L 1 - 3,,4,1,9,2,28,0.250,,1,,,,,,,10.0,,
09/08/2018,"Youngstown St. @ Charlottesville, Va.",L 1 - 3,,4,1,7,2,19,0.263,,1,,1,,1,1,1,9.5,,
09/08/2018,@ Virginia,L 1 - 3,,4,1,7,2,15,0.333,,,,,,,2,,8.0,,
09/14/2018,Lehigh,L 1 - 3,,4,1,3,3,23,,,2,,4,,,4,2,7.0,,
09/21/2018,Dayton,L 1 - 3,,3,1,4,2,16,0.125,1,,,,,,1,3,4.5,,
09/22/2018,Saint Louis,W 3 - 2,,5,1,8,1,16,0.438,,,1,2,,3,8,1,15.0,1,
09/28/2018,George Washington,W 3 - 1,,4,1,9,2,21,0.333,,,,,,1,8,,14.0,,
10/05/2018,Fordham,W 3 - 1,,4,1,10,4,26,0.231,,,2,1,,,6,1,13.0,,
10/06/2018,Rhode Island,W 3 - 2,,5,1,6,3,18,0.167,,,3,2,1,,3,1,7.5,,
10/12/2018,@ VCU,L 0 - 3,,3,1,4,2,10,0.200,,,,1,,,,,4.0,,
10/14/2018,@ Davidson,L 1 - 3,,4,1,2,2,14,,,,,1,,,2,1,3.0,,
10/19/2018,@ Duquesne,W 3 - 2,,5,1,11,3,20,0.400,1,,,4,,,5,,13.5,,
10/21/2018,@ La Salle,L 0 - 3,,3,1,2,3,10,-0.100,,,,1,,,1,,2.5,,
10/25/2018,@ George Washington,W 3 - 1,,4,1,7,1,19,0.316,,,,1,,,2,,8.0,,
11/02/2018,Davidson,W 3 - 0,,3,1,10,2,16,0.500,,,,,,,4,,12.0,,
11/03/2018,VCU,W 3 - 0,,3,1,7,2,17,0.294,,,,,,,1,,7.5,,
11/09/2018,@ Rhode Island,L 0 - 3,,3,1,6,1,16,0.312,1,,2,2,,,2,,7.0,,
11/10/2018,@ Fordham,L 2 - 3,,5,1,8,3,26,0.192,1,1,,4,,1,4,2,12.0,,
11/16/2018,"Saint Louis @ Richmond, Va.",L 0 - 3,,3,1,6,2,14,0.286,,,,1,,1,3,1,8.5,,
