0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
Date,Opponent,Result,Attend,S,MP,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,
08/25/2018,@ UCLA,L 1 - 3,,3,1,6,4,19,0.105,1,1,2,1,,,,,7.0,,
08/26/2018,@ UCLA,L 1 - 3,,4,1,16,5,43,0.256,1,,,5,1,,3,,17.5,,
08/31/2018,"Utah @ Missoula, Mont.",L 0 - 3,,1,1,5,2,10,0.300,,,,1,,,,1,5.0,,
08/31/2018,"Iowa St. @ Missoula, Mont.",L 1 - 3,,2,1,1,2,12,-0.083,1,,,1,,,1,,1.5,,
09/01/2018,@ Montana,L 2 - 3,,5,1,17,3,35,0.400,,,,,1,1,2,,19.0,,
09/07/2018,"Fresno St. @ Portland, Ore.",W 3 - 1,,4,1,8,4,23,0.174,,3,,2,,,,,11.0,,
09/07/2018,"California @ Portland, Ore.",W 3 - 2,,5,1,8,2,28,0.214,,,,3,,,1,1,8.5,,
09/08/2018,@ Portland St.,W 3 - 0,,3,1,10,5,24,0.208,,1,3,6,,,1,,11.5,,
09/14/2018,"Texas St. @ Tempe, Ariz.",L 0 - 3,,3,1,3,3,16,,,,1,1,1,,,,3.0,,
09/14/2018,@ Arizona St.,L 1 - 3,,4,1,5,5,26,,,,,4,1,,,,5.0,,
09/15/2018,"Northern Ariz. @ Tempe, Ariz.",L 0 - 3,,2,1,3,1,8,0.250,,,,2,1,,1,,3.5,,
09/20/2018,LMU (CA),W 3 - 0,,3,1,8,3,22,0.227,,,,1,,,,,8.0,,
09/22/2018,Pepperdine,L 1 - 3,,4,1,6,4,17,0.118,,,,1,1,,,2,6.0,,
09/27/2018,@ BYU,L 0 - 3,,2,1,0,2,6,-0.333,1,,,,1,,1,,0.5,,
09/29/2018,@ San Diego,L 0 - 3,,1,1,0,1,2,-0.500,,,,,,,,,,,
10/04/2018,Santa Clara,W 3 - 2,,2,1,0,0,1,,,,,1,,,1,,0.5,,
10/06/2018,San Francisco,W 3 - 0,,1,1,3,0,4,0.750,,,,,,,1,,3.5,,
10/11/2018,@ Saint Mary's (CA),L 0 - 3,,3,1,6,3,16,0.188,1,,,2,1,,,,6.0,,
10/13/2018,@ Pacific,L 2 - 3,,1,1,1,2,10,-0.100,,,,,,,,,1.0,,
10/20/2018,Portland,L 0 - 3,,3,1,6,2,15,0.267,,,,2,1,,1,,6.5,,
10/25/2018,San Diego,L 0 - 3,,3,1,6,0,12,0.500,,,,,1,,1,,6.5,,
10/27/2018,BYU,L 0 - 3,,2,1,2,2,8,,,,,,,,,,2.0,,
11/01/2018,@ San Francisco,W 3 - 1,,,,,,,,,,,,,,,,,,
11/03/2018,@ Santa Clara,W 3 - 2,,5,1,13,2,35,0.314,,,,3,,,3,,14.5,,
11/08/2018,Pacific,L 0 - 3,,3,1,8,2,15,0.400,,,,2,,,1,,8.5,,
11/10/2018,Saint Mary's (CA),W 3 - 1,,4,1,5,2,24,0.125,,,,2,,,3,,6.5,,
11/15/2018,@ Pepperdine,L 0 - 3,,3,1,9,1,23,0.348,,,,2,1,,1,,9.5,,
11/17/2018,@ LMU (CA),W 3 - 2,,5,1,8,3,19,0.263,1,,,2,,1,1,,9.5,,
11/20/2018,@ Portland,W 3 - 2,,5,1,14,6,37,0.216,1,,,3,1,,1,1,14.5,,
