0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
Date,Opponent,Result,Attend,S,MP,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,
08/24/2018,"Wisconsin @ Minneapolis, MN",L 0 - 3,,3,1,0,0,0,,1,,1,12,,,,,,,
08/25/2018,"Minnesota @ Minneapolis, MN",L 1 - 3,,4,1,0,0,0,,4,1,,17,1,,,,1.0,,
08/31/2018,UNC Greensboro,W 3 - 0,,3,1,0,0,0,,,1,,9,2,,,,1.0,,
09/01/2018,UMES,W 3 - 0,,3,1,0,0,0,,4,1,,13,,,,,1.0,,
09/01/2018,Michigan St.,L 1 - 3,,4,1,0,0,0,,3,,,17,1,,,,,,
09/07/2018,"Oklahoma @ Boulder, Colo.",W 3 - 2,,5,1,0,0,1,,7,,1,8,,,,,,,
09/08/2018,@ Colorado,L 0 - 3,,3,1,0,0,0,,2,,1,8,,,,,,,
09/09/2018,"Georgia @ Boulder, Colo.",L 1 - 3,,4,1,0,0,0,,1,1,2,16,5,,,,1.0,,
09/18/2018,@ Elon,W 3 - 0,,3,1,0,0,0,,1,1,,10,,,,,1.0,,
09/21/2018,Notre Dame,L 0 - 3,,3,1,0,0,0,,3,,,10,,,,,,,
09/23/2018,Louisville,L 2 - 3,,5,1,0,0,0,,5,,,19,1,,,,,,
09/26/2018,NC State,W 3 - 1,,4,1,0,0,0,,1,,,19,1,,,,,,
09/28/2018,@ Virginia Tech,L 0 - 3,,3,1,0,0,0,,1,1,,9,,,,,1.0,,
10/05/2018,@ Miami (FL),L 1 - 3,,4,1,0,0,0,,6,1,,22,2,,,,1.0,,
10/07/2018,@ Florida St.,L 1 - 3,,4,1,0,0,0,,2,,1,22,3,,,,,,
10/12/2018,Pittsburgh,L 0 - 3,,3,1,0,0,0,,3,1,,8,3,,,,1.0,,
10/14/2018,Virginia,L 0 - 3,,3,1,0,0,0,,1,,,8,,,,,,,
10/19/2018,@ Syracuse,L 0 - 3,,3,1,0,0,0,,2,2,,7,1,,,,2.0,,
10/21/2018,@ Boston College,L 0 - 3,,3,1,0,0,0,,3,,1,10,1,,,,,,
10/26/2018,@ Georgia Tech,L 2 - 3,,5,1,0,0,0,,1,1,,18,2,,,,1.0,,
10/28/2018,@ Clemson,L 0 - 3,,3,1,0,0,0,,4,1,,11,2,,,,1.0,,
11/02/2018,Duke,L 0 - 3,,3,1,0,0,0,,3,3,,10,1,,,,3.0,1,
11/04/2018,Wake Forest,W 3 - 0,,3,1,0,0,0,,3,,,13,,,,,,,
11/11/2018,Miami (FL),W 3 - 1,,4,1,1,0,1,1.000,2,1,1,20,3,,,,2.0,,
11/14/2018,@ NC State,L 0 - 3,,3,1,0,0,0,,3,,,9,,,,,,,
11/17/2018,@ Duke,W 3 - 2,,5,1,0,0,0,,3,1,,22,,,,,1.0,,
11/21/2018,Florida St.,L 0 - 3,,3,1,0,0,0,,1,2,1,12,,,,,2.0,,
