0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
Date,Opponent,Result,Attend,S,MP,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,
08/24/2018,"Green Bay @ Fort Worth, Texas",L 1 - 3,,4,1,0,0,6,,20,,1,10,,,,,,,
08/25/2018,"UAB @ Fort Worth, Texas",L 1 - 3,,4,1,0,0,4,,18,4,2,9,,,,,4.0,,
08/25/2018,@ TCU,L 0 - 3,,3,1,2,0,3,0.667,12,,1,8,,,,,2.0,,
08/31/2018,"Northern Ariz. @ Indianapolis, Ind.",L 1 - 3,,4,1,4,0,5,0.800,21,1,1,10,,,,,5.0,,
09/01/2018,"Western Mich. @ Indianapolis, Ind.",L 1 - 3,,4,1,3,0,4,0.750,15,2,1,12,,,,,5.0,1,
09/01/2018,@ IUPUI,L 0 - 3,,3,1,1,0,3,0.333,20,1,3,15,,,1,,2.5,1,
09/07/2018,"Providence @ Kansas City, Mo.",L 0 - 3,,3,1,1,0,3,0.333,16,,,9,,,,,1.0,,
09/07/2018,@ Kansas City,L 0 - 3,,3,1,0,0,1,,17,,2,5,,,,,,,
09/08/2018,"Arkansas St. @ Kansas City, Mo.",L 0 - 3,,3,1,2,2,4,,9,2,,8,,,,,4.0,,
09/14/2018,Northern Ky.,L 0 - 3,,3,1,1,1,5,,10,,1,10,,,,,1.0,,
09/15/2018,Louisiana Tech,L 1 - 3,,4,1,3,3,12,,42,1,2,9,,,1,,4.5,1,
09/15/2018,Oral Roberts,W 3 - 2,,5,1,5,1,7,0.571,31,2,2,11,,,,,7.0,,
09/19/2018,@ Eastern Ill.,L 0 - 3,,3,1,4,1,7,0.429,19,1,2,12,,,1,,5.5,,
09/22/2018,@ Belmont,W 3 - 0,,3,1,2,0,3,0.667,24,1,,10,,,,,3.0,,
09/28/2018,UT Martin,W 3 - 1,,4,1,1,1,6,,28,1,1,8,,,,,2.0,,
09/29/2018,Southeast Mo. St.,W 3 - 1,,4,1,5,0,7,0.714,35,1,3,8,,,,,6.0,,
10/05/2018,@ Murray St.,L 0 - 3,,3,1,0,0,1,,16,1,3,6,,,,,1.0,,
10/06/2018,@ Austin Peay,L 1 - 3,,4,1,3,0,7,0.429,26,1,3,13,,,,,4.0,2,
10/12/2018,@ Tennessee Tech,L 0 - 3,,3,1,1,1,6,,17,,1,4,,,,,1.0,3,
10/13/2018,@ Jacksonville St.,L 0 - 3,,3,1,1,0,3,0.333,9,,1,4,,,,,1.0,1,
10/19/2018,Morehead St.,W 3 - 1,,4,1,1,0,7,0.143,24,,4,8,,,,,1.0,,
10/20/2018,Eastern Ky.,W 3 - 1,,4,1,0,1,6,-0.167,23,2,1,9,,,,,2.0,2,
10/24/2018,Eastern Ill.,W 3 - 2,,5,1,0,3,3,-1.000,29,2,3,18,,,,,2.0,,
10/27/2018,Tennessee St.,W 3 - 1,,4,1,4,0,6,0.667,22,1,3,7,,,,,5.0,,
11/02/2018,@ Southeast Mo. St.,L 1 - 3,,4,1,5,0,9,0.556,13,2,1,8,,,,,7.0,,
11/03/2018,@ UT Martin,W 3 - 1,,4,1,1,0,8,0.125,23,1,2,6,,,,,2.0,2,
11/09/2018,Austin Peay,L 0 - 3,,3,1,2,0,5,0.400,10,,2,5,,,,,2.0,,
11/10/2018,Murray St.,L 1 - 3,,4,1,3,1,7,0.286,19,,1,5,,,,,3.0,1,
11/15/2018,"Jacksonville St. @ Clarksville, TN",L 0 - 3,,3,1,3,0,3,1.000,14,2,1,5,,,,,5.0,,
