0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
Date,Opponent,Result,Attend,S,MP,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,
08/24/2018,"Creighton @ Los Angeles, Calif.",W 3 - 0,,3,1,1,0,1,1.000,38,,1,7,,,,1,1.0,,
08/25/2018,@ Southern California,L 0 - 3,,3,1,1,0,3,0.333,35,,2,9,,,,2,1.0,2,
08/25/2018,"Kentucky @ Los Angeles, Calif.",W 3 - 2,,5,1,5,0,7,0.714,51,,,7,,,1,1,5.5,,
08/29/2018,Iowa St.,L 0 - 3,,3,1,1,0,4,0.250,32,,1,12,,,,,1.0,,
08/31/2018,Washington St.,L 1 - 3,,4,1,0,1,4,-0.250,40,1,2,7,,,1,,1.5,,
09/01/2018,Washington St.,L 1 - 3,,4,1,4,0,4,1.000,46,,2,17,,,,2,4.0,,
09/07/2018,"Indiana @ Muncie, Ind.",W 3 - 1,,4,1,1,1,3,,53,1,,14,1,,,,2.0,1,
09/07/2018,@ Ball St.,W 3 - 1,,4,1,4,3,9,0.111,45,,,6,,,1,,4.5,,
09/08/2018,"North Dakota St. @ Muncie, IN",W 3 - 0,,3,1,1,0,3,0.333,44,,1,9,,1,,,2.0,,
09/14/2018,"Lipscomb @ Champaign, Ill.",W 3 - 0,,3,1,1,0,2,0.500,33,1,1,9,,,1,,2.5,1,
09/14/2018,@ Illinois,L 0 - 3,,3,1,1,0,2,0.500,22,1,1,6,,,1,,2.5,1,
09/15/2018,"Creighton @ Champaign, Ill.",L 0 - 3,,3,1,2,0,5,0.400,23,,,8,,,,1,2.0,,
09/21/2018,@ Drake,W 3 - 0,,3,1,2,0,6,0.333,40,,,5,,,2,,3.0,,
09/24/2018,Indiana St.,W 3 - 0,,3,1,1,1,4,,38,,2,5,,1,,,2.0,,
09/28/2018,@ Loyola Chicago,W 3 - 0,,3,1,2,0,3,0.667,46,,1,5,,,,,2.0,,
09/29/2018,@ Valparaiso,W 3 - 1,,4,1,3,0,7,0.429,47,,2,12,,,2,,4.0,2,
10/05/2018,Illinois St.,W 3 - 0,,3,1,1,1,4,,36,1,1,3,,1,2,,4.0,1,
10/06/2018,Bradley,W 3 - 1,,4,1,0,1,3,-0.333,46,1,1,18,,,2,,2.0,2,
10/08/2018,Evansville,W 3 - 0,,3,1,2,1,4,0.250,39,,1,7,,,,,2.0,,
10/12/2018,@ Southern Ill.,W 3 - 1,,4,1,4,2,8,0.250,53,,,10,,,1,,4.5,1,
10/13/2018,@ Missouri St.,W 3 - 2,,5,1,4,2,8,0.250,60,2,,9,,1,1,,7.5,,
10/19/2018,Drake,W 3 - 2,,5,1,3,0,3,1.000,60,1,,12,,,2,,5.0,,
10/21/2018,Marquette,L 1 - 3,,4,1,3,0,7,0.429,44,1,,11,,,1,,4.5,,
10/26/2018,Valparaiso,W 3 - 2,,5,1,5,1,8,0.500,53,,,16,,,2,,6.0,1,
10/27/2018,Loyola Chicago,W 3 - 0,,3,1,2,0,5,0.400,42,,1,3,,,1,1,2.5,,
11/02/2018,@ Bradley,W 3 - 0,,3,1,2,0,5,0.400,37,,,8,,,,,2.0,,
11/03/2018,@ Illinois St.,L 2 - 3,,5,1,4,0,4,1.000,51,1,3,12,,,3,,6.5,,
11/09/2018,Missouri St.,W 3 - 0,,3,1,2,2,5,,36,,,6,,,4,,4.0,,
11/10/2018,Southern Ill.,W 3 - 0,,3,1,1,1,4,,45,,1,8,,,3,1,2.5,,
11/16/2018,@ Evansville,L 2 - 3,,5,1,1,0,2,0.500,59,,,6,,,2,,2.0,,
11/17/2018,@ Indiana St.,W 3 - 0,,3,1,3,0,4,0.750,40,1,1,13,,,,,4.0,,
11/23/2018,"Valparaiso @ Springfield, Mo.",W 3 - 1,,4,1,4,1,8,0.375,60,,,15,,,2,,5.0,,
11/24/2018,"Illinois St. @ Springfield, Mo.",W 3 - 1,,4,1,1,0,8,0.125,56,1,,7,,,2,,3.0,,
11/29/2018,"Pepperdine @ Madison, Wis.",L 2 - 3,,5,1,4,0,6,0.667,58,1,,9,,,1,,5.5,,
