0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
Date,Opponent,Result,Attend,S,MP,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,
08/24/2018,Southern Utah,W 3 - 0,,3,1,0,0,0,,3,,,11,,,,,,1,
08/24/2018,Indiana,L 1 - 3,,4,1,0,0,0,,2,,2,11,1,,,,,,
08/25/2018,LIU,W 3 - 0,,3,1,0,0,0,,4,,,6,2,,,,,,
08/31/2018,"Youngstown St. @ Pittsburgh, PA",L 2 - 3,,5,1,0,0,0,,5,,,21,,,,,,1,
08/31/2018,@ Duquesne,W 3 - 1,,2,1,0,0,0,,1,2,2,6,,,,,2.0,,
09/01/2018,"Bowling Green @ Pittsburgh, PA",L 1 - 3,,,,,,,,,,,,,,,,,,
09/07/2018,Cal St. Fullerton,W 3 - 0,,3,1,0,0,0,,2,,1,8,1,,,,,,
09/07/2018,Fordham,W 3 - 1,,3,1,0,0,0,,,,1,3,,,,,,,
09/08/2018,Eastern Ky.,W 3 - 0,,3,1,0,0,0,,1,,1,7,,,,,,,
09/14/2018,"Murray St. @ St. Louis, Mo.",W 3 - 1,,4,1,0,0,0,,1,,5,22,2,,,,,,
09/15/2018,@ Saint Louis,W 3 - 0,,3,1,0,0,0,,,,,11,2,,,,,,
09/15/2018,"Kansas City @ St. Louis, Mo.",W 3 - 2,,5,1,0,0,1,,2,,4,14,2,,,,,,
09/20/2018,Boise St.,W 3 - 0,,3,1,0,0,0,,1,,,9,3,,,,,,
09/22/2018,@ Utah St.,W 3 - 1,,4,1,0,0,0,,,1,,9,1,,,,1.0,,
09/26/2018,@ New Mexico,L 1 - 3,,4,1,0,0,4,,,,1,6,,,,,,,
09/28/2018,@ Air Force,L 1 - 3,,4,1,0,0,0,,,,,9,3,,,,,,
10/04/2018,San Jose St.,W 3 - 1,,4,1,0,0,0,,,,,15,2,,,,,,
10/06/2018,Nevada,W 3 - 1,,4,1,0,0,0,,1,,,11,1,,,,,,
10/11/2018,@ Fresno St.,L 1 - 3,,4,1,0,0,0,,1,,,7,1,,,,,1,
10/13/2018,@ San Diego St.,W 3 - 1,,4,1,0,0,0,,1,1,1,12,,,,,1.0,,
10/18/2018,Wyoming,W 3 - 1,,4,1,0,0,0,,6,,,14,3,,,,,,
10/20/2018,Colorado St.,L 1 - 3,,4,1,0,0,0,,,,,12,5,,,,,,
10/23/2018,New Mexico,L 0 - 3,,3,1,0,0,0,,,1,1,6,2,,,,1.0,,
10/25/2018,Air Force,W 3 - 0,,3,1,0,0,0,,,,,10,,,,,,,
11/01/2018,@ Nevada,W 3 - 2,,5,1,0,0,0,,4,,,11,1,,,,,,
11/03/2018,@ San Jose St.,W 3 - 1,,4,1,0,0,0,,3,,,10,2,,,,,,
11/08/2018,San Diego St.,W 3 - 0,,3,1,0,0,0,,1,,,4,1,,,,,,
11/10/2018,Fresno St.,L 1 - 3,,4,1,0,0,0,,3,,,7,2,,,,,,
11/15/2018,@ Colorado St.,L 0 - 3,,3,1,0,0,0,,4,,,11,1,,,,,,
11/17/2018,@ Wyoming,L 2 - 3,,5,1,0,0,0,,3,2,,15,1,,,,2.0,,
11/29/2018,UC Irvine,W 3 - 0,,3,1,0,0,0,,1,,,10,1,,,,,,
11/30/2018,Fresno St.,W 3 - 2,,5,1,0,0,0,,6,,1,11,2,,,,,,
12/06/2018,@ Portland,W 3 - 1,,,,,,,,,,,,,,,,,,
12/08/2018,@ Iowa St.,L 1 - 3,,,,,,,,,,,,,,,,,,
