0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
Date,Opponent,Result,Attend,S,MP,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,
08/24/2018,@ Sacramento St.,L 1 - 3,,4,1,8,1,15,0.467,,,,1,,1,1,,9.5,,
08/24/2018,"Arizona @ Sacramento, Calif.",L 2 - 3,,5,1,9,2,17,0.412,,,,,,1,4,,12.0,,
08/25/2018,"CSUN @ Sacramento, Calif.",W 3 - 2,,4,1,13,3,21,0.476,1,,,,,,7,,16.5,,
08/31/2018,UTRGV,L 0 - 3,,1,1,4,0,8,0.500,,,,,,,2,,5.0,,
08/31/2018,LMU (CA),L 0 - 3,,3,1,7,1,9,0.667,,,,,,,6,,10.0,,
09/01/2018,Cal Poly,L 0 - 3,,3,1,8,2,17,0.353,,,,1,,1,5,,11.5,,
09/04/2018,@ Utah Valley,L 0 - 3,,3,1,3,3,14,,,,,,,1,4,,6.0,,
09/07/2018,"Loyola Chicago @ Kalamazoo, Mich.",L 2 - 3,,5,1,4,1,20,0.150,,,,1,,,10,,9.0,,
09/08/2018,"Milwaukee @ Kalamazoo, Mich.",W 3 - 2,,5,1,7,3,13,0.308,,,,1,,,2,,8.0,,
09/08/2018,@ Western Mich.,L 2 - 3,,5,1,12,1,27,0.407,,,,1,1,1,4,,15.0,,
09/14/2018,Weber St.,L 0 - 3,,3,1,5,3,11,0.182,,,,,,,1,,5.5,,
09/19/2018,@ New Mexico,L 1 - 3,,4,1,9,2,19,0.368,,,,,,,6,1,12.0,,
09/22/2018,UNLV,L 1 - 3,,4,1,11,2,24,0.375,,,,2,,,2,,12.0,,
09/27/2018,@ San Jose St.,W 3 - 2,,5,1,8,0,14,0.571,,,,1,,,4,,10.0,,
09/29/2018,@ Nevada,L 2 - 3,,5,1,10,3,25,0.280,,,,2,,,1,,10.5,,
10/04/2018,Fresno St.,L 0 - 3,,3,1,6,4,16,0.125,,,,1,,,6,1,9.0,,
10/06/2018,San Diego St.,L 2 - 3,,5,1,7,3,16,0.250,,,,,,,8,,11.0,,
10/11/2018,@ Wyoming,L 0 - 3,,2,1,1,3,10,-0.200,,,,,,,1,,1.5,,
10/13/2018,@ Colorado St.,L 0 - 3,,,,,,,,,,,,,,,,,,
10/16/2018,Boise St.,L 2 - 3,,,,,,,,,,,,,,,,,,
10/18/2018,Air Force,W 3 - 1,,,,,,,,,,,,,,,,,,
10/25/2018,San Jose St.,L 1 - 3,,2,1,4,1,15,0.200,,,,1,,,2,1,5.0,,
10/27/2018,Nevada,W 3 - 0,,3,1,2,3,8,-0.125,,,,1,,,4,1,4.0,,
11/01/2018,@ San Diego St.,L 0 - 3,,3,1,1,4,7,-0.429,,,,1,,,4,,3.0,,
11/03/2018,@ Fresno St.,L 0 - 3,,,,,,,,,,,,,,,,,,
11/08/2018,Colorado St.,L 0 - 3,,,,,,,,,,,,,,,,,,
11/10/2018,Wyoming,L 0 - 3,,2,1,2,2,7,,,,,1,,,,1,2.0,,
11/13/2018,@ Boise St.,L 2 - 3,,,,,,,,,,,,,,,,,,
11/17/2018,@ Air Force,L 0 - 3,,,,,,,,,,,,,,,,,,
