0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
Date,Opponent,Result,Attend,S,MP,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,
08/24/2018,"Oklahoma @ DeKalb, Ill.",L 0 - 3,,,,,,,,,,,,,,,,,,
08/25/2018,@ Northern Ill.,W 3 - 1,,,,,,,,,,,,,,,,,,
08/31/2018,Missouri @ San Juan,L 0 - 3,,,,,,,,,,,,,,,,,,
09/02/2018,"Arizona St. @ San Juan, P.R.",L 1 - 3,,,,,,,,,,,,,,,,,,
09/02/2018,"Towson @ San Juan, P.R.",L 0 - 3,,,,,,,,,,,,,,,,,,
09/07/2018,@ Purdue,L 1 - 3,,,,,,,,,,,,,,,,,,
09/07/2018,"Louisville @ West Lafayette, Ind.",L 0 - 3,,,,,,,,,,,,,,,,,,
09/08/2018,"Lipscomb @ West Lafayette, Ind.",L 0 - 3,,,,,,,,,,,,,,,,,,
09/14/2018,Indiana,L 0 - 3,,,,,,,,,,,,,,,,,,
09/14/2018,Eastern Ky.,W 3 - 0,,,,,,,,,,,,,,,,,,
09/15/2018,@ Cincinnati,L 1 - 3,,,,,,,,,,,,,,,,,,
09/21/2018,@ St. John's (NY),L 2 - 3,,,,,,,,,,,,,,,,,,
09/22/2018,@ Seton Hall,W 3 - 1,,,,,,,,,,,,,,,,,,
09/28/2018,Providence,W 3 - 0,,,,,,,,,,,,,,,,,,
09/29/2018,Creighton,L 0 - 3,,,,,,,,,,,,,,,,,,
10/03/2018,@ Marquette,L 0 - 3,,,,,,,,,,,,,,,,,,
10/05/2018,Villanova,W 3 - 2,,,,,,,,,,,,,,,,,,
10/06/2018,Georgetown,L 0 - 3,,,,,,,,,,,,,,,,,,
10/10/2018,@ DePaul,L 1 - 3,,,,,,,,,,,,,,,,,,
10/13/2018,@ Butler,W 3 - 1,,,,,,,,,,,,,,,,,,
10/18/2018,@ Creighton,L 2 - 3,,,,,,,,,,,,,,,,,,
10/20/2018,@ Providence,W 3 - 1,,,,,,,,,,,,,,,,,,
10/26/2018,Seton Hall,W 3 - 1,,,,,,,,,,,,,,,,,,
10/27/2018,St. John's (NY),L 2 - 3,,,,,,,,,,,,,,,,,,
11/02/2018,Butler,W 3 - 0,,,,,,,,,,,,,,,,,,
11/09/2018,DePaul,W 3 - 1,,,,,,,,,,,,,,,,,,
11/11/2018,Marquette,L 0 - 3,,,,,,,,,,,,,,,,,,
11/16/2018,@ Georgetown,L 0 - 3,,3,1,1,1,6,,,,,1,,,1,,1.5,,
11/17/2018,@ Villanova,L 0 - 3,,3,1,3,4,15,-0.067,1,,,1,,,2,,4.0,,
