Jersey,Player,Yr,Pos,Ht,GP,GS,S,MP,MS,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,Trpl Dbl,Attend
13,"Rooney, Mason",Sr,S,6-2,87,,87,25.0,25.0,223,74,561,0.266,439.0,31.0,39.0,162.0,,3.0,38.0,6.0,276.0,22.0,5.0,
11,"Edman, Elisa",Jr,DS,5-3,87,,87,25.0,24.0,2,0,4,0.5,16.0,30.0,35.0,195.0,33.0,,,,32.0,,,
8,"Treadwell, Josie",Jr,OH,5-10,87,,87,25.0,,5,0,6,0.833,31.0,17.0,24.0,394.0,20.0,,,,22.0,,,
1,"Jennings, Alison",Fr,MH,6-0,87,,87,25.0,25.0,74,32,198,0.212,5.0,13.0,17.0,51.0,4.0,7.0,49.0,6.0,118.5,,,
14,"Franz, Katharine",Sr,OPP,5-11,86,,86,25.0,1.0,132,41,371,0.245,24.0,,2.0,39.0,1.0,3.0,37.0,1.0,153.5,3.0,,
10,"Champaigne, Sydney",So,S,5-11,86,,86,25.0,24.0,4,3,12,0.083,411.0,5.0,8.0,138.0,1.0,,,,9.0,16.0,,
7,"Rodriguez, Hattie",Fr,OH,5-11,85,,85,25.0,5.0,203,93,641,0.172,2.0,1.0,1.0,41.0,13.0,3.0,12.0,,213.0,,,
19,"Cockrell, Ciera",Sr,OH,5-10,84,,84,25.0,20.0,238,106,865,0.153,5.0,1.0,,91.0,12.0,10.0,27.0,7.0,262.5,,,
3,"Thompson, Sam",Sr,DS,5-7,81,,81,23.0,1.0,7,11,34,-0.11800000000000001,9.0,10.0,14.0,165.0,31.0,,,,17.0,,,
5,"Crosley, Ellie",So,MH,5-11,50,,50,15.0,14.0,104,15,210,0.424,1.0,1.0,1.0,22.0,,4.0,34.0,2.0,126.0,,,
12,"Albold, Lauryn",Fr,MH,6-0,39,,39,12.0,11.0,5,5,26,0.0,,,,6.0,3.0,6.0,31.0,10.0,26.5,,,
15,"Kane, Emily",Jr,S,5-11,38,,38,20.0,,0,0,0,,12.0,8.0,9.0,8.0,,,,,8.0,2.0,,
17,"Kay, Malia",Fr,OH,5-10,16,,16,11.0,,1,2,4,-0.25,1.0,1.0,4.0,13.0,5.0,,,,2.0,,,
4,"McLaughlin, Emma",Jr,OH,6-0,8,,8,7.0,,1,1,8,0.0,1.0,,,1.0,1.0,,1.0,,1.5,1.0,,
2,"Kitzberger, Annalyse",Fr,OH,5-11,8,,8,6.0,,5,4,33,0.03,,,1.0,3.0,1.0,,1.0,,5.5,,,
9,"Lehnertz, Remi",So,OH,5-10,7,,7,5.0,,10,7,36,0.083,1.0,,,5.0,,1.0,,,11.0,,,
6,"Mohler, Caroline",Fr,OPP,6-1,2,,2,2.0,,1,0,2,0.5,,,,,,,,,1.0,,,
-,TEAM,-,-,-,-,-,12,5.0,,0,0,0,,,,,,9.0,,,,,,,
-,Totals,-,-,-,-,-,87,,,1015,394,3011,0.20600000000000002,958.0,118.0,155.0,1334.0,134.0,37.0,230.0,32.0,1285.0,44.0,,
-,Opponent Totals,-,-,-,-,-,87,,,1167,492,3139,0.215,1076.0,134.0,150.0,1423.0,118.0,48.0,255.0,44.0,1476.5,31.0,,
