Jersey,Player,Yr,Pos,Ht,GP,GS,S,MP,MS,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,Trpl Dbl,Attend
10,"Gallop, Sien",Jr,OH,5-10,98,,98,28.0,21.0,132,99,464,0.071,10.0,30.0,73.0,228.0,46.0,,8.0,9.0,166.0,1.0,,
4,"Taylor, Maya",So,OH,5-11,98,,98,28.0,24.0,403,180,1035,0.215,8.0,22.0,45.0,145.0,27.0,5.0,12.0,10.0,436.0,3.0,,
3,"Chaykowsky, Cayce",Fr,DS,5-5,95,,95,27.0,1.0,1,0,3,0.33299999999999996,87.0,14.0,24.0,431.0,32.0,,,,15.0,,,
14,"Mershon, Lauren",Jr,MB,6-3,92,,92,27.0,27.0,136,46,327,0.275,4.0,,,11.0,2.0,10.0,52.0,10.0,172.0,,,
17,"Cordia, Kennedy",So,S,5-6,92,,92,26.0,26.0,37,9,101,0.27699999999999997,904.0,24.0,34.0,249.0,,,21.0,4.0,71.5,7.0,,
6,"Walsh, Isabelle",Fr,OH,5-11,90,,90,28.0,22.0,185,85,535,0.187,8.0,3.0,12.0,97.0,22.0,3.0,51.0,4.0,216.5,1.0,,
12,"Phillips, Juliana",So,MB,6-4,78,,78,26.0,9.0,37,19,131,0.13699999999999998,4.0,19.0,31.0,22.0,2.0,2.0,16.0,4.0,66.0,,,
15,"Daniels, Sara",Fr,MB,6-2,75,,75,23.0,20.0,110,58,276,0.188,4.0,9.0,22.0,32.0,1.0,8.0,60.0,5.0,157.0,2.0,,
8,"Haak, Katia",Sr,OH,5-10,59,,59,17.0,4.0,2,4,14,-0.14300000000000002,9.0,,2.0,108.0,16.0,,,,2.0,,,
11,"Rosburg, Margaret",So,DS,5-9,56,,56,21.0,2.0,5,2,16,0.188,58.0,8.0,13.0,48.0,,,4.0,,15.0,1.0,,
13,"Charles, Giovanna",Fr,OH,5-9,53,,53,18.0,7.0,130,43,411,0.212,,,2.0,21.0,3.0,1.0,19.0,2.0,140.5,,,
9,"Imo, Emily",Fr,DS,5-5,43,,43,16.0,3.0,1,1,2,0.0,9.0,1.0,3.0,47.0,10.0,,,,2.0,,,
5,"Loftus, Monica",Sr,OH,6-0,39,,39,17.0,2.0,8,9,48,-0.021,,,1.0,8.0,,,7.0,4.0,11.5,,,
2,"Backus, Jenny",Sr,DS,5-4,24,,24,11.0,,0,0,0,,2.0,1.0,7.0,12.0,2.0,,,,1.0,,,
1,"Day, Emily",So,DS,5-3,15,,15,9.0,,0,0,1,0.0,,,3.0,2.0,,,,,,,,
7,"Rivas, Camila",Sr,S,5-9,1,,1,1.0,,0,0,0,,1.0,,,,,,,,,,,
-,TEAM,-,-,-,-,-,23,15.0,,0,0,0,,,,,1.0,23.0,,,,,,,
-,Totals,-,-,-,-,-,98,,,1187,555,3364,0.188,1108.0,131.0,272.0,1462.0,186.0,29.0,250.0,52.0,1472.0,15.0,,
-,Opponent Totals,-,-,-,-,-,98,,,1202,434,3287,0.23399999999999999,1121.0,186.0,209.0,1421.0,131.0,33.0,337.0,45.0,1589.5,48.0,,
