0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
Date,Opponent,Result,S,MP,Attend,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,
08/30/2019,"Texas Southern @ Montgomery, AL",W 3 - 0,3,1,,0,0,1,,9,1,2,3,,,,,1.0,,
08/30/2019,@ Alabama St.,L 1 - 3,2,1,,0,0,0,,4,,,1,,,,,,,
08/31/2019,"Alabama A&M @Montgomery, AL",1 - 3,,,,,,,,,,,,,,,,,,
08/31/2019,"Jackson St. @ Montgomery, AL",L 2 - 3,4,1,,2,0,3,0.667,30,2,1,8,,,,,4.0,,
09/03/2019,Mercer,L 0 - 3,3,1,,0,0,7,0.000,9,1,1,2,,,,,1.0,,
09/06/2019,"Eastern Mich. @ Lafayette, La",L 1 - 3,2,1,,0,0,1,,5,,,5,,,,,,,
09/06/2019,"McNeese @ Lafayette, La.",L 1 - 3,3,1,,0,0,0,,,,1,3,,,,,,,
09/07/2019,@ Louisiana,L 1 - 3,4,1,,1,1,2,,1,,2,10,,,2,,2.0,,
09/13/2019,"St. John's (NY) @ Tallahassee, Fla.",L 0 - 3,3,1,,0,0,0,,9,,1,2,,,,,,,
09/14/2019,Stony Brook,L 1 - 3,4,1,,0,0,2,,24,4,3,1,,,,,4.0,,
09/20/2019,"Southern U. @ Troy, AL",W 3 - 1,4,1,,0,0,1,0.000,25,3,1,6,,,,,3.0,,
09/21/2019,"The Citadel @ Troy, AL",L 2 - 3,5,1,,0,0,0,,27,,2,4,,,,,,,
09/21/2019,@ Troy,L 0 - 3,3,1,,0,0,0,,11,,2,2,,,,,,,
09/27/2019,Norfolk St.,W 3 - 2,5,1,,0,0,1,,18,2,5,8,,,,,2.0,,
09/29/2019,Howard,L 1 - 3,4,1,,2,0,5,0.400,18,2,1,6,,,,,4.0,2,
10/05/2019,@ Presbyterian,L 0 - 3,3,1,,0,0,0,,12,,,3,,,,,,,
10/06/2019,@ South Carolina St.,3 - 1,,,,,,,,,,,,,,,,,,
10/08/2019,@ Bethune-Cookman,W 3 - 2,5,1,,0,0,0,,25,3,1,6,,,,,3.0,2,
10/11/2019,N.C. Central,W 3 - 0,3,1,,0,0,0,,16,1,1,6,,,,,1.0,1,
10/13/2019,N.C. A&T,L 1 - 3,4,1,,0,0,2,,14,4,2,4,,,,,4.0,,
10/15/2019,@ North Florida,L 2 - 3,5,1,,0,0,0,,23,3,3,2,,,,,3.0,1,
10/18/2019,Coppin St.,L 1 - 3,4,1,,0,0,0,,17,1,1,4,,,,,1.0,3,
10/20/2019,Morgan St.,1 - 3,,,,,,,,,,,,,,,,,,
10/25/2019,@ UMES,W 3 - 2,5,1,,1,0,2,0.500,19,2,2,5,,,,,3.0,2,
10/27/2019,@ Delaware St.,L 0 - 3,3,1,,0,0,0,,15,,2,1,,,,,,,
10/29/2019,Alabama St.,W 3 - 0,3,1,,0,0,0,,21,2,2,3,,,,,2.0,,
10/31/2019,South Carolina St.,W 3 - 1,,,,,,,,,,,,,,,,,,
11/08/2019,Bethune-Cookman,L 1 - 3,4,1,,1,0,3,0.333,30,,4,4,,,,,1.0,2,
11/15/2019,@ N.C. Central,W 3 - 2,5,1,,0,0,0,,28,3,5,7,,,,,3.0,2,
11/17/2019,@ N.C. A&T,L 0 - 3,3,1,,1,0,5,0.200,18,1,3,4,,,1,,2.5,1,
