0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
Date,Opponent,Result,S,MP,Attend,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,
08/30/2019,"UT Arlington @ Houston, TX",W 3 - 0,3,1,,2,1,6,0.167,22,,2,8,,,3,,3.5,,
08/31/2019,"Arizona St. @ Houston, Texas",L 2 - 3,5,1,,3,3,12,,39,1,1,11,,,6,,7.0,,
08/31/2019,@ Houston,W 3 - 1,4,1,,4,2,14,0.143,36,1,1,7,,,4,1,7.0,,
09/07/2019,"Penn St. @ Ames, Iowa",L 0 - 3,3,1,,5,0,6,0.833,13,,,3,,,1,1,5.5,1,
09/08/2019,@ Iowa St.,W 3 - 2,5,1,,9,2,20,0.350,32,1,2,24,,1,5,1,13.5,1,
09/13/2019,"Fresno St. @ Flagstaff, Ariz.",W 3 - 1,4,1,,1,3,6,-0.333,43,1,1,3,,,3,,3.5,,
09/13/2019,@ Northern Ariz.,L 0 - 3,3,1,,2,0,4,0.500,31,,1,14,,,2,,3.0,,
09/14/2019,"South Dakota St. @ Flagstaff, Ariz.",W 3 - 0,3,1,,2,1,3,0.333,22,,3,3,,,,,2.0,1,
09/20/2019,Southern Miss.,W 3 - 0,3,1,,1,0,6,0.167,40,,,14,,,1,,1.5,,
09/21/2019,Tulane,L 1 - 3,4,1,,3,2,9,0.111,31,2,,5,,,,,5.0,2,
09/25/2019,Arkansas,W 3 - 0,3,1,,3,0,4,0.750,37,,1,8,,,2,,4.0,1,
09/29/2019,@ Mississippi St.,W 3 - 0,3,1,,3,0,4,0.750,39,1,2,5,,,,,4.0,,
10/02/2019,Missouri,L 1 - 3,4,1,,1,2,5,-0.200,37,1,,5,1,,,,2.0,1,
10/06/2019,Ole Miss,L 1 - 3,3,1,,1,0,4,0.250,21,,1,4,,,,,1.0,,
10/11/2019,@ Tennessee,W 3 - 2,5,1,,6,0,10,0.600,55,1,,11,,1,3,,9.5,1,
10/13/2019,@ Georgia,L 2 - 3,5,1,,3,0,7,0.429,53,3,,11,,,1,,6.5,,
10/18/2019,Alabama,W 3 - 1,4,1,,3,1,7,0.286,40,,1,10,,,3,,4.5,1,
10/20/2019,Florida,L 0 - 3,3,1,,3,2,12,0.083,34,1,,9,,,1,,4.5,1,
10/23/2019,@ Kentucky,L 0 - 3,3,1,,1,4,8,-0.375,25,1,,9,,1,1,1,3.5,,
11/01/2019,@ South Carolina,L 0 - 3,3,1,,3,1,7,0.286,38,,2,7,,,,,3.0,,
11/03/2019,Mississippi St.,W 3 - 2,5,1,,4,2,13,0.154,53,1,3,8,,2,3,,8.5,1,
11/06/2019,Auburn,W 3 - 0,3,1,,1,1,3,,41,,2,9,,,5,,3.5,,
11/10/2019,Texas A&M,W 3 - 1,4,1,,3,1,7,0.286,35,,,14,,,3,,4.5,,
11/15/2019,@ Florida,L 0 - 3,3,1,,0,0,3,,23,,2,3,,,,,,1,
11/17/2019,@ Auburn,W 3 - 0,3,1,,0,0,5,0.000,37,,,8,,,2,,1.0,,
11/24/2019,@ Alabama,W 3 - 0,3,1,,0,2,2,-1.000,34,1,1,4,,1,1,,2.5,,
11/27/2019,Kentucky,L 1 - 3,4,1,,5,2,12,0.250,33,,,14,,1,2,,7.0,1,
11/30/2019,@ Missouri,L 0 - 3,3,1,,1,0,4,0.250,17,1,1,5,,,,,2.0,,
