0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
Date,Opponent,Result,S,MP,Attend,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,
08/30/2019,"Alabama @ Buffalo, NY",L 0 - 3,3,1,,5,6,27,-0.037,,,1,6,3,,,,5.0,,
08/31/2019,"Colgate @ Buffalo, NY",L 2 - 3,5,1,,18,11,50,0.140,2,3,1,11,1,,,,21.0,,
08/31/2019,@ Buffalo,L 0 - 3,3,1,,10,7,24,0.125,,,1,4,,,,,10.0,,
09/06/2019,"Villanova @ Smithfield, R.I.",L 0 - 3,3,1,,1,3,14,-0.143,,1,,3,,,,,2.0,,
09/07/2019,"North Dakota @ Smithfield, R.I.",L 2 - 3,5,1,,6,2,15,0.267,,2,4,7,,,,,8.0,,
09/07/2019,@ Bryant,L 0 - 3,3,1,,11,4,25,0.280,1,,,7,2,,1,,11.5,,
09/13/2019,@ Northern Colo.,W 3 - 2,5,1,,16,4,36,0.333,1,3,4,14,7/,,1,,19.5,,
09/13/2019,@ Santa Clara,W 3 - 0,3,1,,8,6,25,0.080,2,,4,9,1,,,,8.0,,
09/14/2019,@ San Jose St.,L 0 - 3,3,1,,3,2,11,0.091,,,2,2,2,,,,3.0,,
09/20/2019,Fairfield,L 0 - 3,3,1,,7,9,24,-0.083,,,1,5,1,,,1,7.0,,
09/22/2019,Quinnipiac,W 3 - 1,4,1,,12,6,39,0.154,1,,,15,1,,,,12.0,,
09/28/2019,@ Saint Peter's,W 3 - 2,5,1,,22,8,54,0.259,2,,2,20,2,,,,22.0,,
09/29/2019,@ Rider,W 3 - 2,5,1,,13,7,46,0.130,1,2,1,14,1,1,,,16.0,,
10/01/2019,@ Army West Point,L 0 - 3,2,1,,0,0,0,,,,1,,,,,,,,
10/04/2019,Siena,W 3 - 0,2,1,,5,6,19,-0.053,,2,1,8,1,,,,7.0,,
10/09/2019,@ Quinnipiac,L 1 - 3,4,1,,7,10,37,-0.081,1,2,2,10,,1,6,,13.0,2,
10/12/2019,Canisius,L 2 - 3,5,1,,15,6,44,0.205,2,,2,19,4,,1,1,15.5,,
10/13/2019,Niagara,W 3 - 0,3,1,,9,3,22,0.273,1,,1,12,,,1,,9.5,,
10/19/2019,@ Iona,W 3 - 1,4,1,,9,4,31,0.161,,,,3,,,,1,9.0,,
10/20/2019,@ Manhattan,W 3 - 1,4,1,,14,2,31,0.387,,,,4,,,,,14.0,,
10/26/2019,Rider,L 0 - 3,3,1,,9,3,39,0.154,2,,2,14,3,,2,,10.0,,
10/27/2019,Saint Peter's,W 3 - 1,3,1,,5,4,40,0.025,,1,,3,2,,1,,6.5,,
11/01/2019,@ Siena,W 3 - 0,3,1,,6,0,12,0.500,,,,1,,,1,,6.5,,
11/06/2019,@ Fairfield,L 1 - 3,4,1,,7,6,33,0.030,1,,,3,1,,3,,8.5,,
11/09/2019,@ Niagara,W 3 - 2,5,1,,16,7,50,0.180,3,,2,23,,,2,1,17.0,,
11/10/2019,@ Canisius,L 2 - 3,5,1,,15,5,45,0.222,3,,,14,2,,,,15.0,,
11/15/2019,Iona,W 3 - 1,3,1,,5,5,24,0.000,,,,9,1,,3,,6.5,,
11/16/2019,Manhattan,W 3 - 0,3,1,,10,3,26,0.269,1,,1,10,2,,,,10.0,,
11/22/2019,"Niagara @ Fairfield, Conn.",W 3 - 0,3,1,,7,4,26,0.115,,3,1,11,,,1,,10.5,,
11/23/2019,@ Fairfield,L 2 - 3,5,1,,8,6,27,0.074,,2,1,12,4,,3,,11.5,,
