0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
Date,Opponent,Result,S,MP,Attend,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,
08/30/2019,Minnesota,L 0 - 3,3,1,,4,4,16,,,,,1,,,3,1,5.5,,
08/31/2019,Wisconsin,L 0 - 3,3,1,,6,1,14,0.357,,,,,,,,,6.0,,
09/06/2019,"California @ Irvine, CA",L 0 - 3,3,1,,5,2,12,0.250,,1,,1,,,2,1,7.0,,
09/06/2019,@ UC Irvine,W 3 - 1,4,1,,6,6,19,0.000,,,3,1,,,4,1,8.0,,
09/07/2019,"UNLV @ Irvine, CA",L 2 - 3,5,1,,9,4,20,0.250,,,,2,,,6,,12.0,,
09/13/2019,"Miami (OH) @ Rochester, Mich.",L 1 - 3,4,1,,10,3,20,0.350,,,,2,,,4,,12.0,,
09/15/2019,@ Michigan St.,L 0 - 3,3,1,,5,4,13,0.077,,,,1,,,3,,6.5,,
09/20/2019,VCU,L 1 - 3,3,1,,7,1,19,0.316,,1,1,1,,,4,1,10.0,,
09/21/2019,Colgate,W 3 - 1,4,1,,10,4,23,0.261,,,,,,,1,1,10.5,,
09/21/2019,Radford,W 3 - 0,3,1,,2,4,11,-0.182,,,,,,,3,,3.5,,
09/27/2019,@ Notre Dame,L 0 - 3,3,1,,2,3,13,-0.077,1,,,,,,5,,4.5,,
09/29/2019,@ Louisville,L 1 - 3,4,1,,2,2,13,0.000,1,,,,,,5,,4.5,,
10/02/2019,@ NC State,W 3 - 2,5,1,,5,4,18,0.056,1,,,,,1,10,,11.0,,
10/06/2019,Virginia Tech,W 3 - 1,4,1,,5,2,10,0.300,,,,,,1,,,6.0,,
10/11/2019,Miami (FL),W 3 - 1,4,1,,9,3,22,0.273,,,,1,,2,11,1,16.5,,
10/13/2019,Florida St.,W 3 - 2,5,1,,7,4,23,0.130,,,,1,,,7,1,10.5,,
10/18/2019,@ Pittsburgh,L 0 - 3,3,1,,4,1,8,0.375,,,,,,,2,1,5.0,,
10/20/2019,@ Virginia,W 3 - 0,3,1,,6,0,10,0.600,,,,,,,3,,7.5,,
10/25/2019,Syracuse,W 3 - 1,4,1,,6,2,13,0.308,,,,1,,,1,1,6.5,,
10/27/2019,Boston College,W 3 - 0,3,1,,2,1,11,0.091,,,,2,,1,2,1,4.0,,
11/01/2019,Georgia Tech,L 2 - 3,5,1,,2,4,15,-0.133,2,,,2,,,3,,3.5,,
11/03/2019,Clemson,W 3 - 0,3,1,,6,2,16,0.250,,,,2,,2,6,,11.0,,
11/07/2019,@ Duke,W 3 - 1,4,1,,4,2,15,0.133,,,,1,,1,4,,7.0,,
11/10/2019,@ Wake Forest,W 3 - 0,3,1,,7,1,11,0.545,1,,1,2,,,3,,8.5,,
11/17/2019,@ Florida St.,W 3 - 2,5,1,,9,3,14,0.429,,,,,,,5,,11.5,,
11/21/2019,Duke,W 3 - 0,3,1,,8,1,16,0.438,,,,,1,,3,,9.5,,
11/27/2019,Wake Forest,L 2 - 3,3,1,,1,5,7,-0.571,,,,1,,1,,,2.0,,
11/29/2019,@ Virginia Tech,L 2 - 3,5,1,,10,2,21,0.381,,,,,,,,,10.0,,
