0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
Date,Opponent,Result,S,MP,Attend,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,
08/30/2019,"Tennessee Tech @ Ann Arbor, MI",W 3 - 0,3,1,,6,1,12,0.417,1,1,1,,,,4,,9.0,,
08/30/2019,@ Michigan,L 2 - 3,5,1,,12,2,22,0.455,1,1,,2,,1,5,,16.5,,
08/31/2019,@ Oakland,L 1 - 3,4,1,,6,3,11,0.273,,1,,1,,1,6,,11.0,,
09/06/2019,@ Seton Hall,W 3 - 0,3,1,,5,1,14,0.286,2,,,3,,2,5,,9.5,,
09/06/2019,"Northeastern @ South Orange, N.J.",L 2 - 3,5,1,,14,1,25,0.520,1,,3,2,,1,5,,17.5,,
09/07/2019,"La Salle @ South Orange, N.J.",W 3 - 1,4,1,,11,1,23,0.435,1,,2,2,,2,8,2,17.0,,
09/13/2019,South Dakota St.,W 3 - 0,,,,,,,,,,,,,,,,,,
09/13/2019,LSU,W 3 - 0,3,1,,11,1,24,0.417,1,3,1,1,,,3,1,15.5,,
09/14/2019,Fresno St.,W 3 - 0,3,1,,9,3,15,0.400,,,,,,4,3,2,14.5,,
09/20/2019,"Louisiana @ Gainesville, Fla.",W 3 - 0,3,1,,4,2,10,0.200,1,,1,2,,,3,,5.5,,
09/20/2019,@ Florida,L 0 - 3,3,1,,5,1,13,0.308,,,1,,,,1,,5.5,,
09/21/2019,"Liberty @ Gainesville, Fla.",L 2 - 3,5,1,,16,2,25,0.560,1,4,1,2,,1,4,,23.0,,
09/26/2019,Weber St.,W 3 - 1,4,1,,9,3,21,0.286,,,,2,,,13/,,15.5,,
09/28/2019,Idaho St.,W 3 - 1,4,1,,14,1,28,0.464,,1,2,1,,,5,,17.5,,
10/03/2019,@ Portland St.,L 2 - 3,5,1,,17,2,27,0.556,1,1,1,3,,1,3,,20.5,,
10/05/2019,@ Sacramento St.,L 2 - 3,5,1,,12,2,22,0.455,,4,,3,,1,3,3,18.5,,
10/10/2019,Montana St.,L 2 - 3,5,1,,17,5,33,0.364,1,2,5,3,,1,5,,22.5,,
10/12/2019,Montana,W 3 - 2,5,1,,15,4,27,0.407,,,3,1,,,,1,15.0,,
10/17/2019,@ Idaho,L 1 - 3,4,1,,13,6,27,0.259,1,,4,2,,,1,,13.5,,
10/19/2019,@ Eastern Wash.,W 3 - 1,4,1,,12,1,28,0.393,,1,4,3,,,6,1,16.0,,
10/21/2019,@ Southern Utah,W 3 - 1,4,1,,13,1,22,0.545,,1,,1,,,3,1,15.5,,
10/24/2019,Northern Colo.,W 3 - 0,3,1,,9,1,16,0.500,1,3,1,5,,,1,1,12.5,,
10/31/2019,@ Idaho St.,W 3 - 1,4,1,,14,2,25,0.480,1,1,3,3,,1,3,,17.5,,
11/02/2019,@ Weber St.,L 0 - 3,3,1,,8,1,19,0.368,,1,2,4,,1,4,,12.0,,
11/07/2019,Sacramento St.,W 3 - 0,3,1,,5,1,10,0.400,,3,,1,,1,4,,11.0,,
11/09/2019,Portland St.,W 3 - 0,3,1,,10,2,19,0.421,,,1,2,,,3,,11.5,,
11/14/2019,@ Montana,W 3 - 2,5,1,,5,3,18,0.111,,4,4,3,,,5,,11.5,,
11/16/2019,@ Montana St.,W 3 - 2,5,1,,9,2,23,0.304,,1,2,3,,,7,,13.5,,
11/21/2019,Eastern Wash.,W 3 - 0,3,1,,7,3,16,0.250,2,1,1,4,,,3,,9.5,,
11/23/2019,Idaho,W 3 - 0,3,1,,8,1,16,0.438,1,1,,2,,,2,1,10.0,,
11/28/2019,"Idaho @ Sacramento, Calif.",W 3 - 2,5,1,,14,0,21,0.667,,3,4,8,,,5,2,19.5,,
11/29/2019,"Weber St. @ Sacramento, Calif.",L 0 - 3,3,1,,4,2,16,0.125,1,,,2,,1,3,,6.5,,
