0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
Date,Opponent,Result,S,MP,Attend,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,
08/30/2019,"App State @ Tucson, Ariz.",L 2 - 3,5,1,,4,0,6,0.667,41,,3,6,,,4,,6.0,,
08/31/2019,@ Arizona,W 3 - 2,5,1,,1,2,7,-0.143,51,,2,9,,,2,,2.0,,
09/06/2019,North Ala.,W 3 - 0,3,1,,0,0,0,,41,3,2,6,,,2,,4.0,2,
09/07/2019,Jacksonville St.,W 3 - 0,3,1,,0,0,4,,40,,,2,,,1,,0.5,,
09/07/2019,UAB,W 3 - 1,4,1,,0,1,6,-0.167,44,,,4,,,4,1,2.0,,
09/13/2019,@ Kennesaw St.,W 3 - 2,5,1,,0,0,1,0.000,52,1,3,1,,3,5,,6.5,1,
09/14/2019,"South Alabama @ Kennesaw, GA",W 3 - 1,4,1,,3,0,4,0.750,52,,1,3,,4,,,7.0,,
09/20/2019,"Tulsa @ Bowling Green, Ky.",L 1 - 3,4,1,,1,2,7,-0.143,47,1,1,2,,,2,,3.0,,
09/21/2019,Northern Ky. @ Unknown,L 0 - 3,3,1,,0,1,2,-0.500,20,,3,4,,,,,,,
09/21/2019,@ Western Ky.,L 0 - 3,3,1,,1,0,2,0.500,28,,2,5,,,1,,1.5,,
09/25/2019,Chattanooga,W 3 - 0,3,1,,3,0,4,0.750,35,,1,1,,,4,,5.0,,
09/27/2019,@ Wofford,W 3 - 1,4,1,,2,0,5,0.400,42,2,1,11,,,2,2,5.0,,
09/28/2019,@ The Citadel,W 3 - 1,4,1,,3,1,6,0.333,44,2,4,10,,,3,,6.5,,
10/02/2019,@ Mercer,W 3 - 0,3,1,,3,0,6,0.500,37,1,,8,,,1,,4.5,,
10/11/2019,Furman,W 3 - 0,3,1,,1,0,3,0.333,36,1,1,5,,,2,,3.0,,
10/12/2019,UNC Greensboro,W 3 - 1,4,1,,5,0,7,0.714,45,,1,3,,,1,,5.5,1,
10/18/2019,ETSU,L 2 - 3,5,1,,3,0,5,0.600,49,1,1,4,,,,1,4.0,1,
10/19/2019,Western Caro.,W 3 - 2,5,1,,1,1,7,,57,1,,5,,,2,1,3.0,,
10/23/2019,@ Chattanooga,W 3 - 2,5,1,,3,2,13,0.077,52,1,3,16,,,3,2,5.5,2,
10/25/2019,The Citadel,W 3 - 1,4,1,,2,1,6,0.167,42,2,4,13,,,2,,5.0,,
10/26/2019,Wofford,W 3 - 1,4,1,,5,2,10,0.300,46,3,3,10,,1,3,,10.5,1,
10/30/2019,Mercer,W 3 - 0,3,1,,0,0,2,,28,,2,4,,,,,,,
11/08/2019,@ UNC Greensboro,W 3 - 1,4,1,,2,2,8,,43,1,1,8,,1,2,,5.0,1,
11/09/2019,@ Furman,W 3 - 2,5,1,,1,1,6,,67/,1,4,7,,,2,,3.0,,
11/15/2019,@ Western Caro.,W 3 - 0,3,1,,2,0,4,0.500,37,1,1,7,,,1,,3.5,1,
11/16/2019,@ ETSU,W 3 - 1,4,1,,1,1,8,0.000,40,2,1,6,,,2,,4.0,1,
11/22/2019,"The Citadel @ Spartanburg, SC",W 3 - 0,3,1,,1,0,6,0.167,28,1,2,6,,,1,,2.5,,
11/23/2019,"Furman @ Spartanburg, SC",W 3 - 2,5,1,,1,0,15,0.067,53,1,2,16,,1,3,2,4.5,1,
11/24/2019,"ETSU @ Spartanburg, SC",W 3 - 2,5,1,,0,0,7,0.000,62,1,1,7,,,2,,2.0,,
12/05/2019,"Louisville @ Bowling Green, Ky.",L 0 - 3,3,1,,1,1,5,,33,1,2,4,,,,,2.0,,
