Jersey,Player,Yr,Pos,Ht,GP,GS,S,MP,Attend,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,Trpl Dbl
8,"Burras, Aaliyah",So,MB,6-0,106,,106,27,,230,83,538,0.273,8.0,11.0,30.0,65.0,,33.0,50.0,4.0,299.0,2.0,0.0
14,"Venable, Emily",Sr,DS,5-8,106,,106,27,,4,1,40,0.075,106.0,21.0,29.0,398.0,34.0,,,,25.0,2.0,0.0
17,"Wozniak, Meghan",Jr,S,6-0,104,,104,27,,55,22,160,0.20600000000000002,940.0,15.0,28.0,225.0,,8.0,21.0,2.0,88.5,48.0,0.0
15,"Jones, Katie",So,RS,6-2,102,,102,27,,277,135,737,0.193,9.0,,1.0,34.0,,11.0,38.0,4.0,307.0,1.0,0.0
5,"Lockhart, Kylie",So,DS,5-7,101,,101,27,,3,2,23,0.043,25.0,8.0,29.0,224.0,9.0,,,,11.0,1.0,0.0
9,"Gauthreaux, Emily",So,OH,6-1,100,,100,27,,296,108,867,0.217,9.0,34.0,66.0,163.0,11.0,8.0,14.0,2.0,345.0,1.0,0.0
7,"Iwunze, Kimberly",Jr,MB,5-11,98,,98,27,,94,35,253,0.233,6.0,1.0,,30.0,,11.0,37.0,2.0,124.5,2.0,0.0
11,"Hoerdemann, Kate",Jr,OH,6-0,79,,79,20,,166,78,522,0.16899999999999998,18.0,11.0,18.0,229.0,27.0,3.0,10.0,1.0,185.0,3.0,0.0
6,"Alanis, Jackie",Fr,OH,5-9,63,,63,25,,139,67,428,0.168,12.0,18.0,29.0,117.0,17.0,3.0,8.0,2.0,164.0,2.0,0.0
12,"Felix, Jaida",Fr,OH,5-8,29,,29,14,,3,0,13,0.231,20.0,9.0,6.0,35.0,1.0,,,,12.0,3.0,0.0
1,"Olivarez, Jennifer",Sr,OH,5-10,24,,24,10,,35,17,135,0.133,2.0,1.0,3.0,52.0,5.0,2.0,4.0,,39.5,,0.0
3,"Bright, Devon",Fr,OH,5-8,16,,16,12,,11,11,41,0.0,,,1.0,4.0,,,,2.0,11.0,1.0,0.0
10,"Bivens, Lilly",Fr,S,5-8,12,,12,9,,0,0,6,0.0,44.0,1.0,2.0,11.0,,1.0,,,2.0,2.0,0.0
13,"Frederick, Lydia",Jr,MB,6-1,12,,12,8,,5,3,16,0.125,,,,1.0,,3.0,1.0,,8.5,,0.0
32,"Bouzigard, Abigail",Fr,MB,5-11,3,,3,3,,3,3,9,0.0,,,,1.0,,1.0,,,4.0,1.0,0.0
2,"Bollinger, Rebecka",Fr,DS,5-8,2,,2,2,,0,0,2,0.0,1.0,,,4.0,,,,,,,0.0
18,"Lowe, Maddie",So,RS,6-1,2,,2,1,,0,0,0,,,,,,,,,,,,
4,"Lyons, Bailey",Fr,DS,5-4,2,,2,2,,0,0,1,0.0,,,,5.0,,,,,,,0.0
-,TEAM,-,-,-,-,-,9,2,,0,0,0,,1.0,,,,33.0,,,,,,0.0
-,Totals,-,-,-,-,-,106,24,,1321,565,3791,0.19899999999999998,1201.0,130.0,242.0,1598.0,137.0,84.0,183.0,19.0,1626.5,69.0,24.0
-,Opponent Totals,-,-,-,-,-,106,24,,1300,502,3620,0.22,1157.0,138.0,207.0,1633.0,131.0,85.0,258.0,20.0,1652.0,52.0,24.0
