Jersey,Player,Yr,Pos,Ht,GP,GS,S,MP,Attend,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,Trpl Dbl
15,"Swackenberg, Karysa",Sr,L/DS,5-8,105,,105,31,,1,0,11,0.091,69.0,21.0,12.0,338.0,41.0,,,,22.0,,0.0
10,"Balyko, Inna",So,S,6-0,105,,105,31,,51,9,101,0.41600000000000004,882.0,21.0,20.0,257.0,,10.0,58.0,6.0,111.0,20.0,0.0
4,"Marmen, Tali",So,OH,6-2,95,,95,29,,209,132,764,0.10099999999999999,14.0,32.0,41.0,149.0,29.0,6.0,52.0,6.0,273.0,2.0,0.0
7,"Maksimova, Anastasiia",So,OH,6-1,95,,95,30,,194,134,685,0.08800000000000001,21.0,10.0,29.0,151.0,47.0,1.0,24.0,3.0,217.0,2.0,0.0
18,"Stackhouse, Jasmine",Sr,MB,6-3,85,,85,29,,156,60,348,0.276,3.0,,1.0,15.0,4.0,5.0,78.0,8.0,200.0,,0.0
11,"Weidt, Merle",So,OPP,6-1,79,,79,28,,126,50,305,0.249,13.0,12.0,28.0,39.0,,5.0,79.0,16.0,182.5,2.0,0.0
1,"Kojadinovic, Beka",Jr,RS,6-0,78,,78,26,,156,79,450,0.171,15.0,12.0,36.0,169.0,29.0,3.0,43.0,9.0,192.5,,0.0
5,"Miljevic, Stasa",Sr,MB,6-3,61,,61,23,,82,30,198,0.263,8.0,7.0,17.0,17.0,2.0,2.0,48.0,5.0,115.0,1.0,0.0
13,"Cieslik, Kamila",Jr,RS,5-11,52,,52,23,,94,54,273,0.147,11.0,12.0,15.0,70.0,10.0,2.0,16.0,8.0,116.0,1.0,0.0
9,"Kudryashova, Nastya",So,OH,6-4,26,,26,10,,72,39,188,0.17600000000000002,3.0,6.0,7.0,35.0,8.0,3.0,9.0,3.0,85.5,,0.0
8,"Kamshilina, Yana",Jr,OH,6-0,14,,14,8,,9,11,42,-0.048,,,4.0,5.0,9.0,,5.0,,11.5,,0.0
12,"Kikta, Caitlin",Fr,S,5-8,12,,12,4,,3,2,5,0.2,39.0,3.0,1.0,9.0,,,,2.0,6.0,6.0,0.0
14,"Lawson, Tessa",Fr,RS,6-4,1,,1,1,,0,0,0,,,,,,1.0,,,,,,
-,TEAM,-,-,-,-,-,13,8,,0,0,0,,,,,,17.0,,,,,,0.0
-,Totals,-,-,-,-,-,105,13,,1153,600,3370,0.16399999999999998,1078.0,136.0,211.0,1254.0,197.0,37.0,412.0,66.0,1357.0,34.0,13.0
-,Opponent Totals,-,-,-,-,-,105,13,,1327,488,3344,0.251,1234.0,197.0,179.0,1419.0,136.0,61.0,347.0,29.0,1573.5,21.0,13.0
